source,method,alpha,position_bp,distance_bp,selected_positions,selected_called,power,neutral_positions,neutral_called,positional_fpr
truth,all_20000,0.01,5100000,100000,100,13,0.13,1000,9,0.009
truth,all_20000,0.01,5200000,200000,100,7,0.07,1000,11,0.011
truth,all_20000,0.01,5500000,500000,100,1,0.01,1000,10,0.01
truth,all_20000,0.01,6000000,1000000,100,2,0.02,1000,10,0.01
truth,all_20000,0.01,7000000,2000000,100,0,0.0,1000,14,0.014
truth,all_20000,0.05,3000000,-2000000,100,4,0.04,1000,49,0.049
truth,all_20000,0.05,4000000,-1000000,100,7,0.07,1000,52,0.052
truth,all_20000,0.05,4500000,-500000,100,5,0.05,1000,49,0.049
truth,all_20000,0.05,4800000,-200000,100,18,0.18,1000,49,0.049
truth,all_20000,0.05,4900000,-100000,100,29,0.29,1000,47,0.047
truth,all_20000,0.05,4950000,-50000,100,30,0.3,1000,49,0.049
truth,all_20000,0.05,4980000,-20000,100,35,0.35,1000,49,0.049
truth,all_20000,0.05,4990000,-10000,100,38,0.38,1000,46,0.046
truth,all_20000,0.05,5000000,0,100,39,0.39,1000,52,0.052
truth,all_20000,0.05,5010000,10000,100,35,0.35,1000,47,0.047
truth,all_20000,0.05,5020000,20000,100,36,0.36,1000,49,0.049
truth,all_20000,0.05,5050000,50000,100,31,0.31,1000,50,0.05
truth,all_20000,0.05,5100000,100000,100,30,0.3,1000,50,0.05
truth,all_20000,0.05,5200000,200000,100,18,0.18,1000,49,0.049
truth,all_20000,0.05,5500000,500000,100,8,0.08,1000,47,0.047
truth,all_20000,0.05,6000000,1000000,100,8,0.08,1000,48,0.048
truth,all_20000,0.05,7000000,2000000,100,7,0.07,1000,53,0.053
truth,mass_20000,0.01,3000000,-2000000,100,2,0.02,1000,11,0.011
truth,mass_20000,0.01,4000000,-1000000,100,1,0.01,1000,12,0.012
truth,mass_20000,0.01,4500000,-500000,100,4,0.04,1000,12,0.012
truth,mass_20000,0.01,4800000,-200000,100,13,0.13,1000,9,0.009
truth,mass_20000,0.01,4900000,-100000,100,37,0.37,1000,9,0.009
truth,mass_20000,0.01,4950000,-50000,100,61,0.61,1000,10,0.01
truth,mass_20000,0.01,4980000,-20000,100,88,0.88,1000,8,0.008
truth,mass_20000,0.01,4990000,-10000,100,91,0.91,1000,8,0.008
truth,mass_20000,0.01,5000000,0,100,100,1.0,1000,9,0.009
truth,mass_20000,0.01,5010000,10000,100,93,0.93,1000,10,0.01
truth,mass_20000,0.01,5020000,20000,100,85,0.85,1000,8,0.008
truth,mass_20000,0.01,5050000,50000,100,63,0.63,1000,8,0.008
truth,mass_20000,0.01,5100000,100000,100,41,0.41,1000,12,0.012
truth,mass_20000,0.01,5200000,200000,100,20,0.2,1000,12,0.012
truth,mass_20000,0.01,5500000,500000,100,4,0.04,1000,8,0.008
truth,mass_20000,0.01,6000000,1000000,100,2,0.02,1000,8,0.008
truth,mass_20000,0.01,7000000,2000000,100,2,0.02,1000,16,0.016
truth,mass_20000,0.05,3000000,-2000000,100,3,0.03,1000,45,0.045
