seed	source_group	source_role	source_record	original_status	prearchive_v2_exclusion_status
1326580103	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.550__draw007	complete	omitted
1347119641	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.400000__q5__draw000	complete;evaluable=True	already_reserved
1349264422	obsolete_selected_rep008	simulation_seed	attempt=51	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1360420071	obsolete_selected_rep008	simulation_seed	attempt=18	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
1362591354	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.400__draw000	complete	omitted
1366094276	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw002	complete;evaluable=True	omitted
1367171594	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.400000__q5__draw017	complete;evaluable=True	already_reserved
1375382157	obsolete_selected_rep008	simulation_seed	attempt=2	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
1388085735	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.200000__m0.150000__q5__draw007	complete;evaluable=True	already_reserved
1390392299	obsolete_selected_rep008	simulation_seed	attempt=31	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
1390404553	obsolete_selected_rep008	simulation_seed	attempt=17	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
1391409552	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.250__draw007	complete	omitted
1393927229	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw008	complete;evaluable=True	omitted
1400013377	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.150000__q5__draw013	complete;evaluable=True	already_reserved
1401046798	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw000	complete;evaluable=True	omitted
1402187544	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.700__draw005	complete	omitted
1402913068	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw001	complete;evaluable=True	omitted
1404952874	obsolete_selected_rep008	simulation_seed	attempt=50	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1408106930	obsolete_selected_rep008	simulation_seed	attempt=67	complete;accepted=False;rejection=nan	omitted
1414516845	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.200000__m0.150000__q5__draw012	complete;evaluable=True	already_reserved
1419065611	obsolete_selected_rep008	simulation_seed	attempt=16	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
1419252583	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.150000__q5__draw006	complete;evaluable=True	already_reserved
1420492452	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.250000__q5__draw018	complete;evaluable=True	already_reserved
1428579184	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw004	complete;evaluable=True	omitted
1434585828	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.150000__q5__draw002	complete;evaluable=True	already_reserved
1446432343	obsolete_selected_rep008	simulation_seed	attempt=77	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1448478283	obsolete_selected_rep008	simulation_seed	attempt=68	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1458022473	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.200__draw011	complete	omitted
1461792277	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw010	complete;evaluable=True	omitted
1463236529	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw005	complete;evaluable=True	omitted
1465092068	obsolete_selected_rep008	simulation_seed	attempt=52	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1470010677	obsolete_selected_rep008	simulation_seed	attempt=69	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1470920828	obsolete_selected_rep008	simulation_seed	attempt=58	timed_out;accepted=False;rejection=nan	omitted
1500192368	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.400000__q5__draw004	complete;evaluable=True	already_reserved
1501822355	obsolete_selected_rep008	simulation_seed	attempt=46	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
1502077291	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.150000__q5__draw008	complete;evaluable=True	already_reserved
1525854555	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw007	complete;evaluable=True	omitted
1540062231	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw002	complete;evaluable=True	omitted
1547867556	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw017	complete;evaluable=True	omitted
1562408161	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.550__draw001	complete	omitted
1565076804	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.550__draw000	complete	omitted
1572076548	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw015	complete;evaluable=True	omitted
1573031805	obsolete_selected_rep008	simulation_seed	attempt=5	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
1573304126	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.400__draw004	complete	omitted
1574272064	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw010	complete;evaluable=True	omitted
1574852849	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw011	complete;evaluable=True	omitted
1583616594	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw014	complete;evaluable=True	omitted
1586397294	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.700__draw004	complete	omitted
1586892683	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.700__draw005	complete	omitted
1589556424	obsolete_selected_rep008	simulation_seed	attempt=55	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1589993805	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.550__draw004	complete	omitted
1590055212	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.250000__q5__draw019	complete;evaluable=True	already_reserved
1601280737	obsolete_selected_rep008	simulation_seed	attempt=1	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
1604246336	obsolete_selected_rep008	simulation_seed	attempt=15	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
1607874416	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.700__draw006	complete	omitted
1613789275	obsolete_selected_rep008	simulation_seed	attempt=75	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1617476460	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw009	complete;evaluable=True	omitted
1622207224	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.700__draw006	complete	omitted
1629045384	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw017	complete;evaluable=True	omitted
1639712130	neutral_smoke_intro	mutation_seed	attempt=0	accepted=True	already_reserved
1643977952	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw011	complete;evaluable=True	omitted
1652443281	obsolete_selected_rep008	simulation_seed	attempt=19	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
1673250600	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw004	complete;evaluable=True	omitted
1680216720	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw019	complete;evaluable=True	omitted
1691291000	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.400__draw001	complete	omitted
1695714130	obsolete_selected_rep008	simulation_seed	attempt=32	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
1701467107	obsolete_selected_rep008	simulation_seed	attempt=9	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
1702460219	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.400000__q5__draw005	complete;evaluable=True	already_reserved
1705744848	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.550__draw006	complete	omitted
1707399878	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw017	complete;evaluable=True	omitted
1714675708	obsolete_selected_rep008	simulation_seed	attempt=66	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1720470415	obsolete_selected_rep008	simulation_seed	attempt=73	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1721731549	obsolete_selected_rep008	simulation_seed	attempt=28	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
1733602425	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.250000__q5__draw010	complete;evaluable=True	already_reserved
1734295380	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.400000__q5__draw014	complete;evaluable=True	already_reserved
1751619061	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.700__draw000	complete	omitted
1753534185	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw012	complete;evaluable=True	omitted
1778643834	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.150__draw006	complete	omitted
1810792694	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.400__draw002	complete	omitted
1837557186	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw016	complete;evaluable=True	omitted
1843095883	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw011	complete;evaluable=True	omitted
1854081785	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.200__draw002	complete	omitted
1863931080	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.200__draw003	complete	omitted
1884755965	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.200__draw010	complete	omitted
1887135374	obsolete_selected_rep008	simulation_seed	attempt=42	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
1890365386	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw009	complete;evaluable=True	omitted
1898300698	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.400000__q5__draw010	complete;evaluable=True	already_reserved
1905133781	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.400000__q5__draw016	complete;evaluable=True	already_reserved
1909513838	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.550__draw006	complete	omitted
1922407794	obsolete_selected_rep008	simulation_seed	attempt=62	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1923664365	obsolete_selected_rep008	simulation_seed	attempt=54	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1927059000	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.250000__q5__draw015	complete;evaluable=True	already_reserved
1928840615	pilot_recipient_nonloss_n8;pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw005;pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw005	complete;complete	omitted
1946131285	obsolete_selected_rep008	simulation_seed	attempt=86	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1962333933	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw007	complete;evaluable=True	omitted
1968267620	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.250000__q5__draw008	complete;evaluable=True	already_reserved
1971590478	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.200000__m0.150000__q5__draw010	complete;evaluable=True	already_reserved
1979886500	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.200__draw006	complete	omitted
1995759710	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.200000__m0.150000__q5__draw014	complete;evaluable=True	already_reserved
2005060581	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.400000__q5__draw007	complete;evaluable=True	already_reserved
2005136873	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.700__draw000	complete	omitted
2009307640	pilot_recipient_nonloss_n8;pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw006;pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw006	complete;complete	omitted
2010026343	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.250000__q5__draw017	complete;evaluable=True	already_reserved
2015825262	obsolete_selected_rep008	simulation_seed	attempt=39	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
2017753688	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw006	complete;evaluable=True	omitted
2024022608	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.250__draw005	complete	omitted
2026685184	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw010	complete;evaluable=True	omitted
2027090349	obsolete_selected_rep008	simulation_seed	attempt=7	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
2033878215	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.400__draw007	complete	omitted
2034791666	obsolete_selected_rep008	simulation_seed	attempt=72	complete;accepted=False;rejection=nan	omitted
2037449530	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.150000__q5__draw016	complete;evaluable=True	already_reserved
2040473445	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw009	complete;evaluable=True	omitted
2040532636	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.700__draw004	complete	omitted
2048919205	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw000	complete;evaluable=True	omitted
2049410115	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw009	submitted_deterministic_label_not_observed_in_partial_log	omitted
2055562887	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.250000__q5__draw004	complete;evaluable=True	already_reserved
2060092285	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.200000__m0.150000__q5__draw008	complete;evaluable=True	already_reserved
2061910374	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.150__draw000	complete	omitted
2082439312	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.200000__m0.150000__q5__draw005	complete;evaluable=True	already_reserved
2085965311	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.250__draw001	complete	omitted
2096718341	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.200000__m0.150000__q5__draw016	complete;evaluable=True	already_reserved
2103965896	obsolete_selected_rep008	simulation_seed	attempt=83	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
2110441010	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw012	complete;evaluable=True	omitted
2112935206	obsolete_selected_rep008	simulation_seed	attempt=89	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
2117065679	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.150000__q5__draw019	complete;evaluable=True	already_reserved
2121439784	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.200000__m0.150000__q5__draw009	complete;evaluable=True	already_reserved
2130989220	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.700__draw001	complete	omitted
2138299845	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw001	complete;evaluable=True	omitted
