source,cutoff_years,alpha,stride_bp,max_gap_strides,min_significant_strides,mode,subset,n,power,fdr_mean,fdr_pooled,f1_mean,fp_mean,any_call,focal_significant,tp_total,fp_total,power_50000,overlap_power_50000,overlap_fdr_50000,power_100000,overlap_power_100000,overlap_fdr_100000,power_250000,overlap_power_250000,overlap_fdr_250000,power_500000,overlap_power_500000,overlap_fdr_500000
decoded,5000,0.01,10000,0,1,selected,all,100,0.11,0.6851269841269841,0.9447236180904522,0.040023809523809524,1.88,0.71,0.08,11,188,0.05,0.11,0.6732222222222223,0.11,0.17,0.6526269841269842,0.23,0.24,0.617031746031746,0.28,0.28,0.5961984126984127
decoded,5000,0.01,10000,0,1,selected,nonfixed,99,0.1111111111111111,0.6920474587141254,0.9447236180904522,0.04042809042809043,1.898989898989899,0.7171717171717171,0.08080808080808081,11,188,0.050505050505050504,0.1111111111111111,0.6800224466891134,0.1111111111111111,0.1717171717171717,0.6592191758858426,0.23232323232323232,0.24242424242424243,0.6232643899310566,0.2828282828282828,0.2828282828282828,0.6022206188872856
decoded,5000,0.01,10000,0,3,neutral,all,1000,0.0,0.451,1.0,0.0,0.816,0.451,0.01,0,816,0.0,0.0,0.451,0.0,0.0,0.451,0.0,0.0,0.451,0.0,0.0,0.451
decoded,5000,0.01,10000,0,3,selected,all,100,0.07,0.49266666666666664,0.9320388349514563,0.03833333333333333,0.96,0.52,0.08,7,96,0.03,0.1,0.4671666666666667,0.07,0.15,0.44016666666666665,0.19,0.21,0.39516666666666667,0.23,0.23,0.38766666666666666
decoded,5000,0.01,10000,0,3,selected,nonfixed,99,0.0707070707070707,0.4976430976430976,0.9320388349514563,0.03872053872053872,0.9696969696969697,0.5252525252525253,0.08080808080808081,7,96,0.030303030303030304,0.10101010101010101,0.4718855218855219,0.0707070707070707,0.15151515151515152,0.4446127946127946,0.1919191919191919,0.21212121212121213,0.39915824915824916,0.23232323232323232,0.23232323232323232,0.3915824915824916
decoded,5000,0.01,10000,0,5,neutral,all,1000,0.0,0.389,1.0,0.0,0.598,0.389,0.01,0,598,0.0,0.0,0.389,0.0,0.0,0.389,0.0,0.0,0.389,0.0,0.0,0.389
decoded,5000,0.01,10000,0,5,selected,all,100,0.05,0.4441666666666667,0.9367088607594937,0.03233333333333333,0.74,0.47,0.08,5,74,0.02,0.09,0.41416666666666674,0.05,0.14,0.3883333333333333,0.17,0.19,0.3483333333333333,0.21,0.21,0.335
decoded,5000,0.01,10000,0,5,selected,nonfixed,99,0.050505050505050504,0.4486531986531987,0.9367088607594937,0.03265993265993265,0.7474747474747475,0.47474747474747475,0.08080808080808081,5,74,0.020202020202020204,0.09090909090909091,0.4183501683501684,0.050505050505050504,0.1414141414141414,0.3922558922558922,0.1717171717171717,0.1919191919191919,0.3518518518518518,0.21212121212121213,0.21212121212121213,0.3383838383838384
decoded,5000,0.01,10000,0,10,neutral,all,1000,0.0,0.262,1.0,0.0,0.328,0.262,0.01,0,328,0.0,0.0,0.262,0.0,0.0,0.262,0.0,0.0,0.262,0.0,0.0,0.262
decoded,5000,0.01,10000,0,10,selected,all,100,0.0,0.33,1.0,0.0,0.46,0.33,0.08,0,46,0.0,0.05,0.29,0.0,0.09,0.26666666666666666,0.09,0.11,0.24666666666666665,0.11,0.12,0.24166666666666664
