source,cutoff_years,alpha,stride_bp,max_gap_strides,min_significant_strides,mode,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6
decoded,5000,0.05,20000,1,20,neutral,0.001,0.002,0.006,0.009,0.013,0.029,0.061
decoded,5000,0.05,20000,1,20,selected,0.0,0.0,0.04,0.01,0.01,0.01,0.12
decoded,5000,0.05,50000,0,1,neutral,0.016,0.031,0.094,0.166,0.333,0.639,2.043
decoded,5000,0.05,50000,0,1,selected,0.05,0.13,0.24,0.22,0.36,0.7,2.27
decoded,5000,0.05,50000,0,3,neutral,0.007,0.016,0.047,0.067,0.126,0.281,0.891
decoded,5000,0.05,50000,0,3,selected,0.0,0.05,0.2,0.11,0.12,0.24,0.95
decoded,5000,0.05,50000,0,5,neutral,0.001,0.007,0.021,0.032,0.059,0.131,0.365
decoded,5000,0.05,50000,0,5,selected,0.0,0.03,0.14,0.06,0.06,0.07,0.4
decoded,5000,0.05,50000,0,10,neutral,0.0,0.001,0.002,0.004,0.007,0.017,0.028
decoded,5000,0.05,50000,0,10,selected,0.0,0.0,0.04,0.0,0.0,0.01,0.05
decoded,5000,0.05,50000,0,20,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.001
decoded,5000,0.05,50000,0,20,selected,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.05,50000,1,1,neutral,0.016,0.026,0.084,0.152,0.291,0.569,1.84
decoded,5000,0.05,50000,1,1,selected,0.04,0.1,0.22,0.21,0.33,0.64,2.07
decoded,5000,0.05,50000,1,3,neutral,0.007,0.016,0.049,0.076,0.137,0.283,0.916
decoded,5000,0.05,50000,1,3,selected,0.01,0.05,0.18,0.1,0.13,0.23,1.0
decoded,5000,0.05,50000,1,5,neutral,0.002,0.007,0.023,0.034,0.063,0.132,0.394
decoded,5000,0.05,50000,1,5,selected,0.01,0.03,0.13,0.05,0.06,0.07,0.42
decoded,5000,0.05,50000,1,10,neutral,0.0,0.001,0.003,0.005,0.009,0.025,0.034
decoded,5000,0.05,50000,1,10,selected,0.01,0.0,0.04,0.01,0.02,0.01,0.06
decoded,5000,0.05,50000,1,20,neutral,0.0,0.0,0.0,0.0,0.0,0.001,0.002
decoded,5000,0.05,50000,1,20,selected,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,10000,0.001,10000,0,1,neutral,0.002,0.004,0.007,0.008,0.026,0.042,0.129
decoded,10000,0.001,10000,0,1,selected,0.1,0.06,0.07,0.02,0.01,0.03,0.17
decoded,10000,0.001,10000,0,3,neutral,0.001,0.001,0.003,0.006,0.013,0.029,0.075
decoded,10000,0.001,10000,0,3,selected,0.08,0.05,0.03,0.02,0.01,0.0,0.13
decoded,10000,0.001,10000,0,5,neutral,0.0,0.001,0.002,0.003,0.008,0.021,0.049
decoded,10000,0.001,10000,0,5,selected,0.06,0.05,0.02,0.02,0.01,0.0,0.09
decoded,10000,0.001,10000,0,10,neutral,0.0,0.001,0.001,0.001,0.002,0.005,0.016
decoded,10000,0.001,10000,0,10,selected,0.01,0.03,0.0,0.01,0.0,0.0,0.03
decoded,10000,0.001,10000,0,20,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,10000,0.001,10000,0,20,selected,0.01,0.0,0.0,0.0,0.0,0.0,0.01
decoded,10000,0.001,10000,1,1,neutral,0.002,0.003,0.006,0.007,0.024,0.041,0.119
decoded,10000,0.001,10000,1,1,selected,0.09,0.06,0.07,0.02,0.01,0.03,0.16
decoded,10000,0.001,10000,1,3,neutral,0.001,0.001,0.004,0.006,0.013,0.029,0.074
decoded,10000,0.001,10000,1,3,selected,0.07,0.05,0.03,0.02,0.01,0.0,0.13
decoded,10000,0.001,10000,1,5,neutral,0.0,0.001,0.002,0.004,0.009,0.022,0.051
decoded,10000,0.001,10000,1,5,selected,0.06,0.05,0.02,0.02,0.01,0.0,0.09
decoded,10000,0.001,10000,1,10,neutral,0.0,0.001,0.001,0.001,0.002,0.005,0.018
decoded,10000,0.001,10000,1,10,selected,0.01,0.03,0.0,0.01,0.0,0.0,0.03
decoded,10000,0.001,10000,1,20,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,10000,0.001,10000,1,20,selected,0.01,0.0,0.0,0.0,0.0,0.0,0.01
decoded,10000,0.001,20000,0,1,neutral,0.002,0.003,0.005,0.006,0.021,0.039,0.106
decoded,10000,0.001,20000,0,1,selected,0.06,0.04,0.09,0.02,0.01,0.03,0.15
decoded,10000,0.001,20000,0,3,neutral,0.0,0.001,0.002,0.004,0.009,0.017,0.046
decoded,10000,0.001,20000,0,3,selected,0.03,0.04,0.03,0.02,0.01,0.0,0.08
decoded,10000,0.001,20000,0,5,neutral,0.0,0.001,0.001,0.001,0.002,0.006,0.02
decoded,10000,0.001,20000,0,5,selected,0.02,0.02,0.02,0.02,0.0,0.0,0.03
decoded,10000,0.001,20000,0,10,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,10000,0.001,20000,0,10,selected,0.01,0.0,0.0,0.0,0.0,0.0,0.01
decoded,10000,0.001,20000,0,20,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,10000,0.001,20000,0,20,selected,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,10000,0.001,20000,1,1,neutral,0.002,0.003,0.005,0.005,0.019,0.036,0.098
decoded,10000,0.001,20000,1,1,selected,0.06,0.04,0.08,0.02,0.01,0.02,0.14
decoded,10000,0.001,20000,1,3,neutral,0.0,0.001,0.002,0.003,0.01,0.019,0.049
decoded,10000,0.001,20000,1,3,selected,0.03,0.04,0.03,0.02,0.01,0.0,0.08
decoded,10000,0.001,20000,1,5,neutral,0.0,0.001,0.001,0.001,0.003,0.006,0.023
decoded,10000,0.001,20000,1,5,selected,0.02,0.02,0.03,0.02,0.0,0.0,0.03
decoded,10000,0.001,20000,1,10,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,10000,0.001,20000,1,10,selected,0.01,0.0,0.0,0.0,0.0,0.0,0.01
decoded,10000,0.001,20000,1,20,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,10000,0.001,20000,1,20,selected,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,10000,0.001,50000,0,1,neutral,0.0,0.002,0.004,0.006,0.013,0.029,0.076
decoded,10000,0.001,50000,0,1,selected,0.03,0.06,0.08,0.02,0.01,0.0,0.12
decoded,10000,0.001,50000,0,3,neutral,0.0,0.001,0.001,0.0,0.001,0.001,0.009
decoded,10000,0.001,50000,0,3,selected,0.0,0.03,0.02,0.0,0.0,0.0,0.02
decoded,10000,0.001,50000,0,5,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,10000,0.001,50000,0,5,selected,0.0,0.01,0.0,0.0,0.0,0.0,0.0
decoded,10000,0.001,50000,0,10,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,10000,0.001,50000,0,10,selected,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,10000,0.001,50000,0,20,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,10000,0.001,50000,0,20,selected,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,10000,0.001,50000,1,1,neutral,0.0,0.002,0.004,0.005,0.013,0.029,0.075
decoded,10000,0.001,50000,1,1,selected,0.03,0.06,0.07,0.02,0.01,0.0,0.12
decoded,10000,0.001,50000,1,3,neutral,0.0,0.001,0.001,0.001,0.001,0.001,0.01
