source,distance_bp,mode,cutoff_years,n,mean,sem
decoded,580000.0,selected,20000,99,0.07373343434343435,0.0015585618603024811
decoded,580000.0,selected,30000,99,0.1267689898989899,0.0029689798833993962
decoded,580000.0,selected,40000,99,0.17180303030303032,0.004153697809515712
decoded,580000.0,selected,50000,99,0.20928333333333332,0.005157080338026869
decoded,630000.0,neutral,5000,1000,0.00475917,2.5517408748719946e-05
decoded,630000.0,neutral,10000,1000,0.02131594,0.00013994728850520813
decoded,630000.0,neutral,20000,1000,0.07591666000000001,0.0005824254797687717
decoded,630000.0,neutral,30000,1000,0.130334,0.001035966463121617
decoded,630000.0,neutral,40000,1000,0.17641465000000003,0.0014117201477818304
decoded,630000.0,neutral,50000,1000,0.21476712,0.0017077369805975687
decoded,630000.0,selected,5000,99,0.004781010101010101,7.436524421734635e-05
decoded,630000.0,selected,10000,99,0.0214750505050505,0.00043989596448470796
decoded,630000.0,selected,20000,99,0.07430434343434343,0.0015730577489533825
decoded,630000.0,selected,30000,99,0.12708464646464646,0.0027598531016551496
decoded,630000.0,selected,40000,99,0.1717765656565656,0.004011680950407012
decoded,630000.0,selected,50000,99,0.20898282828282833,0.005058385562904177
decoded,680000.0,neutral,5000,1000,0.00475906,2.572743316417744e-05
decoded,680000.0,neutral,10000,1000,0.02126595,0.00014066064237665705
decoded,680000.0,neutral,20000,1000,0.075913,0.0006049891015654853
decoded,680000.0,neutral,30000,1000,0.13010916999999997,0.0010465687201025057
decoded,680000.0,neutral,40000,1000,0.17569682,0.0013987367434099116
decoded,680000.0,neutral,50000,1000,0.21335865,0.0016865870152581925
decoded,680000.0,selected,5000,99,0.004765858585858587,7.767360710958613e-05
decoded,680000.0,selected,10000,99,0.021667878787878788,0.0004551292519796668
decoded,680000.0,selected,20000,99,0.07538888888888888,0.0018701912341512578
decoded,680000.0,selected,30000,99,0.12846191919191918,0.003408931266912681
decoded,680000.0,selected,40000,99,0.17386020202020203,0.004710343856792495
decoded,680000.0,selected,50000,99,0.211679797979798,0.005757258992486945
decoded,730000.0,neutral,5000,1000,0.004748700000000001,2.548292152186027e-05
decoded,730000.0,neutral,10000,1000,0.02128664,0.00013718811934890899
decoded,730000.0,neutral,20000,1000,0.07537822,0.0005612806948845204
decoded,730000.0,neutral,30000,1000,0.12933278999999998,0.0009910112262565276
decoded,730000.0,neutral,40000,1000,0.1755149,0.0013512076177317148
decoded,730000.0,neutral,50000,1000,0.21402907999999998,0.001644216233582547
decoded,730000.0,selected,5000,99,0.004717979797979798,7.963027580343176e-05
decoded,730000.0,selected,10000,99,0.021526363636363642,0.0004412807547180691
decoded,730000.0,selected,20000,99,0.07371181818181818,0.0016692273116159142
decoded,730000.0,selected,30000,99,0.12439747474747476,0.0027539831551388594
decoded,730000.0,selected,40000,99,0.16833737373737376,0.0038214968438989283
decoded,730000.0,selected,50000,99,0.20392757575757575,0.004728243666443408
decoded,780000.0,neutral,5000,1000,0.0047345500000000006,2.495994784642982e-05
decoded,780000.0,neutral,10000,1000,0.02120668,0.0001316600423224311
decoded,780000.0,neutral,20000,1000,0.07505181,0.0005588775303389982
decoded,780000.0,neutral,30000,1000,0.12877281999999998,0.0010086017852496637
decoded,780000.0,neutral,40000,1000,0.17390689,0.0013672705613798303
decoded,780000.0,neutral,50000,1000,0.21137995,0.0016404672748877003
decoded,780000.0,selected,5000,99,0.004727474747474748,7.900840620182993e-05
decoded,780000.0,selected,10000,99,0.02107969696969697,0.00043398914397497964
decoded,780000.0,selected,20000,99,0.07403545454545456,0.0016087041015255881
decoded,780000.0,selected,30000,99,0.12736232323232322,0.0029696610725403237
decoded,780000.0,selected,40000,99,0.17214626262626265,0.004122077379803138
decoded,780000.0,selected,50000,99,0.20850555555555556,0.0049788831779728985
decoded,830000.0,neutral,5000,1000,0.00472072,2.4274029540027137e-05
decoded,830000.0,neutral,10000,1000,0.02114038,0.0001275003466426425
decoded,830000.0,neutral,20000,1000,0.07527355,0.0005732759508415762
decoded,830000.0,neutral,30000,1000,0.12945547999999998,0.0010005568148332752
decoded,830000.0,neutral,40000,1000,0.17523979,0.0013402069868581957
decoded,830000.0,neutral,50000,1000,0.21325002,0.001610893349164364
decoded,830000.0,selected,5000,99,0.004737575757575758,7.325515748045956e-05
decoded,830000.0,selected,10000,99,0.021134141414141414,0.00041228731353673705
decoded,830000.0,selected,20000,99,0.07507969696969696,0.0018328429065440836
decoded,830000.0,selected,30000,99,0.12953525252525253,0.0031876551505069656
decoded,830000.0,selected,40000,99,0.17593151515151514,0.004319667119485364
decoded,830000.0,selected,50000,99,0.21446979797979798,0.005231759950785069
decoded,880000.0,neutral,5000,1000,0.004697150000000001,2.411530479644463e-05
decoded,880000.0,neutral,10000,1000,0.021248450000000002,0.00013140419765236063
