attempt	seed	accepted	focal_allele_outcome	population_allele_frequency	ancestry_seconds	slim_seconds	used_for_rejection_decision
124	911481	False	lost	0.0	4.910002462565899e-05	0.5319664999842644	True
125	911491	False	lost	0.0	5.0799979362636805e-05	0.5352658000192605	True
126	911501	False	lost	0.0	5.540001438930631e-05	0.5636091000051238	True
127	911511	False	lost	0.0	4.640000406652689e-05	0.5810002000071108	True
128	911521	False	lost	0.0	4.1899969801306725e-05	0.530838800012134	True
129	911531	False	lost	0.0	3.5800039768218994e-05	0.964078499993775	True
130	911541	False	lost	0.0	3.600004129111767e-05	0.5201674000127241	True
131	911551	False	lost	0.0	3.860000288113952e-05	0.532524399983231	True
132	911561	False	lost	0.0	0.0005181000451557338	0.5726267999853007	True
133	911571	False	lost	0.0	3.609998384490609e-05	0.5600238000042737	True
134	911581	False	lost	0.0	3.9700011257082224e-05	0.5465381999965757	True
135	911591	False	lost	0.0	4.060001811012626e-05	0.7384758000262082	True
136	911601	False	lost	0.0	4.369998350739479e-05	0.5334353999933228	True
137	911611	False	lost	0.0	4.469999112188816e-05	0.5317894000327215	True
138	911621	False	lost	0.0	3.5100034438073635e-05	0.4980768000241369	True
139	911631	False	lost	0.0	3.860000288113952e-05	0.5106137999682687	True
140	911641	False	lost	0.0	0.0001993000041693449	0.5337742999545299	True
141	911651	False	segregating	0.02295	5.70000265724957e-05	2.3886354999849573	True
142	911661	False	lost	0.0	0.00011449999874457717	0.5220951000228524	True
143	911671	False	lost	0.0	3.290001768618822e-05	0.5642584000015631	True
144	911681	False	lost	0.0	5.830003647133708e-05	0.5707187000080012	True
145	911691	False	lost	0.0	0.00011329998960718513	0.6023595000151545	True
146	911701	False	lost	0.0	4.2600033339113e-05	0.5355802000267431	True
147	911711	False	lost	0.0	5.560001591220498e-05	0.5788076000171714	True
148	911721	False	lost	0.0	4.629994509741664e-05	0.5784654999733903	True
149	911731	False	lost	0.0	4.390004323795438e-05	0.5160234000068158	True
150	911741	False	lost	0.0	3.99000127799809e-05	0.5597630999982357	True
151	911751	False	lost	0.0	5.1099981646984816e-05	0.5425995000405237	True
152	911761	False	lost	0.0	3.9700011257082224e-05	0.5728026999859139	True
153	911771	False	lost	0.0	6.030005170032382e-05	0.5142631999915466	True
154	911781	False	lost	0.0	3.539997851476073e-05	0.55456520000007	True
155	911791	False	lost	0.0	3.570003900676966e-05	0.52020149998134	True
156	911801	False	lost	0.0	6.880000000819564e-05	0.7483520999667235	True
157	911811	False	lost	0.0	2.440001117065549e-05	0.4996184000046924	True
158	911821	False	lost	0.0	3.3400021493434906e-05	0.6630030999658629	True
159	911831	False	lost	0.0	4.2000028770416975e-05	0.4914282000390813	True
160	911841	False	lost	0.0	4.8499961849302053e-05	0.5718999999808148	True
161	911851	False	lost	0.0	4.989997250959277e-05	0.588707200018689	True
162	911861	False	lost	0.0	5.570001667365432e-05	0.5768093999940902	True
163	911871	False	lost	0.0	4.88999648950994e-05	0.5794346999609843	True
164	911881	False	lost	0.0	0.00021199998445808887	0.5796729000285268	True
165	911891	False	lost	0.0	7.319997530430555e-05	0.5523885000147857	True
166	911901	False	lost	0.0	0.0005780999781563878	0.5585224000387825	True
167	911911	False	lost	0.0	3.920000744983554e-05	0.5723343000281602	True
168	911921	False	lost	0.0	4.569999873638153e-05	0.5510920999804512	True
169	911931	False	lost	0.0	0.00022200000239536166	0.5506598000065424	True
170	911941	False	lost	0.0	3.4400029107928276e-05	0.5317083999980241	True
171	911951	False	segregating	0.1085	3.419996937736869e-05	2.6399631000240333	True
172	911961	False	lost	0.0	5.1600043661892414e-05	0.5384202999994159	True
173	911971	False	lost	0.0	4.179996903985739e-05	0.5496719999937341	True
174	911981	False	lost	0.0	4.6200002543628216e-05	0.5363010000437498	True
175	911991	False	lost	0.0	3.91000066883862e-05	0.5150859000277705	True
176	912001	False	lost	0.0	4.349998198449612e-05	0.4606529000448063	True
177	912011	False	lost	0.0	6.799999391660094e-05	0.7054801000049338	True
178	912021	False	lost	0.0	3.539997851476073e-05	0.7273955999989994	True
179	912031	False	lost	0.0	3.7699996028095484e-05	0.49099960003513843	True
180	912041	False	lost	0.0	5.0499977078288794e-05	0.577413399994839	True
181	912051	False	lost	0.0	5.289999535307288e-05	0.5575222999905236	True
182	912061	False	lost	0.0	6.86999992467463e-05	0.6183563999948092	True
183	912071	False	lost	0.0	4.439998883754015e-05	0.5963549000443891	True
184	912081	False	lost	0.0	4.510005237534642e-05	0.5464189000194892	True
185	912091	False	lost	0.0	4.9400026910007e-05	0.5851332999882288	True
186	912101	False	lost	0.0	3.470003139227629e-05	0.5499003000441007	True
187	912111	False	lost	0.0	4.9799971748143435e-05	0.5530100000323728	True
188	912121	False	lost	0.0	4.67000063508749e-05	0.5082680999767035	True
189	912131	False	lost	0.0	0.00048240000614896417	0.5412918000365607	True
190	912141	False	lost	0.0	0.00043680000817403197	0.5591042999876663	True
191	912151	False	lost	0.0	5.2099989261478186e-05	0.5541348999831825	True
192	912161	False	lost	0.0	5.4800009820610285e-05	0.502471899962984	True
193	912171	False	lost	0.0	4.780001472681761e-05	0.5060067999875173	True
194	912181	False	lost	0.0	4.650000482797623e-05	0.48721649998333305	True
195	912191	False	lost	0.0	3.980001201853156e-05	0.4922431000159122	True
