source,method,alpha,position_bp,distance_bp,selected_positions,selected_called,power,neutral_positions,neutral_called,positional_fpr
truth,all_5000,0.01,2710000,-2290000,100,1,0.01,1000,10,0.01
truth,all_5000,0.01,2720000,-2280000,100,1,0.01,1000,9,0.009
truth,all_5000,0.01,2730000,-2270000,100,1,0.01,1000,9,0.009
truth,all_5000,0.01,2740000,-2260000,100,1,0.01,1000,9,0.009
truth,all_5000,0.01,2750000,-2250000,100,1,0.01,1000,11,0.011
truth,all_5000,0.01,2760000,-2240000,100,0,0.0,1000,11,0.011
truth,all_5000,0.01,2770000,-2230000,100,1,0.01,1000,8,0.008
truth,all_5000,0.01,2780000,-2220000,100,1,0.01,1000,11,0.011
truth,all_5000,0.01,2790000,-2210000,100,1,0.01,1000,7,0.007
truth,all_5000,0.01,2800000,-2200000,100,1,0.01,1000,9,0.009
truth,all_5000,0.01,2810000,-2190000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,2820000,-2180000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,2830000,-2170000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,2840000,-2160000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,2850000,-2150000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,2860000,-2140000,100,0,0.0,1000,6,0.006
truth,all_5000,0.01,2870000,-2130000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,2880000,-2120000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,2890000,-2110000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,2900000,-2100000,100,0,0.0,1000,6,0.006
truth,all_5000,0.01,2910000,-2090000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,2920000,-2080000,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,2930000,-2070000,100,0,0.0,1000,12,0.012
truth,all_5000,0.01,2940000,-2060000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,2950000,-2050000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,2960000,-2040000,100,1,0.01,1000,10,0.01
truth,all_5000,0.01,2970000,-2030000,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,2980000,-2020000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,2990000,-2010000,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,3000000,-2000000,100,1,0.01,1000,12,0.012
truth,all_5000,0.01,3010000,-1990000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,3020000,-1980000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,3030000,-1970000,100,0,0.0,1000,6,0.006
