source,method,alpha,s,selected_regions,selected_called,power,neutral_positions,neutral_called,positional_fpr
truth,mass_20000,0.01,0.004,94,78,0.8297872340425532,1000,9,0.009
truth,mass_20000,0.01,0.005,100,100,1.0,1000,9,0.009
truth,mass_20000,0.01,0.006,94,89,0.9468085106382979,1000,9,0.009
truth,mass_20000,0.01,0.007,94,93,0.9893617021276596,1000,9,0.009
truth,mass_20000,0.01,0.008,95,93,0.9789473684210527,1000,9,0.009
truth,mass_20000,0.01,0.009,95,95,1.0,1000,9,0.009
truth,mass_20000,0.01,0.01,95,95,1.0,1000,9,0.009
truth,mass_20000,0.05,0.001,92,50,0.5434782608695652,1000,51,0.051
truth,mass_20000,0.05,0.002,93,68,0.7311827956989247,1000,51,0.051
truth,mass_20000,0.05,0.003,95,81,0.8526315789473684,1000,51,0.051
truth,mass_20000,0.05,0.004,94,90,0.9574468085106383,1000,51,0.051
truth,mass_20000,0.05,0.005,100,100,1.0,1000,51,0.051
truth,mass_20000,0.05,0.006,94,93,0.9893617021276596,1000,51,0.051
truth,mass_20000,0.05,0.007,94,94,1.0,1000,51,0.051
truth,mass_20000,0.05,0.008,95,94,0.9894736842105263,1000,51,0.051
truth,mass_20000,0.05,0.009,95,95,1.0,1000,51,0.051
truth,mass_20000,0.05,0.01,95,95,1.0,1000,51,0.051
truth,mass_30000,0.01,0.001,92,21,0.22826086956521738,1000,11,0.011
truth,mass_30000,0.01,0.002,93,40,0.43010752688172044,1000,11,0.011
truth,mass_30000,0.01,0.003,95,65,0.6842105263157895,1000,11,0.011
truth,mass_30000,0.01,0.004,94,81,0.8617021276595744,1000,11,0.011
truth,mass_30000,0.01,0.005,100,99,0.99,1000,11,0.011
truth,mass_30000,0.01,0.006,94,88,0.9361702127659575,1000,11,0.011
truth,mass_30000,0.01,0.007,94,92,0.9787234042553191,1000,11,0.011
truth,mass_30000,0.01,0.008,95,93,0.9789473684210527,1000,11,0.011
truth,mass_30000,0.01,0.009,95,95,1.0,1000,11,0.011
truth,mass_30000,0.01,0.01,95,95,1.0,1000,11,0.011
truth,mass_30000,0.05,0.001,92,44,0.4782608695652174,1000,50,0.05
truth,mass_30000,0.05,0.002,93,67,0.7204301075268817,1000,50,0.05
truth,mass_30000,0.05,0.003,95,77,0.8105263157894737,1000,50,0.05
truth,mass_30000,0.05,0.004,94,91,0.9680851063829787,1000,50,0.05
truth,mass_30000,0.05,0.005,100,100,1.0,1000,50,0.05
truth,mass_30000,0.05,0.006,94,93,0.9893617021276596,1000,50,0.05
truth,mass_30000,0.05,0.007,94,94,1.0,1000,50,0.05
truth,mass_30000,0.05,0.008,95,93,0.9789473684210527,1000,50,0.05
truth,mass_30000,0.05,0.009,95,95,1.0,1000,50,0.05
truth,mass_30000,0.05,0.01,95,95,1.0,1000,50,0.05
truth,mass_40000,0.01,0.001,92,16,0.17391304347826086,1000,8,0.008
truth,mass_40000,0.01,0.002,93,37,0.3978494623655914,1000,8,0.008
truth,mass_40000,0.01,0.003,95,59,0.6210526315789474,1000,8,0.008
truth,mass_40000,0.01,0.004,94,75,0.7978723404255319,1000,8,0.008
truth,mass_40000,0.01,0.005,100,99,0.99,1000,8,0.008
truth,mass_40000,0.01,0.006,94,88,0.9361702127659575,1000,8,0.008
truth,mass_40000,0.01,0.007,94,92,0.9787234042553191,1000,8,0.008
truth,mass_40000,0.01,0.008,95,93,0.9789473684210527,1000,8,0.008
truth,mass_40000,0.01,0.009,95,95,1.0,1000,8,0.008
truth,mass_40000,0.01,0.01,95,95,1.0,1000,8,0.008
truth,mass_40000,0.05,0.001,92,43,0.4673913043478261,1000,51,0.051
truth,mass_40000,0.05,0.002,93,66,0.7096774193548387,1000,51,0.051
truth,mass_40000,0.05,0.003,95,74,0.7789473684210526,1000,51,0.051
truth,mass_40000,0.05,0.004,94,88,0.9361702127659575,1000,51,0.051
truth,mass_40000,0.05,0.005,100,100,1.0,1000,51,0.051
truth,mass_40000,0.05,0.006,94,92,0.9787234042553191,1000,51,0.051
truth,mass_40000,0.05,0.007,94,92,0.9787234042553191,1000,51,0.051
truth,mass_40000,0.05,0.008,95,93,0.9789473684210527,1000,51,0.051
truth,mass_40000,0.05,0.009,95,95,1.0,1000,51,0.051
truth,mass_40000,0.05,0.01,95,95,1.0,1000,51,0.051
truth,mass_5000,0.01,0.001,92,13,0.14130434782608695,1000,13,0.013
truth,mass_5000,0.01,0.002,93,37,0.3978494623655914,1000,13,0.013
truth,mass_5000,0.01,0.003,95,54,0.5684210526315789,1000,13,0.013
truth,mass_5000,0.01,0.004,94,67,0.7127659574468085,1000,13,0.013
truth,mass_5000,0.01,0.005,100,97,0.97,1000,13,0.013
truth,mass_5000,0.01,0.006,94,86,0.9148936170212766,1000,13,0.013
truth,mass_5000,0.01,0.007,94,91,0.9680851063829787,1000,13,0.013
truth,mass_5000,0.01,0.008,95,93,0.9789473684210527,1000,13,0.013
truth,mass_5000,0.01,0.009,95,95,1.0,1000,13,0.013
truth,mass_5000,0.01,0.01,95,95,1.0,1000,13,0.013
truth,mass_5000,0.05,0.001,92,40,0.43478260869565216,1000,45,0.045
truth,mass_5000,0.05,0.002,93,57,0.6129032258064516,1000,45,0.045
truth,mass_5000,0.05,0.003,95,70,0.7368421052631579,1000,45,0.045
truth,mass_5000,0.05,0.004,94,85,0.9042553191489362,1000,45,0.045
truth,mass_5000,0.05,0.005,100,100,1.0,1000,45,0.045
truth,mass_5000,0.05,0.006,94,90,0.9574468085106383,1000,45,0.045
truth,mass_5000,0.05,0.007,94,93,0.9893617021276596,1000,45,0.045
