source,alpha,s,method,n,af_called,mass_called,mass_only,af_only,power_difference,paired_exact_p,interpretation
truth,0.05,0.003,mass_20000,95,75,81,6,0,0.06315789473684208,0.03125,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.003,mass_30000,95,75,77,4,2,0.021052631578947323,0.6875,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.003,mass_40000,95,75,74,0,1,-0.010526315789473717,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.003,mass_5000,95,75,70,2,7,-0.052631578947368474,0.1796875,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.003,mass_50000,95,75,75,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.004,mass_10000,94,87,88,2,1,0.010638297872340496,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.004,mass_20000,94,87,90,3,0,0.03191489361702138,0.25,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.004,mass_30000,94,87,91,4,0,0.042553191489361764,0.125,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.004,mass_40000,94,87,88,1,0,0.010638297872340496,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.004,mass_5000,94,87,85,1,3,-0.02127659574468077,0.625,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.004,mass_50000,94,87,87,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.005,mass_10000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.005,mass_20000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.005,mass_30000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.005,mass_40000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.005,mass_5000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.005,mass_50000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.006,mass_10000,94,92,92,1,1,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.006,mass_20000,94,92,93,1,0,0.010638297872340496,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.006,mass_30000,94,92,93,1,0,0.010638297872340496,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.006,mass_40000,94,92,92,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.006,mass_5000,94,92,90,0,2,-0.02127659574468077,0.5,exploratory; unadjusted across time cutoffs and selection arms
