haplotypes,source,method,cutoff_years,fold,selected_target,threshold,fit_neutral_n,calibration_neutral_n,training_selected_n,onset_years
400,median,maximum_frac_recent,50000,3,0.7,0.7403,400,400,80,50000
400,median,maximum_standardized_frac_recent,5000,3,0.7,3.558285057537989,400,400,80,50000
400,median,maximum_standardized_frac_recent,10000,3,0.7,4.474932338370107,400,400,80,50000
400,median,maximum_standardized_frac_recent,20000,3,0.7,5.2604104712047395,400,400,80,50000
400,median,maximum_standardized_frac_recent,30000,3,0.7,5.242370421061493,400,400,80,50000
400,median,maximum_standardized_frac_recent,40000,3,0.7,5.231804573277747,400,400,80,50000
400,median,maximum_standardized_frac_recent,50000,3,0.7,4.927285606091336,400,400,80,50000
400,median,maximum_frac_recent,5000,4,0.7,0.0178,400,400,80,50000
400,median,maximum_frac_recent,10000,4,0.7,0.0972,400,400,80,50000
400,median,maximum_frac_recent,20000,4,0.7,0.3211,400,400,80,50000
400,median,maximum_frac_recent,30000,4,0.7,0.5003,400,400,80,50000
400,median,maximum_frac_recent,40000,4,0.7,0.653,400,400,80,50000
400,median,maximum_frac_recent,50000,4,0.7,0.7366,400,400,80,50000
400,median,maximum_standardized_frac_recent,5000,4,0.7,3.6039358743629304,400,400,80,50000
400,median,maximum_standardized_frac_recent,10000,4,0.7,4.57409221335805,400,400,80,50000
400,median,maximum_standardized_frac_recent,20000,4,0.7,5.029061317596273,400,400,80,50000
400,median,maximum_standardized_frac_recent,30000,4,0.7,4.803181040483408,400,400,80,50000
400,median,maximum_standardized_frac_recent,40000,4,0.7,5.0500537933949365,400,400,80,50000
400,median,maximum_standardized_frac_recent,50000,4,0.7,4.694207155138947,400,400,80,50000
400,median,maximum_frac_recent,5000,0,0.7,0.017,400,400,80,10000
400,median,maximum_frac_recent,10000,0,0.7,0.0893,400,400,80,10000
400,median,maximum_frac_recent,20000,0,0.7,0.3054,400,400,80,10000
400,median,maximum_frac_recent,30000,0,0.7,0.4892,400,400,80,10000
400,median,maximum_frac_recent,40000,0,0.7,0.6306,400,400,80,10000
400,median,maximum_frac_recent,50000,0,0.7,0.7217,400,400,80,10000
400,median,maximum_standardized_frac_recent,5000,0,0.7,3.073971118565612,400,400,80,10000
