source,onset_years,cutoff_years,alpha,stride_bp,max_gap_strides,min_significant_strides,mode,n,called,region_call_rate
mean,50000,10000,0.05,20000,0,3,selected,100,98,0.98
mean,50000,10000,0.05,20000,0,5,neutral,1000,882,0.882
mean,50000,10000,0.05,20000,0,5,selected,100,93,0.93
mean,50000,10000,0.05,20000,0,10,neutral,1000,378,0.378
mean,50000,10000,0.05,20000,0,10,selected,100,58,0.58
mean,50000,10000,0.05,20000,0,20,neutral,1000,34,0.034
mean,50000,10000,0.05,20000,0,20,selected,100,11,0.11
mean,50000,10000,0.05,20000,1,1,neutral,1000,985,0.985
mean,50000,10000,0.05,20000,1,1,selected,100,100,1.0
mean,50000,10000,0.05,20000,1,3,neutral,1000,953,0.953
mean,50000,10000,0.05,20000,1,3,selected,100,98,0.98
mean,50000,10000,0.05,20000,1,5,neutral,1000,887,0.887
mean,50000,10000,0.05,20000,1,5,selected,100,94,0.94
mean,50000,10000,0.05,20000,1,10,neutral,1000,422,0.422
mean,50000,10000,0.05,20000,1,10,selected,100,62,0.62
mean,50000,10000,0.05,20000,1,20,neutral,1000,44,0.044
mean,50000,10000,0.05,20000,1,20,selected,100,13,0.13
mean,50000,10000,0.05,50000,0,1,neutral,1000,977,0.977
mean,50000,10000,0.05,50000,0,1,selected,100,99,0.99
mean,50000,10000,0.05,50000,0,3,neutral,1000,758,0.758
mean,50000,10000,0.05,50000,0,3,selected,100,86,0.86
mean,50000,10000,0.05,50000,0,5,neutral,1000,293,0.293
mean,50000,10000,0.05,50000,0,5,selected,100,56,0.56
mean,50000,10000,0.05,50000,0,10,neutral,1000,17,0.017
mean,50000,10000,0.05,50000,0,10,selected,100,7,0.07
mean,50000,10000,0.05,50000,0,20,neutral,1000,0,0.0
mean,50000,10000,0.05,50000,0,20,selected,100,0,0.0
mean,50000,10000,0.05,50000,1,1,neutral,1000,977,0.977
mean,50000,10000,0.05,50000,1,1,selected,100,99,0.99
mean,50000,10000,0.05,50000,1,3,neutral,1000,771,0.771
mean,50000,10000,0.05,50000,1,3,selected,100,86,0.86
mean,50000,10000,0.05,50000,1,5,neutral,1000,336,0.336
mean,50000,10000,0.05,50000,1,5,selected,100,56,0.56
mean,50000,10000,0.05,50000,1,10,neutral,1000,34,0.034
mean,50000,10000,0.05,50000,1,10,selected,100,11,0.11
mean,50000,10000,0.05,50000,1,20,neutral,1000,0,0.0
mean,50000,10000,0.05,50000,1,20,selected,100,0,0.0
mean,50000,10000,0.01,10000,0,1,neutral,1000,691,0.691
mean,50000,10000,0.01,10000,0,1,selected,100,77,0.77
mean,50000,10000,0.01,10000,0,3,neutral,1000,597,0.597
mean,50000,10000,0.01,10000,0,3,selected,100,70,0.7
mean,50000,10000,0.01,10000,0,5,neutral,1000,525,0.525
mean,50000,10000,0.01,10000,0,5,selected,100,69,0.69
mean,50000,10000,0.01,10000,0,10,neutral,1000,329,0.329
mean,50000,10000,0.01,10000,0,10,selected,100,56,0.56
mean,50000,10000,0.01,10000,0,20,neutral,1000,59,0.059
mean,50000,10000,0.01,10000,0,20,selected,100,20,0.2
mean,50000,10000,0.01,10000,1,1,neutral,1000,691,0.691
mean,50000,10000,0.01,10000,1,1,selected,100,77,0.77
mean,50000,10000,0.01,10000,1,3,neutral,1000,606,0.606
mean,50000,10000,0.01,10000,1,3,selected,100,70,0.7
mean,50000,10000,0.01,10000,1,5,neutral,1000,530,0.53
mean,50000,10000,0.01,10000,1,5,selected,100,69,0.69
mean,50000,10000,0.01,10000,1,10,neutral,1000,336,0.336
mean,50000,10000,0.01,10000,1,10,selected,100,56,0.56
mean,50000,10000,0.01,10000,1,20,neutral,1000,64,0.064
mean,50000,10000,0.01,10000,1,20,selected,100,21,0.21
mean,50000,10000,0.01,20000,0,1,neutral,1000,664,0.664
mean,50000,10000,0.01,20000,0,1,selected,100,74,0.74
mean,50000,10000,0.01,20000,0,3,neutral,1000,511,0.511
mean,50000,10000,0.01,20000,0,3,selected,100,68,0.68
mean,50000,10000,0.01,20000,0,5,neutral,1000,362,0.362
mean,50000,10000,0.01,20000,0,5,selected,100,60,0.6
mean,50000,10000,0.01,20000,0,10,neutral,1000,64,0.064
mean,50000,10000,0.01,20000,0,10,selected,100,22,0.22
mean,50000,10000,0.01,20000,0,20,neutral,1000,1,0.001
mean,50000,10000,0.01,20000,0,20,selected,100,3,0.03
mean,50000,10000,0.01,20000,1,1,neutral,1000,664,0.664
mean,50000,10000,0.01,20000,1,1,selected,100,74,0.74
mean,50000,10000,0.01,20000,1,3,neutral,1000,517,0.517
mean,50000,10000,0.01,20000,1,3,selected,100,68,0.68
mean,50000,10000,0.01,20000,1,5,neutral,1000,368,0.368
mean,50000,10000,0.01,20000,1,5,selected,100,60,0.6
mean,50000,10000,0.01,20000,1,10,neutral,1000,72,0.072
mean,50000,10000,0.01,20000,1,10,selected,100,25,0.25
mean,50000,10000,0.01,20000,1,20,neutral,1000,1,0.001
mean,50000,10000,0.01,20000,1,20,selected,100,3,0.03
mean,50000,10000,0.01,50000,0,1,neutral,1000,609,0.609
mean,50000,10000,0.01,50000,0,1,selected,100,72,0.72
mean,50000,10000,0.01,50000,0,3,neutral,1000,224,0.224
mean,50000,10000,0.01,50000,0,3,selected,100,44,0.44
mean,50000,10000,0.01,50000,0,5,neutral,1000,42,0.042
mean,50000,10000,0.01,50000,0,5,selected,100,18,0.18
mean,50000,10000,0.01,50000,0,10,neutral,1000,1,0.001
mean,50000,10000,0.01,50000,0,10,selected,100,1,0.01
mean,50000,10000,0.01,50000,0,20,neutral,1000,0,0.0
mean,50000,10000,0.01,50000,0,20,selected,100,0,0.0
mean,50000,10000,0.01,50000,1,1,neutral,1000,609,0.609
mean,50000,10000,0.01,50000,1,1,selected,100,72,0.72
mean,50000,10000,0.01,50000,1,3,neutral,1000,229,0.229
mean,50000,10000,0.01,50000,1,3,selected,100,44,0.44
mean,50000,10000,0.01,50000,1,5,neutral,1000,52,0.052
mean,50000,10000,0.01,50000,1,5,selected,100,19,0.19
