task_id,mode,s,replicate,onset_years,sample_af,fixed
neutral/rep0401,neutral,0.0,401,0,0.0025,False
neutral/rep0402,neutral,0.0,402,0,0.005,False
neutral/rep0403,neutral,0.0,403,0,0.46,False
neutral/rep0404,neutral,0.0,404,0,0.0025,False
neutral/rep0405,neutral,0.0,405,0,0.2875,False
neutral/rep0406,neutral,0.0,406,0,0.0025,False
neutral/rep0407,neutral,0.0,407,0,0.0025,False
neutral/rep0408,neutral,0.0,408,0,0.0025,False
neutral/rep0409,neutral,0.0,409,0,0.0025,False
neutral/rep0410,neutral,0.0,410,0,0.0075,False
neutral/rep0411,neutral,0.0,411,0,0.1975,False
neutral/rep0412,neutral,0.0,412,0,0.33,False
neutral/rep0413,neutral,0.0,413,0,0.0075,False
neutral/rep0414,neutral,0.0,414,0,0.0075,False
neutral/rep0415,neutral,0.0,415,0,0.24,False
neutral/rep0416,neutral,0.0,416,0,0.0025,False
neutral/rep0417,neutral,0.0,417,0,0.0775,False
neutral/rep0418,neutral,0.0,418,0,0.3225,False
neutral/rep0419,neutral,0.0,419,0,0.21,False
neutral/rep0420,neutral,0.0,420,0,0.2975,False
neutral/rep0421,neutral,0.0,421,0,0.02,False
neutral/rep0422,neutral,0.0,422,0,0.0025,False
neutral/rep0423,neutral,0.0,423,0,0.005,False
neutral/rep0424,neutral,0.0,424,0,0.005,False
neutral/rep0425,neutral,0.0,425,0,0.0025,False
neutral/rep0426,neutral,0.0,426,0,0.0025,False
neutral/rep0427,neutral,0.0,427,0,0.46,False
neutral/rep0428,neutral,0.0,428,0,0.7525,False
neutral/rep0429,neutral,0.0,429,0,0.03,False
neutral/rep0430,neutral,0.0,430,0,0.4175,False
neutral/rep0431,neutral,0.0,431,0,0.0025,False
neutral/rep0432,neutral,0.0,432,0,0.52,False
neutral/rep0433,neutral,0.0,433,0,0.1775,False
neutral/rep0434,neutral,0.0,434,0,0.0775,False
neutral/rep0435,neutral,0.0,435,0,0.8825,False
neutral/rep0436,neutral,0.0,436,0,0.3275,False
neutral/rep0437,neutral,0.0,437,0,0.0025,False
neutral/rep0438,neutral,0.0,438,0,0.0025,False
neutral/rep0439,neutral,0.0,439,0,0.0025,False
neutral/rep0440,neutral,0.0,440,0,0.1475,False
neutral/rep0441,neutral,0.0,441,0,0.005,False
neutral/rep0442,neutral,0.0,442,0,0.0075,False
neutral/rep0443,neutral,0.0,443,0,0.4425,False
neutral/rep0444,neutral,0.0,444,0,0.18,False
neutral/rep0445,neutral,0.0,445,0,0.0025,False
neutral/rep0446,neutral,0.0,446,0,0.0025,False
neutral/rep0447,neutral,0.0,447,0,0.005,False
neutral/rep0448,neutral,0.0,448,0,0.0025,False
neutral/rep0449,neutral,0.0,449,0,0.1425,False
neutral/rep0450,neutral,0.0,450,0,0.0025,False
neutral/rep0451,neutral,0.0,451,0,0.94,False
neutral/rep0452,neutral,0.0,452,0,0.0925,False
neutral/rep0453,neutral,0.0,453,0,0.96,False
neutral/rep0454,neutral,0.0,454,0,0.0075,False
neutral/rep0455,neutral,0.0,455,0,0.0025,False
neutral/rep0456,neutral,0.0,456,0,0.0025,False
neutral/rep0457,neutral,0.0,457,0,0.0025,False
neutral/rep0458,neutral,0.0,458,0,0.0025,False
neutral/rep0459,neutral,0.0,459,0,0.01,False
neutral/rep0460,neutral,0.0,460,0,0.0025,False
neutral/rep0461,neutral,0.0,461,0,0.0075,False
neutral/rep0462,neutral,0.0,462,0,0.16,False
neutral/rep0463,neutral,0.0,463,0,0.0075,False
neutral/rep0464,neutral,0.0,464,0,0.0025,False
neutral/rep0465,neutral,0.0,465,0,0.0075,False
neutral/rep0466,neutral,0.0,466,0,0.1275,False
neutral/rep0467,neutral,0.0,467,0,0.0025,False
neutral/rep0468,neutral,0.0,468,0,0.745,False
neutral/rep0469,neutral,0.0,469,0,0.0025,False
neutral/rep0470,neutral,0.0,470,0,0.0025,False
neutral/rep0471,neutral,0.0,471,0,0.0125,False
neutral/rep0472,neutral,0.0,472,0,0.0025,False
neutral/rep0473,neutral,0.0,473,0,0.0025,False
neutral/rep0474,neutral,0.0,474,0,0.3675,False
neutral/rep0475,neutral,0.0,475,0,0.095,False
neutral/rep0476,neutral,0.0,476,0,0.355,False
neutral/rep0477,neutral,0.0,477,0,0.005,False
neutral/rep0478,neutral,0.0,478,0,0.01,False
neutral/rep0479,neutral,0.0,479,0,0.0025,False
neutral/rep0480,neutral,0.0,480,0,0.005,False
neutral/rep0481,neutral,0.0,481,0,0.005,False
neutral/rep0482,neutral,0.0,482,0,0.0025,False
neutral/rep0483,neutral,0.0,483,0,0.295,False
neutral/rep0484,neutral,0.0,484,0,0.005,False
neutral/rep0485,neutral,0.0,485,0,0.015,False
neutral/rep0486,neutral,0.0,486,0,0.0025,False
neutral/rep0487,neutral,0.0,487,0,0.005,False
neutral/rep0488,neutral,0.0,488,0,0.0025,False
neutral/rep0489,neutral,0.0,489,0,0.2425,False
neutral/rep0490,neutral,0.0,490,0,0.02,False
neutral/rep0491,neutral,0.0,491,0,0.575,False
neutral/rep0492,neutral,0.0,492,0,0.055,False
neutral/rep0493,neutral,0.0,493,0,0.0025,False
neutral/rep0494,neutral,0.0,494,0,0.02,False
neutral/rep0495,neutral,0.0,495,0,0.4725,False
neutral/rep0496,neutral,0.0,496,0,0.145,False
neutral/rep0497,neutral,0.0,497,0,0.005,False
neutral/rep0498,neutral,0.0,498,0,0.2175,False
neutral/rep0499,neutral,0.0,499,0,0.1375,False
neutral/rep0500,neutral,0.0,500,0,0.0025,False
neutral/rep0501,neutral,0.0,501,0,0.0025,False
neutral/rep0502,neutral,0.0,502,0,0.0875,False
neutral/rep0503,neutral,0.0,503,0,0.1625,False
neutral/rep0504,neutral,0.0,504,0,0.2325,False
neutral/rep0505,neutral,0.0,505,0,0.7125,False
neutral/rep0506,neutral,0.0,506,0,0.0075,False
neutral/rep0507,neutral,0.0,507,0,0.005,False
neutral/rep0508,neutral,0.0,508,0,0.0025,False
neutral/rep0509,neutral,0.0,509,0,0.6025,False
neutral/rep0510,neutral,0.0,510,0,0.915,False
neutral/rep0511,neutral,0.0,511,0,0.0025,False
neutral/rep0512,neutral,0.0,512,0,0.045,False
neutral/rep0513,neutral,0.0,513,0,0.0175,False
neutral/rep0514,neutral,0.0,514,0,0.235,False
neutral/rep0515,neutral,0.0,515,0,0.0025,False
neutral/rep0516,neutral,0.0,516,0,0.22,False
neutral/rep0517,neutral,0.0,517,0,0.005,False
neutral/rep0518,neutral,0.0,518,0,0.7025,False
neutral/rep0519,neutral,0.0,519,0,0.17,False
neutral/rep0520,neutral,0.0,520,0,0.005,False
neutral/rep0521,neutral,0.0,521,0,0.4525,False
neutral/rep0522,neutral,0.0,522,0,0.0025,False
neutral/rep0523,neutral,0.0,523,0,0.0025,False
neutral/rep0524,neutral,0.0,524,0,0.23,False
neutral/rep0525,neutral,0.0,525,0,0.0025,False
neutral/rep0526,neutral,0.0,526,0,0.1325,False
neutral/rep0527,neutral,0.0,527,0,0.005,False
neutral/rep0528,neutral,0.0,528,0,0.0025,False
neutral/rep0529,neutral,0.0,529,0,0.0075,False
neutral/rep0530,neutral,0.0,530,0,0.025,False
neutral/rep0531,neutral,0.0,531,0,0.0025,False
neutral/rep0532,neutral,0.0,532,0,0.0025,False
neutral/rep0533,neutral,0.0,533,0,0.245,False
neutral/rep0534,neutral,0.0,534,0,0.0125,False
neutral/rep0535,neutral,0.0,535,0,0.095,False
neutral/rep0536,neutral,0.0,536,0,0.4,False
neutral/rep0537,neutral,0.0,537,0,0.0025,False
neutral/rep0538,neutral,0.0,538,0,0.03,False
neutral/rep0539,neutral,0.0,539,0,0.0025,False
neutral/rep0540,neutral,0.0,540,0,0.0575,False
neutral/rep0541,neutral,0.0,541,0,0.6775,False
neutral/rep0542,neutral,0.0,542,0,0.01,False
neutral/rep0543,neutral,0.0,543,0,0.0025,False
neutral/rep0544,neutral,0.0,544,0,0.3825,False
neutral/rep0545,neutral,0.0,545,0,0.0025,False
neutral/rep0546,neutral,0.0,546,0,0.0025,False
neutral/rep0547,neutral,0.0,547,0,0.0175,False
neutral/rep0548,neutral,0.0,548,0,0.0175,False
neutral/rep0549,neutral,0.0,549,0,0.0875,False
neutral/rep0550,neutral,0.0,550,0,0.1475,False
neutral/rep0551,neutral,0.0,551,0,0.0025,False
neutral/rep0552,neutral,0.0,552,0,0.0275,False
neutral/rep0553,neutral,0.0,553,0,0.0025,False
neutral/rep0554,neutral,0.0,554,0,0.0025,False
neutral/rep0555,neutral,0.0,555,0,0.005,False
neutral/rep0556,neutral,0.0,556,0,0.1275,False
neutral/rep0557,neutral,0.0,557,0,0.0175,False
neutral/rep0558,neutral,0.0,558,0,0.435,False
neutral/rep0559,neutral,0.0,559,0,0.0025,False
neutral/rep0560,neutral,0.0,560,0,0.8525,False
neutral/rep0561,neutral,0.0,561,0,0.2325,False
neutral/rep0562,neutral,0.0,562,0,0.0025,False
neutral/rep0563,neutral,0.0,563,0,0.0025,False
neutral/rep0564,neutral,0.0,564,0,0.0175,False
neutral/rep0565,neutral,0.0,565,0,0.12,False
neutral/rep0566,neutral,0.0,566,0,0.0025,False
neutral/rep0567,neutral,0.0,567,0,0.0025,False
neutral/rep0568,neutral,0.0,568,0,0.115,False
neutral/rep0569,neutral,0.0,569,0,0.0025,False
neutral/rep0570,neutral,0.0,570,0,0.36,False
neutral/rep0571,neutral,0.0,571,0,0.19,False
neutral/rep0572,neutral,0.0,572,0,0.0075,False
neutral/rep0573,neutral,0.0,573,0,0.25,False
neutral/rep0574,neutral,0.0,574,0,0.2175,False
neutral/rep0575,neutral,0.0,575,0,0.0025,False
neutral/rep0576,neutral,0.0,576,0,0.0275,False
neutral/rep0577,neutral,0.0,577,0,0.0075,False
neutral/rep0578,neutral,0.0,578,0,0.0025,False
neutral/rep0579,neutral,0.0,579,0,0.0175,False
neutral/rep0580,neutral,0.0,580,0,0.03,False
neutral/rep0581,neutral,0.0,581,0,0.0125,False
neutral/rep0582,neutral,0.0,582,0,0.04,False
neutral/rep0583,neutral,0.0,583,0,0.0775,False
neutral/rep0584,neutral,0.0,584,0,0.0025,False
neutral/rep0585,neutral,0.0,585,0,0.4025,False
neutral/rep0586,neutral,0.0,586,0,0.75,False
neutral/rep0587,neutral,0.0,587,0,0.0025,False
neutral/rep0588,neutral,0.0,588,0,0.0025,False
neutral/rep0589,neutral,0.0,589,0,0.02,False
neutral/rep0590,neutral,0.0,590,0,0.4575,False
neutral/rep0591,neutral,0.0,591,0,0.015,False
neutral/rep0592,neutral,0.0,592,0,0.1525,False
neutral/rep0593,neutral,0.0,593,0,0.0075,False
neutral/rep0594,neutral,0.0,594,0,0.0725,False
neutral/rep0595,neutral,0.0,595,0,0.015,False
neutral/rep0596,neutral,0.0,596,0,0.295,False
neutral/rep0597,neutral,0.0,597,0,0.0125,False
neutral/rep0598,neutral,0.0,598,0,0.0025,False
neutral/rep0599,neutral,0.0,599,0,0.0075,False
neutral/rep0600,neutral,0.0,600,0,0.005,False
neutral/rep0601,neutral,0.0,601,0,0.19,False
neutral/rep0602,neutral,0.0,602,0,0.015,False
neutral/rep0603,neutral,0.0,603,0,0.0025,False
neutral/rep0604,neutral,0.0,604,0,0.1475,False
neutral/rep0605,neutral,0.0,605,0,0.0025,False
neutral/rep0606,neutral,0.0,606,0,0.0025,False
neutral/rep0607,neutral,0.0,607,0,0.005,False
neutral/rep0608,neutral,0.0,608,0,0.01,False
neutral/rep0609,neutral,0.0,609,0,0.0075,False
neutral/rep0610,neutral,0.0,610,0,0.0075,False
neutral/rep0611,neutral,0.0,611,0,0.58,False
neutral/rep0612,neutral,0.0,612,0,0.135,False
neutral/rep0613,neutral,0.0,613,0,0.06,False
neutral/rep0614,neutral,0.0,614,0,0.0225,False
neutral/rep0615,neutral,0.0,615,0,0.105,False
neutral/rep0616,neutral,0.0,616,0,0.0025,False
neutral/rep0617,neutral,0.0,617,0,0.0625,False
neutral/rep0618,neutral,0.0,618,0,0.0275,False
neutral/rep0619,neutral,0.0,619,0,0.0425,False
neutral/rep0620,neutral,0.0,620,0,0.0775,False
neutral/rep0621,neutral,0.0,621,0,0.14,False
neutral/rep0622,neutral,0.0,622,0,0.0025,False
neutral/rep0623,neutral,0.0,623,0,0.49,False
neutral/rep0624,neutral,0.0,624,0,0.0025,False
neutral/rep0625,neutral,0.0,625,0,0.09,False
neutral/rep0626,neutral,0.0,626,0,0.365,False
neutral/rep0627,neutral,0.0,627,0,0.0025,False
neutral/rep0628,neutral,0.0,628,0,0.335,False
neutral/rep0629,neutral,0.0,629,0,0.0025,False
neutral/rep0630,neutral,0.0,630,0,0.0025,False
neutral/rep0631,neutral,0.0,631,0,0.01,False
neutral/rep0632,neutral,0.0,632,0,0.92,False
neutral/rep0633,neutral,0.0,633,0,0.5675,False
neutral/rep0634,neutral,0.0,634,0,0.0025,False
neutral/rep0635,neutral,0.0,635,0,0.01,False
neutral/rep0636,neutral,0.0,636,0,0.0025,False
neutral/rep0637,neutral,0.0,637,0,0.0075,False
neutral/rep0638,neutral,0.0,638,0,0.0025,False
neutral/rep0639,neutral,0.0,639,0,0.21,False
neutral/rep0640,neutral,0.0,640,0,0.1875,False
neutral/rep0641,neutral,0.0,641,0,0.48,False
neutral/rep0642,neutral,0.0,642,0,0.4575,False
neutral/rep0643,neutral,0.0,643,0,0.0025,False
neutral/rep0644,neutral,0.0,644,0,0.0025,False
neutral/rep0645,neutral,0.0,645,0,0.0025,False
neutral/rep0646,neutral,0.0,646,0,0.0125,False
neutral/rep0647,neutral,0.0,647,0,0.0025,False
neutral/rep0648,neutral,0.0,648,0,0.08,False
neutral/rep0649,neutral,0.0,649,0,0.005,False
neutral/rep0650,neutral,0.0,650,0,0.0025,False
neutral/rep0651,neutral,0.0,651,0,0.0025,False
neutral/rep0652,neutral,0.0,652,0,0.045,False
neutral/rep0653,neutral,0.0,653,0,0.005,False
neutral/rep0654,neutral,0.0,654,0,0.24,False
neutral/rep0655,neutral,0.0,655,0,0.1975,False
neutral/rep0656,neutral,0.0,656,0,0.0025,False
neutral/rep0657,neutral,0.0,657,0,0.12,False
neutral/rep0658,neutral,0.0,658,0,0.005,False
neutral/rep0659,neutral,0.0,659,0,0.665,False
neutral/rep0660,neutral,0.0,660,0,0.0025,False
neutral/rep0661,neutral,0.0,661,0,0.0075,False
neutral/rep0662,neutral,0.0,662,0,0.0025,False
neutral/rep0663,neutral,0.0,663,0,0.0025,False
neutral/rep0664,neutral,0.0,664,0,0.865,False
neutral/rep0665,neutral,0.0,665,0,0.0025,False
neutral/rep0666,neutral,0.0,666,0,0.995,False
neutral/rep0667,neutral,0.0,667,0,0.005,False
neutral/rep0668,neutral,0.0,668,0,0.0575,False
neutral/rep0669,neutral,0.0,669,0,0.0075,False
neutral/rep0670,neutral,0.0,670,0,0.9875,False
neutral/rep0671,neutral,0.0,671,0,0.165,False
neutral/rep0672,neutral,0.0,672,0,0.0075,False
neutral/rep0673,neutral,0.0,673,0,0.01,False
neutral/rep0674,neutral,0.0,674,0,0.7825,False
neutral/rep0675,neutral,0.0,675,0,0.0025,False
neutral/rep0676,neutral,0.0,676,0,0.0025,False
neutral/rep0677,neutral,0.0,677,0,0.54,False
neutral/rep0678,neutral,0.0,678,0,0.0025,False
neutral/rep0679,neutral,0.0,679,0,0.8425,False
neutral/rep0680,neutral,0.0,680,0,0.005,False
neutral/rep0681,neutral,0.0,681,0,0.5525,False
neutral/rep0682,neutral,0.0,682,0,0.0025,False
neutral/rep0683,neutral,0.0,683,0,0.385,False
neutral/rep0684,neutral,0.0,684,0,0.0575,False
neutral/rep0685,neutral,0.0,685,0,0.0175,False
neutral/rep0686,neutral,0.0,686,0,0.0075,False
neutral/rep0687,neutral,0.0,687,0,0.0025,False
neutral/rep0688,neutral,0.0,688,0,0.38,False
neutral/rep0689,neutral,0.0,689,0,0.0025,False
neutral/rep0690,neutral,0.0,690,0,0.0075,False
neutral/rep0691,neutral,0.0,691,0,0.0025,False
neutral/rep0692,neutral,0.0,692,0,0.0225,False
neutral/rep0693,neutral,0.0,693,0,0.0025,False
neutral/rep0694,neutral,0.0,694,0,0.055,False
neutral/rep0695,neutral,0.0,695,0,0.0275,False
neutral/rep0696,neutral,0.0,696,0,0.0025,False
neutral/rep0697,neutral,0.0,697,0,0.51,False
neutral/rep0698,neutral,0.0,698,0,0.005,False
neutral/rep0699,neutral,0.0,699,0,0.0025,False
neutral/rep0700,neutral,0.0,700,0,0.1325,False
neutral/rep0701,neutral,0.0,701,0,0.0475,False
neutral/rep0702,neutral,0.0,702,0,0.13,False
neutral/rep0703,neutral,0.0,703,0,0.1525,False
neutral/rep0704,neutral,0.0,704,0,0.0025,False
neutral/rep0705,neutral,0.0,705,0,0.12,False
neutral/rep0706,neutral,0.0,706,0,0.025,False
neutral/rep0707,neutral,0.0,707,0,0.0775,False
neutral/rep0708,neutral,0.0,708,0,0.27,False
neutral/rep0709,neutral,0.0,709,0,0.0075,False
neutral/rep0710,neutral,0.0,710,0,0.515,False
neutral/rep0711,neutral,0.0,711,0,0.1175,False
neutral/rep0712,neutral,0.0,712,0,0.005,False
neutral/rep0713,neutral,0.0,713,0,0.0225,False
neutral/rep0714,neutral,0.0,714,0,0.065,False
neutral/rep0715,neutral,0.0,715,0,0.1025,False
neutral/rep0716,neutral,0.0,716,0,0.0025,False
neutral/rep0717,neutral,0.0,717,0,0.0025,False
neutral/rep0718,neutral,0.0,718,0,0.02,False
neutral/rep0719,neutral,0.0,719,0,0.2575,False
neutral/rep0720,neutral,0.0,720,0,0.0025,False
neutral/rep0721,neutral,0.0,721,0,0.005,False
neutral/rep0722,neutral,0.0,722,0,0.005,False
neutral/rep0723,neutral,0.0,723,0,0.02,False
neutral/rep0724,neutral,0.0,724,0,0.015,False
neutral/rep0725,neutral,0.0,725,0,0.9,False
neutral/rep0726,neutral,0.0,726,0,0.0675,False
neutral/rep0727,neutral,0.0,727,0,0.0025,False
neutral/rep0728,neutral,0.0,728,0,0.88,False
neutral/rep0729,neutral,0.0,729,0,0.965,False
neutral/rep0730,neutral,0.0,730,0,0.1225,False
neutral/rep0731,neutral,0.0,731,0,0.785,False
neutral/rep0732,neutral,0.0,732,0,0.03,False
neutral/rep0733,neutral,0.0,733,0,0.3425,False
neutral/rep0734,neutral,0.0,734,0,0.0075,False
neutral/rep0735,neutral,0.0,735,0,0.775,False
neutral/rep0736,neutral,0.0,736,0,0.025,False
neutral/rep0737,neutral,0.0,737,0,0.0025,False
neutral/rep0738,neutral,0.0,738,0,0.0175,False
neutral/rep0739,neutral,0.0,739,0,0.0025,False
neutral/rep0740,neutral,0.0,740,0,0.34,False
neutral/rep0741,neutral,0.0,741,0,0.0025,False
neutral/rep0742,neutral,0.0,742,0,0.0025,False
neutral/rep0743,neutral,0.0,743,0,0.005,False
neutral/rep0744,neutral,0.0,744,0,0.01,False
neutral/rep0745,neutral,0.0,745,0,0.005,False
neutral/rep0746,neutral,0.0,746,0,0.0375,False
neutral/rep0747,neutral,0.0,747,0,0.005,False
neutral/rep0748,neutral,0.0,748,0,0.02,False
neutral/rep0749,neutral,0.0,749,0,0.09,False
neutral/rep0750,neutral,0.0,750,0,0.0025,False
neutral/rep0751,neutral,0.0,751,0,0.0025,False
neutral/rep0752,neutral,0.0,752,0,0.135,False
neutral/rep0753,neutral,0.0,753,0,0.2875,False
neutral/rep0754,neutral,0.0,754,0,0.7125,False
neutral/rep0755,neutral,0.0,755,0,0.005,False
neutral/rep0756,neutral,0.0,756,0,0.01,False
neutral/rep0757,neutral,0.0,757,0,0.0025,False
neutral/rep0758,neutral,0.0,758,0,0.0025,False
neutral/rep0759,neutral,0.0,759,0,0.8275,False
neutral/rep0760,neutral,0.0,760,0,0.015,False
neutral/rep0761,neutral,0.0,761,0,0.915,False
neutral/rep0762,neutral,0.0,762,0,0.005,False
neutral/rep0763,neutral,0.0,763,0,0.6675,False
neutral/rep0764,neutral,0.0,764,0,0.0525,False
neutral/rep0765,neutral,0.0,765,0,0.0675,False
neutral/rep0766,neutral,0.0,766,0,0.165,False
neutral/rep0767,neutral,0.0,767,0,0.0125,False
neutral/rep0768,neutral,0.0,768,0,0.135,False
neutral/rep0769,neutral,0.0,769,0,0.0025,False
neutral/rep0770,neutral,0.0,770,0,0.0025,False
neutral/rep0771,neutral,0.0,771,0,0.01,False
neutral/rep0772,neutral,0.0,772,0,0.025,False
neutral/rep0773,neutral,0.0,773,0,0.0025,False
neutral/rep0774,neutral,0.0,774,0,0.01,False
neutral/rep0775,neutral,0.0,775,0,0.02,False
neutral/rep0776,neutral,0.0,776,0,0.645,False
neutral/rep0777,neutral,0.0,777,0,0.0025,False
neutral/rep0778,neutral,0.0,778,0,0.005,False
neutral/rep0779,neutral,0.0,779,0,0.0025,False
neutral/rep0780,neutral,0.0,780,0,0.25,False
neutral/rep0781,neutral,0.0,781,0,0.37,False
neutral/rep0782,neutral,0.0,782,0,0.0025,False
neutral/rep0783,neutral,0.0,783,0,0.0875,False
neutral/rep0784,neutral,0.0,784,0,0.0025,False
neutral/rep0785,neutral,0.0,785,0,0.0225,False
neutral/rep0786,neutral,0.0,786,0,0.0025,False
neutral/rep0787,neutral,0.0,787,0,0.015,False
neutral/rep0788,neutral,0.0,788,0,0.0025,False
neutral/rep0789,neutral,0.0,789,0,0.0025,False
neutral/rep0790,neutral,0.0,790,0,0.03,False
neutral/rep0791,neutral,0.0,791,0,0.6625,False
neutral/rep0792,neutral,0.0,792,0,0.175,False
neutral/rep0793,neutral,0.0,793,0,0.01,False
neutral/rep0794,neutral,0.0,794,0,0.0025,False
neutral/rep0795,neutral,0.0,795,0,0.0025,False
neutral/rep0796,neutral,0.0,796,0,0.0425,False
neutral/rep0797,neutral,0.0,797,0,0.0075,False
neutral/rep0798,neutral,0.0,798,0,0.1225,False
neutral/rep0799,neutral,0.0,799,0,0.105,False
neutral/rep0800,neutral,0.0,800,0,0.26,False
neutral/rep0801,neutral,0.0,801,0,0.0025,False
neutral/rep0802,neutral,0.0,802,0,0.315,False
neutral/rep0803,neutral,0.0,803,0,0.53,False
neutral/rep0804,neutral,0.0,804,0,0.2,False
neutral/rep0805,neutral,0.0,805,0,0.005,False
neutral/rep0806,neutral,0.0,806,0,0.0025,False
neutral/rep0807,neutral,0.0,807,0,0.07,False
neutral/rep0808,neutral,0.0,808,0,0.7525,False
neutral/rep0809,neutral,0.0,809,0,0.0075,False
neutral/rep0810,neutral,0.0,810,0,0.0025,False
neutral/rep0811,neutral,0.0,811,0,0.01,False
neutral/rep0812,neutral,0.0,812,0,0.0075,False
neutral/rep0813,neutral,0.0,813,0,0.1,False
neutral/rep0814,neutral,0.0,814,0,0.0025,False
neutral/rep0815,neutral,0.0,815,0,0.0275,False
neutral/rep0816,neutral,0.0,816,0,0.0025,False
neutral/rep0817,neutral,0.0,817,0,0.0025,False
neutral/rep0818,neutral,0.0,818,0,0.0025,False
neutral/rep0819,neutral,0.0,819,0,0.005,False
neutral/rep0820,neutral,0.0,820,0,0.0025,False
neutral/rep0821,neutral,0.0,821,0,0.0025,False
neutral/rep0822,neutral,0.0,822,0,0.265,False
neutral/rep0823,neutral,0.0,823,0,0.0025,False
neutral/rep0824,neutral,0.0,824,0,0.3975,False
neutral/rep0825,neutral,0.0,825,0,0.28,False
neutral/rep0826,neutral,0.0,826,0,0.0325,False
neutral/rep0827,neutral,0.0,827,0,0.1175,False
neutral/rep0828,neutral,0.0,828,0,0.02,False
neutral/rep0829,neutral,0.0,829,0,0.0025,False
neutral/rep0830,neutral,0.0,830,0,0.12,False
neutral/rep0831,neutral,0.0,831,0,0.0025,False
neutral/rep0832,neutral,0.0,832,0,0.005,False
neutral/rep0833,neutral,0.0,833,0,0.0025,False
neutral/rep0834,neutral,0.0,834,0,0.0175,False
neutral/rep0835,neutral,0.0,835,0,0.0025,False
neutral/rep0836,neutral,0.0,836,0,0.4675,False
neutral/rep0837,neutral,0.0,837,0,0.06,False
neutral/rep0838,neutral,0.0,838,0,0.03,False
neutral/rep0839,neutral,0.0,839,0,0.235,False
neutral/rep0840,neutral,0.0,840,0,0.005,False
neutral/rep0841,neutral,0.0,841,0,0.0025,False
neutral/rep0842,neutral,0.0,842,0,0.0025,False
neutral/rep0843,neutral,0.0,843,0,0.0675,False
neutral/rep0844,neutral,0.0,844,0,0.9775,False
neutral/rep0845,neutral,0.0,845,0,0.005,False
neutral/rep0846,neutral,0.0,846,0,0.0025,False
neutral/rep0847,neutral,0.0,847,0,0.0025,False
neutral/rep0848,neutral,0.0,848,0,0.2175,False
neutral/rep0849,neutral,0.0,849,0,0.0275,False
neutral/rep0850,neutral,0.0,850,0,0.3525,False
neutral/rep0851,neutral,0.0,851,0,0.16,False
neutral/rep0852,neutral,0.0,852,0,0.0125,False
neutral/rep0853,neutral,0.0,853,0,0.0025,False
neutral/rep0854,neutral,0.0,854,0,0.05,False
neutral/rep0855,neutral,0.0,855,0,0.1625,False
neutral/rep0856,neutral,0.0,856,0,0.1225,False
neutral/rep0857,neutral,0.0,857,0,0.0025,False
neutral/rep0858,neutral,0.0,858,0,0.0025,False
neutral/rep0859,neutral,0.0,859,0,0.865,False
neutral/rep0860,neutral,0.0,860,0,0.815,False
neutral/rep0861,neutral,0.0,861,0,0.0025,False
neutral/rep0862,neutral,0.0,862,0,0.0075,False
neutral/rep0863,neutral,0.0,863,0,0.0025,False
neutral/rep0864,neutral,0.0,864,0,0.0025,False
neutral/rep0865,neutral,0.0,865,0,0.03,False
neutral/rep0866,neutral,0.0,866,0,0.0025,False
neutral/rep0867,neutral,0.0,867,0,0.005,False
neutral/rep0868,neutral,0.0,868,0,0.0025,False
neutral/rep0869,neutral,0.0,869,0,0.5,False
neutral/rep0870,neutral,0.0,870,0,0.0025,False
neutral/rep0871,neutral,0.0,871,0,0.06,False
neutral/rep0872,neutral,0.0,872,0,0.0025,False
neutral/rep0873,neutral,0.0,873,0,0.0025,False
neutral/rep0874,neutral,0.0,874,0,0.0075,False
neutral/rep0875,neutral,0.0,875,0,0.0025,False
neutral/rep0876,neutral,0.0,876,0,0.935,False
neutral/rep0877,neutral,0.0,877,0,0.0025,False
neutral/rep0878,neutral,0.0,878,0,0.1625,False
neutral/rep0879,neutral,0.0,879,0,0.01,False
neutral/rep0880,neutral,0.0,880,0,0.035,False
neutral/rep0881,neutral,0.0,881,0,0.0075,False
neutral/rep0882,neutral,0.0,882,0,0.0025,False
neutral/rep0883,neutral,0.0,883,0,0.7825,False
neutral/rep0884,neutral,0.0,884,0,0.0625,False
neutral/rep0885,neutral,0.0,885,0,0.0825,False
neutral/rep0886,neutral,0.0,886,0,0.0025,False
neutral/rep0887,neutral,0.0,887,0,0.02,False
neutral/rep0888,neutral,0.0,888,0,0.33,False
neutral/rep0889,neutral,0.0,889,0,0.18,False
neutral/rep0890,neutral,0.0,890,0,0.14,False
neutral/rep0891,neutral,0.0,891,0,0.005,False
neutral/rep0892,neutral,0.0,892,0,0.0025,False
neutral/rep0893,neutral,0.0,893,0,0.0075,False
neutral/rep0894,neutral,0.0,894,0,0.1075,False
neutral/rep0895,neutral,0.0,895,0,0.855,False
neutral/rep0896,neutral,0.0,896,0,0.005,False
neutral/rep0897,neutral,0.0,897,0,0.025,False
neutral/rep0898,neutral,0.0,898,0,0.0025,False
neutral/rep0899,neutral,0.0,899,0,0.0025,False
neutral/rep0900,neutral,0.0,900,0,0.005,False
neutral/rep0901,neutral,0.0,901,0,0.005,False
neutral/rep0902,neutral,0.0,902,0,0.3275,False
neutral/rep0903,neutral,0.0,903,0,0.0025,False
neutral/rep0904,neutral,0.0,904,0,0.125,False
neutral/rep0905,neutral,0.0,905,0,0.7475,False
