position_0based	focal_carrier_copies	pair_class	n_pairs	mean_tmrca_generations	standard_error_generations	ci95_lower_generations	ci95_upper_generations	selected_attempt	population_focal_allele_frequency	sample_focal_allele_frequency
3400000.0	2	hom_alt	21	15154.907005013778	2213.731115746411	11174.342269959623	20553.442948319993	8	0.102125	0.10275
3450000.0	0	hom_ref	1610	16540.430285638628	382.2864279681324	15807.340816670889	17307.517893556127	8	0.102125	0.10275
3450000.0	2	hom_alt	21	19743.519237285436	3460.0200414988885	13698.18788877353	28456.796989368904	8	0.102125	0.10275
3500000.0	0	hom_ref	1610	15670.143360725931	273.9385837364954	15141.93700748884	16216.775490761725	8	0.102125	0.10275
3500000.0	2	hom_alt	21	16892.708469959078	2445.978343008267	12488.961452907779	22849.265771781735	8	0.102125	0.10275
3550000.0	0	hom_ref	1610	46777.944679635686	1050.7652981869528	44761.6762133124	48885.0350023371	8	0.102125	0.10275
3550000.0	2	hom_alt	21	47912.12721803478	10074.776063272082	30899.510938334126	74291.52969891341	8	0.102125	0.10275
3600000.0	0	hom_ref	1610	8081.641416479124	93.02625402676763	7901.220466450389	8266.182200823012	8	0.102125	0.10275
3600000.0	2	hom_alt	21	6604.130500738834	1106.063189388934	4656.839739164549	9365.694787386763	8	0.102125	0.10275
3650000.0	0	hom_ref	1610	8421.982427767318	107.85306645193155	8213.069932820763	8636.208944255364	8	0.102125	0.10275
3650000.0	2	hom_alt	21	8425.214469157396	1169.8516571295663	6306.559461953311	11255.62032349623	8	0.102125	0.10275
3700000.0	0	hom_ref	1610	21586.734378623674	395.02570407185397	20825.655893314633	22375.626655909673	8	0.102125	0.10275
3700000.0	2	hom_alt	21	19060.60361068588	3168.0623347674923	13476.07171008964	26959.385332721336	8	0.102125	0.10275
3750000.0	0	hom_ref	1610	9586.040093766866	115.54293467885059	9362.067602736159	9815.370768359913	8	0.102125	0.10275
3750000.0	2	hom_alt	21	9568.846677694835	1287.3923116801852	7227.312351842408	12669.00090707855	8	0.102125	0.10275
3800000.0	0	hom_ref	1610	36759.762288663995	749.892545002216	35317.93182066011	38260.45450171628	8	0.102125	0.10275
3800000.0	2	hom_alt	21	30564.432566325675	6622.091094705438	19450.87547367778	48027.89156537813	8	0.102125	0.10275
3850000.0	0	hom_ref	1610	12902.32104082072	256.07653056561963	12409.693472616971	13414.504444266477	8	0.102125	0.10275
3850000.0	2	hom_alt	21	13946.696438280047	2475.4575345300414	9631.088785345048	20196.09058505473	8	0.102125	0.10275
3900000.0	0	hom_ref	1610	15728.65484091909	195.60846040745437	15349.62241432958	16117.046818937837	8	0.102125	0.10275
3900000.0	2	hom_alt	21	12065.786341782517	1815.6409650917806	8815.233480109957	16514.956793150035	8	0.102125	0.10275
3950000.0	0	hom_ref	1610	21067.85818900245	421.4846570869503	20257.151905140774	21911.009541241485	8	0.102125	0.10275
3950000.0	2	hom_alt	21	16217.363062308545	3619.954782000889	10180.403377017814	25834.22826726656	8	0.102125	0.10275
4000000.0	0	hom_ref	1610	11352.000846233252	211.66910826228656	10944.325099198712	11774.862501326419	8	0.102125	0.10275
4000000.0	2	hom_alt	21	14618.69661702294	2439.147064469031	10321.77556935039	20704.411692029047	8	0.102125	0.10275
4050000.0	0	hom_ref	1610	55681.75808791987	1252.2951490525963	53278.84669996424	58193.04237611644	8	0.102125	0.10275
4050000.0	2	hom_alt	21	62777.337560708576	11975.258221457925	42168.80073532197	93457.58101937307	8	0.102125	0.10275
4100000.0	0	hom_ref	1610	22902.892644212618	350.7789703213605	22225.092885955495	23601.36329525974	8	0.102125	0.10275
4100000.0	2	hom_alt	21	19964.74782207254	3328.1124585809744	14100.907435375859	28267.05709726019	8	0.102125	0.10275
4150000.0	0	hom_ref	1610	24159.940973057557	392.08689935573136	23402.99761402063	24941.36680473495	8	0.102125	0.10275
4150000.0	2	hom_alt	21	25878.464495627843	4073.2942614241856	18635.689994899036	35936.14858557852	8	0.102125	0.10275
4200000.0	0	hom_ref	1610	26794.273506142083	550.3061218698107	25736.333689541745	27895.70190464572	8	0.102125	0.10275
4200000.0	2	hom_alt	21	27566.309261488983	4971.612920484473	18923.199244145442	40157.13180926082	8	0.102125	0.10275
4250000.0	0	hom_ref	1610	17601.26571786613	351.8289184673983	16924.527685118293	18305.063552428706	8	0.102125	0.10275
4250000.0	2	hom_alt	21	18555.09286680917	3406.3991398467547	12651.76745512976	27212.914916193527	8	0.102125	0.10275
4300000.0	0	hom_ref	1610	17400.24871943366	354.76295673123315	16718.132672295713	18110.195763662217	8	0.102125	0.10275
