attempt	seed	accepted	focal_allele_outcome	population_allele_frequency	ancestry_seconds	slim_seconds
946	940237	False	lost	0.0	9.615999999823543e-06	0.5250398440000197
947	940247	False	lost	0.0	1.256000001603752e-05	0.523912901000017
948	940257	False	lost	0.0	9.774999995215694e-06	0.7772974519999991
949	940267	False	lost	0.0	1.4332999995758655e-05	0.5224263460000032
950	940277	False	lost	0.0	1.11479999986841e-05	0.525714148999981
951	940287	False	lost	0.0	1.4613000018925959e-05	0.5294985779999877
952	940297	False	lost	0.0	1.669700000661578e-05	0.5723736039999778
953	940307	False	lost	0.0	2.2255999994058584e-05	0.5912496889999943
954	940317	False	lost	0.0	1.925099999766644e-05	0.5184164340000166
955	940327	False	lost	0.0	1.766799999813884e-05	0.5223780590000047
956	940337	False	lost	0.0	1.1849000003394394e-05	0.5309340510000027
957	940347	False	lost	0.0	1.215000000343025e-05	0.5175825430000032
958	940357	False	lost	0.0	1.832899999953952e-05	0.5784833939999885
959	940367	False	lost	0.0	2.025300000241259e-05	0.5721504459999949
960	940377	False	lost	0.0	1.4625000005707989e-05	0.536320819999986
961	940387	False	lost	0.0	1.646800001253723e-05	0.5233609679999915
962	940397	False	lost	0.0	2.206700000328965e-05	0.5241042100000186
963	940407	False	lost	0.0	8.84499999642685e-06	0.527829880000013
964	940417	False	lost	0.0	8.003999994343758e-06	0.5012688630000071
965	940427	False	lost	0.0	1.4695000004394387e-05	1.3975514279999857
966	940437	False	lost	0.0	1.3081999981068293e-05	0.5206371289999936
967	940447	False	lost	0.0	1.6337999994675556e-05	1.0992737289999752
968	940457	False	lost	0.0	1.530599999455262e-05	0.5172149439999885
969	940467	False	segregating	0.000425	2.4451000001590728e-05	2.867872000999995
970	940477	False	lost	0.0	2.43009999962851e-05	0.5703543399999944
971	940487	False	lost	0.0	1.115899999604153e-05	0.5290951489999998
972	940497	False	lost	0.0	1.2842000018054023e-05	1.0546839579999983
973	940507	False	lost	0.0	1.668799998810755e-05	0.5220764080000038
974	940517	False	lost	0.0	2.2607999994761485e-05	0.5603530420000027
975	940527	False	lost	0.0	1.1760000006688642e-05	0.5197496910000154
976	940537	False	lost	0.0	1.381399999900168e-05	0.5170786350000185
977	940547	False	lost	0.0	2.3439000017333456e-05	0.520529678999992
978	940557	False	lost	0.0	1.1430000000700602e-05	0.5051565619999963
979	940567	False	lost	0.0	1.3742999982468973e-05	0.5172811619999891
980	940577	False	lost	0.0	8.493999985148548e-06	0.5089451919999988
981	940587	False	lost	0.0	1.2440999995533275e-05	0.5488440690000118
982	940597	False	segregating	0.1658	8.60500000499087e-06	2.8890487220000125
983	940607	False	lost	0.0	1.1048999994045516e-05	0.543302978000014
984	940617	False	lost	0.0	1.0888999980807057e-05	0.5634232829999917
985	940627	False	lost	0.0	1.4254000006985734e-05	0.7832162390000121
986	940637	False	lost	0.0	2.0634999998492276e-05	0.5302024620000054
987	940647	False	lost	0.0	2.273799998420145e-05	0.5217393180000158
988	940657	False	lost	0.0	1.123900000266076e-05	0.5404529090000096
989	940667	False	lost	0.0	2.1426000017754632e-05	0.49185175099998446
990	940677	False	lost	0.0	3.635100000565217e-05	0.5113626469999986
991	940687	False	lost	0.0	2.2268000009262323e-05	0.506393093999975
992	940697	False	lost	0.0	2.189599999269376e-05	1.0522742279999875
993	940707	False	lost	0.0	2.280800001130956e-05	0.5206968920000179
994	940717	False	lost	0.0	1.3572999989719392e-05	0.5112607899999944
995	940727	False	lost	0.0	1.5275999999175838e-05	0.4919501169999876
996	940737	False	lost	0.0	2.1476000000575368e-05	0.5303038019999917
997	940747	False	lost	0.0	1.5735999994603844e-05	0.4974115020000056
998	940757	False	lost	0.0	1.0367000015776284e-05	0.5214608299999952
999	940767	False	lost	0.0	1.6547999990734752e-05	0.5518981669999903
1000	940777	False	lost	0.0	9.553000040796178e-06	0.5330758479999531
1001	940787	False	lost	0.0	8.99200000503697e-06	1.03337645900001
1002	940797	False	lost	0.0	8.299999990413198e-06	0.5206830619999891
1003	940807	False	lost	0.0	9.583000007751252e-06	0.531459620000021
1004	940817	False	lost	0.0	1.1276999998699466e-05	0.5170528299999546
1005	940827	False	lost	0.0	1.0846000009223644e-05	0.5569836700000224
1006	940837	False	lost	0.0	2.096000002893561e-05	0.5090335720000212
1007	940847	False	lost	0.0	2.0990999985315284e-05	0.5028899570000362
1008	940857	False	lost	0.0	1.1787999994794518e-05	0.5334141349999868
1009	940867	False	lost	0.0	1.647999999931926e-05	0.48335097500000757
1010	940877	False	lost	0.0	2.1973000002617482e-05	0.5614774179999813
1011	940887	False	lost	0.0	1.9927999971969257e-05	0.5186671700000147
1012	940897	False	lost	0.0	2.311600002258274e-05	0.5209466809999981
1013	940907	False	lost	0.0	1.3411999987056333e-05	0.5210952519999523
1014	940917	False	lost	0.0	2.5802999971347163e-05	0.5248026889999551
1015	940927	False	lost	0.0	1.9146999989061442e-05	0.5101435179999498
1016	940937	False	lost	0.0	1.963799996929083e-05	0.5040469990000247
1017	940947	False	lost	0.0	1.565800005209894e-05	0.500429883000038
1018	940957	False	lost	0.0	2.3357000031865027e-05	0.5210649739999553
1019	940967	False	lost	0.0	2.055000004475005e-05	0.519412903999978
1020	940977	False	lost	0.0	1.3603000013517885e-05	0.5050097889999847
