arm	arm_id	replicate_index	sample_af	threshold_years	statistic	null_mean	percentile	p_value
recent 5 kya, s=0.05	recent5k_s0p05	11	0.015	15000.0	0.01	0.02339975	0.209875	0.904288696391295
recent 5 kya, s=0.05	recent5k_s0p05	11	0.015	20000.0	0.04	0.045883375000000004	0.42896249999999997	0.6607917401032487
recent 5 kya, s=0.05	recent5k_s0p05	11	0.015	30000.0	0.05	0.10039962499999999	0.07231875	0.9521005987425157
recent 5 kya, s=0.05	recent5k_s0p05	11	0.015	50000.0	0.07	0.203113625	0.006325	0.9961750478119024
recent 5 kya, s=0.05	recent5k_s0p05	12	0.035	500.0	0.0	4.1874999999999995e-05	0.49790625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	12	0.035	1000.0	0.0	0.00034862500000000003	0.48256875	1.0
recent 5 kya, s=0.05	recent5k_s0p05	12	0.035	2000.0	0.0	0.000993375	0.45258125	1.0
recent 5 kya, s=0.05	recent5k_s0p05	12	0.035	3000.0	0.0	0.001476625	0.43190625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	12	0.035	5000.0	0.0	0.002681	0.38610625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	12	0.035	7500.0	0.01	0.004046	0.804	0.3238084523943451
recent 5 kya, s=0.05	recent5k_s0p05	12	0.035	10000.0	0.01	0.007332625000000001	0.65925	0.5144685691428857
recent 5 kya, s=0.05	recent5k_s0p05	12	0.035	15000.0	0.03	0.02339975	0.6895249999999999	0.4128198397520031
recent 5 kya, s=0.05	recent5k_s0p05	12	0.035	20000.0	0.06	0.045883375000000004	0.748875	0.3144210697366283
recent 5 kya, s=0.05	recent5k_s0p05	12	0.035	30000.0	0.12	0.10039962499999999	0.7288625	0.31240859489256384
recent 5 kya, s=0.05	recent5k_s0p05	12	0.035	50000.0	0.17	0.203113625	0.3659875	0.665266684166448
recent 5 kya, s=0.05	recent5k_s0p05	13	0.03	500.0	0.0	4.1874999999999995e-05	0.49790625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	13	0.03	1000.0	0.0	0.00034862500000000003	0.48256875	1.0
recent 5 kya, s=0.05	recent5k_s0p05	13	0.03	2000.0	0.0	0.000993375	0.45258125	1.0
recent 5 kya, s=0.05	recent5k_s0p05	13	0.03	3000.0	0.0	0.001476625	0.43190625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	13	0.03	5000.0	0.0	0.002681	0.38610625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	13	0.03	7500.0	0.0	0.004046	0.3381	1.0
recent 5 kya, s=0.05	recent5k_s0p05	13	0.03	10000.0	0.01	0.007332625000000001	0.65925	0.5144685691428857
recent 5 kya, s=0.05	recent5k_s0p05	13	0.03	15000.0	0.01	0.02339975	0.209875	0.904288696391295
recent 5 kya, s=0.05	recent5k_s0p05	13	0.03	20000.0	0.02	0.045883375000000004	0.11776249999999999	0.9382132723340958
recent 5 kya, s=0.05	recent5k_s0p05	13	0.03	30000.0	0.06	0.10039962499999999	0.1332125	0.903263709203635
recent 5 kya, s=0.05	recent5k_s0p05	13	0.03	50000.0	0.23	0.203113625	0.6999	0.32223347208159897
recent 5 kya, s=0.05	recent5k_s0p05	14	0.04	500.0	0.0	4.1874999999999995e-05	0.49790625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	14	0.04	1000.0	0.0	0.00034862500000000003	0.48256875	1.0
recent 5 kya, s=0.05	recent5k_s0p05	14	0.04	2000.0	0.0	0.000993375	0.45258125	1.0
recent 5 kya, s=0.05	recent5k_s0p05	14	0.04	3000.0	0.0	0.001476625	0.43190625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	14	0.04	5000.0	0.0	0.002681	0.38610625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	14	0.04	7500.0	0.0	0.004046	0.3381	1.0
recent 5 kya, s=0.05	recent5k_s0p05	14	0.04	10000.0	0.0	0.007332625000000001	0.24276875	1.0
recent 5 kya, s=0.05	recent5k_s0p05	14	0.04	15000.0	0.01	0.02339975	0.209875	0.904288696391295
recent 5 kya, s=0.05	recent5k_s0p05	14	0.04	20000.0	0.05	0.045883375000000004	0.60215	0.48129398382520217
recent 5 kya, s=0.05	recent5k_s0p05	14	0.04	30000.0	0.09	0.10039962499999999	0.42465625	0.6320420994737566
recent 5 kya, s=0.05	recent5k_s0p05	14	0.04	50000.0	0.22	0.203113625	0.6531687500000001	0.3714453569330383
recent 5 kya, s=0.05	recent5k_s0p05	15	0.0	500.0	0.0	4.1874999999999995e-05	0.49790625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	15	0.0	1000.0	0.0	0.00034862500000000003	0.48256875	1.0
recent 5 kya, s=0.05	recent5k_s0p05	15	0.0	2000.0	0.0	0.000993375	0.45258125	1.0
recent 5 kya, s=0.05	recent5k_s0p05	15	0.0	3000.0	0.0	0.001476625	0.43190625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	15	0.0	5000.0	0.0	0.002681	0.38610625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	15	0.0	7500.0	0.0	0.004046	0.3381	1.0
recent 5 kya, s=0.05	recent5k_s0p05	15	0.0	10000.0	0.0	0.007332625000000001	0.24276875	1.0
recent 5 kya, s=0.05	recent5k_s0p05	15	0.0	15000.0	0.0	0.02339975	0.04785625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	15	0.0	20000.0	0.02	0.045883375000000004	0.11776249999999999	0.9382132723340958
recent 5 kya, s=0.05	recent5k_s0p05	15	0.0	30000.0	0.09	0.10039962499999999	0.42465625	0.6320420994737566
recent 5 kya, s=0.05	recent5k_s0p05	15	0.0	50000.0	0.2	0.203113625	0.5476125000000001	0.4809189885126436
recent 5 kya, s=0.05	recent5k_s0p05	16	0.01	500.0	0.0	4.1874999999999995e-05	0.49790625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	16	0.01	1000.0	0.0	0.00034862500000000003	0.48256875	1.0
recent 5 kya, s=0.05	recent5k_s0p05	16	0.01	2000.0	0.0	0.000993375	0.45258125	1.0
recent 5 kya, s=0.05	recent5k_s0p05	16	0.01	3000.0	0.0	0.001476625	0.43190625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	16	0.01	5000.0	0.0	0.002681	0.38610625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	16	0.01	7500.0	0.0	0.004046	0.3381	1.0
recent 5 kya, s=0.05	recent5k_s0p05	16	0.01	10000.0	0.01	0.007332625000000001	0.65925	0.5144685691428857
recent 5 kya, s=0.05	recent5k_s0p05	16	0.01	15000.0	0.02	0.02339975	0.4556125	0.6759665504181198
recent 5 kya, s=0.05	recent5k_s0p05	16	0.01	20000.0	0.05	0.045883375000000004	0.60215	0.48129398382520217
recent 5 kya, s=0.05	recent5k_s0p05	16	0.01	30000.0	0.11	0.10039962499999999	0.63904375	0.4095198810014875
recent 5 kya, s=0.05	recent5k_s0p05	16	0.01	50000.0	0.27	0.203113625	0.8396499999999999	0.1739103261209235
recent 5 kya, s=0.05	recent5k_s0p05	17	0.065	500.0	0.0	4.1874999999999995e-05	0.49790625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	17	0.065	1000.0	0.0	0.00034862500000000003	0.48256875	1.0
recent 5 kya, s=0.05	recent5k_s0p05	17	0.065	2000.0	0.0	0.000993375	0.45258125	1.0
recent 5 kya, s=0.05	recent5k_s0p05	17	0.065	3000.0	0.0	0.001476625	0.43190625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	17	0.065	5000.0	0.0	0.002681	0.38610625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	17	0.065	7500.0	0.0	0.004046	0.3381	1.0
recent 5 kya, s=0.05	recent5k_s0p05	17	0.065	10000.0	0.01	0.007332625000000001	0.65925	0.5144685691428857
recent 5 kya, s=0.05	recent5k_s0p05	17	0.065	15000.0	0.01	0.02339975	0.209875	0.904288696391295
recent 5 kya, s=0.05	recent5k_s0p05	17	0.065	20000.0	0.02	0.045883375000000004	0.11776249999999999	0.9382132723340958
recent 5 kya, s=0.05	recent5k_s0p05	17	0.065	30000.0	0.13	0.10039962499999999	0.802075	0.22988462644216948
recent 5 kya, s=0.05	recent5k_s0p05	17	0.065	50000.0	0.19	0.203113625	0.48929375	0.540505743678204
recent 5 kya, s=0.05	recent5k_s0p05	18	0.0	500.0	0.0	4.1874999999999995e-05	0.49790625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	18	0.0	1000.0	0.0	0.00034862500000000003	0.48256875	1.0
recent 5 kya, s=0.05	recent5k_s0p05	18	0.0	2000.0	0.0	0.000993375	0.45258125	1.0
recent 5 kya, s=0.05	recent5k_s0p05	18	0.0	3000.0	0.0	0.001476625	0.43190625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	18	0.0	5000.0	0.0	0.002681	0.38610625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	18	0.0	7500.0	0.0	0.004046	0.3381	1.0
recent 5 kya, s=0.05	recent5k_s0p05	18	0.0	10000.0	0.0	0.007332625000000001	0.24276875	1.0
recent 5 kya, s=0.05	recent5k_s0p05	18	0.0	15000.0	0.01	0.02339975	0.209875	0.904288696391295
recent 5 kya, s=0.05	recent5k_s0p05	18	0.0	20000.0	0.03	0.045883375000000004	0.256475	0.8262646716916039
recent 5 kya, s=0.05	recent5k_s0p05	18	0.0	30000.0	0.05	0.10039962499999999	0.07231875	0.9521005987425157
recent 5 kya, s=0.05	recent5k_s0p05	18	0.0	50000.0	0.12	0.203113625	0.1013375	0.9166135423307209
recent 5 kya, s=0.05	recent5k_s0p05	19	0.015	500.0	0.0	4.1874999999999995e-05	0.49790625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	19	0.015	1000.0	0.0	0.00034862500000000003	0.48256875	1.0
recent 5 kya, s=0.05	recent5k_s0p05	19	0.015	2000.0	0.0	0.000993375	0.45258125	1.0
recent 5 kya, s=0.05	recent5k_s0p05	19	0.015	3000.0	0.0	0.001476625	0.43190625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	19	0.015	5000.0	0.0	0.002681	0.38610625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	19	0.015	7500.0	0.0	0.004046	0.3381	1.0
recent 5 kya, s=0.05	recent5k_s0p05	19	0.015	10000.0	0.0	0.007332625000000001	0.24276875	1.0
recent 5 kya, s=0.05	recent5k_s0p05	19	0.015	15000.0	0.0	0.02339975	0.04785625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	19	0.015	20000.0	0.02	0.045883375000000004	0.11776249999999999	0.9382132723340958
recent 5 kya, s=0.05	recent5k_s0p05	19	0.015	30000.0	0.07	0.10039962499999999	0.21540625	0.8303146210672366
recent 5 kya, s=0.05	recent5k_s0p05	19	0.015	50000.0	0.14	0.203113625	0.1895	0.8363770452869339
recent 5 kya, s=0.1	recent5k_s0p1	0	0.56	500.0	0.0	4.1874999999999995e-05	0.49790625	1.0
recent 5 kya, s=0.1	recent5k_s0p1	0	0.56	1000.0	0.0	0.00034862500000000003	0.48256875	1.0
recent 5 kya, s=0.1	recent5k_s0p1	0	0.56	2000.0	0.0	0.000993375	0.45258125	1.0
recent 5 kya, s=0.1	recent5k_s0p1	0	0.56	3000.0	0.02	0.001476625	0.9942625	0.011362357970525368
