position_0based	origin	selection_coefficient	genotype_class	threshold_years	n_replicates	mean_statistic	auc_vs_neutral
2230000.0	introgressed	0.002	unconditional	20000.0	80	0.042749999999999976	0.47272289062500017
2240000.0	introgressed	0.002	unconditional	20000.0	80	0.042624999999999996	0.47446781250000003
2250000.0	introgressed	0.002	unconditional	20000.0	80	0.042374999999999975	0.46212234375000005
2260000.0	introgressed	0.002	unconditional	20000.0	80	0.042374999999999975	0.4584628125000001
2270000.0	introgressed	0.002	unconditional	20000.0	80	0.04312499999999998	0.4673140625000003
2280000.0	introgressed	0.002	unconditional	20000.0	80	0.04149999999999998	0.44673242187500006
2290000.0	introgressed	0.002	unconditional	20000.0	80	0.042249999999999996	0.45724781249999974
2300000.0	introgressed	0.002	unconditional	20000.0	80	0.04362499999999999	0.48095578124999994
2310000.0	introgressed	0.002	unconditional	20000.0	80	0.04237499999999998	0.4648424218749999
2320000.0	introgressed	0.002	unconditional	20000.0	80	0.04299999999999999	0.47400109375
2330000.0	introgressed	0.002	unconditional	20000.0	80	0.04387499999999998	0.48441515624999976
2340000.0	introgressed	0.002	unconditional	20000.0	80	0.042999999999999976	0.4636845312500001
2350000.0	introgressed	0.002	unconditional	20000.0	80	0.044124999999999984	0.4794042187499999
2360000.0	introgressed	0.002	unconditional	20000.0	80	0.046249999999999986	0.5026997656249999
2370000.0	introgressed	0.002	unconditional	20000.0	80	0.04812499999999998	0.5214142187499998
2380000.0	introgressed	0.002	unconditional	20000.0	80	0.04649999999999999	0.5016017187499998
2390000.0	introgressed	0.002	unconditional	20000.0	80	0.046999999999999986	0.5025025000000001
2400000.0	introgressed	0.002	unconditional	20000.0	80	0.04699999999999997	0.5093641406249998
2410000.0	introgressed	0.002	unconditional	20000.0	80	0.046624999999999965	0.5158812500000001
2420000.0	introgressed	0.002	unconditional	20000.0	80	0.046124999999999985	0.5032591406250002
2430000.0	introgressed	0.002	unconditional	20000.0	80	0.04674999999999998	0.5114737499999998
2440000.0	introgressed	0.002	unconditional	20000.0	80	0.047249999999999986	0.5229296874999999
2450000.0	introgressed	0.002	unconditional	20000.0	80	0.04724999999999998	0.5251538281249998
2460000.0	introgressed	0.002	unconditional	20000.0	80	0.046874999999999986	0.5273559374999999
2470000.0	introgressed	0.002	unconditional	20000.0	80	0.046999999999999986	0.5294747656249997
2480000.0	introgressed	0.002	unconditional	20000.0	80	0.047124999999999986	0.5264370312499999
2490000.0	introgressed	0.002	unconditional	20000.0	80	0.0485	0.5344514843750001
2500000.0	introgressed	0.002	unconditional	20000.0	80	0.04824999999999998	0.53447
2510000.0	introgressed	0.002	unconditional	20000.0	80	0.04824999999999999	0.5280391406249998
2520000.0	introgressed	0.002	unconditional	20000.0	80	0.04737499999999997	0.519360078125
2530000.0	introgressed	0.002	unconditional	20000.0	80	0.04837499999999999	0.5251803124999999
2540000.0	introgressed	0.002	unconditional	20000.0	80	0.04737499999999999	0.513285078125
2550000.0	introgressed	0.002	unconditional	20000.0	80	0.04812499999999999	0.528940546875
2560000.0	introgressed	0.002	unconditional	20000.0	80	0.04799999999999999	0.5176256250000002
2570000.0	introgressed	0.002	unconditional	20000.0	80	0.04674999999999998	0.5007778125000003
2580000.0	introgressed	0.002	unconditional	20000.0	80	0.04749999999999997	0.51006578125
2590000.0	introgressed	0.002	unconditional	20000.0	80	0.04749999999999995	0.5069948437500001
2600000.0	introgressed	0.002	unconditional	20000.0	80	0.04812499999999998	0.5199321093750002
2610000.0	introgressed	0.002	unconditional	20000.0	80	0.04699999999999997	0.5015774218750001
2620000.0	introgressed	0.002	unconditional	20000.0	80	0.04612499999999998	0.499590703125
2630000.0	introgressed	0.002	unconditional	20000.0	80	0.04624999999999997	0.49615859375000004
2640000.0	introgressed	0.002	unconditional	20000.0	80	0.04424999999999997	0.4806597656250001
2650000.0	introgressed	0.002	unconditional	20000.0	80	0.04387499999999998	0.4739414062499999
2660000.0	introgressed	0.002	unconditional	20000.0	80	0.044624999999999984	0.4829394531249999
2670000.0	introgressed	0.002	unconditional	20000.0	80	0.04487499999999997	0.4912026562500002
2680000.0	introgressed	0.002	unconditional	20000.0	80	0.045249999999999985	0.4966507812499998
2690000.0	introgressed	0.002	unconditional	20000.0	80	0.046374999999999986	0.5063194531249999
