arm	arm_id	replicate_index	sample_af	threshold_years	statistic	null_mean	percentile	p_value
recent 5 kya, s=0.1	recent5k_s0p1	17	0.535	2000.0	0.0	0.0010025	0.48515625	1.0
recent 5 kya, s=0.1	recent5k_s0p1	17	0.535	3000.0	0.0	0.0014737499999999998	0.47845625	1.0
recent 5 kya, s=0.1	recent5k_s0p1	17	0.535	5000.0	1.0	0.00274375	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	17	0.535	7500.0	1.0	0.0040016666666666655	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	17	0.535	10000.0	1.0	0.007259583333333331	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	17	0.535	15000.0	1.0	0.02347708333333333	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	17	0.535	20000.0	1.0	0.04594499999999999	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	17	0.535	30000.0	1.0	0.10012499999999998	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	17	0.535	50000.0	1.0	0.20292083333333336	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	19	0.56	500.0	0.0	4.154411764705882e-05	0.49929375	1.0
recent 5 kya, s=0.1	recent5k_s0p1	19	0.56	1000.0	0.029411764705882353	0.0003595588235294117	0.9938874999999999	0.012237347033162085
recent 5 kya, s=0.1	recent5k_s0p1	19	0.56	2000.0	0.029411764705882353	0.001013235294117647	0.9827750000000001	0.03398707516156048
recent 5 kya, s=0.1	recent5k_s0p1	19	0.56	3000.0	0.058823529411764705	0.001470220588235294	0.9994062499999999	0.0011999850001874976
recent 5 kya, s=0.1	recent5k_s0p1	19	0.56	5000.0	1.0	0.0026922794117647058	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	19	0.56	7500.0	1.0	0.004072058823529412	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	19	0.56	10000.0	1.0	0.00725625	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	19	0.56	15000.0	1.0	0.023413970588235293	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	19	0.56	20000.0	1.0	0.04584926470588235	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	19	0.56	30000.0	1.0	0.10048161764705883	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	19	0.56	50000.0	1.0	0.20288014705882354	1.0	1.24998437519531e-05
de novo 55 kya, s=0.05	denovo_s0p05	0	1.0	500.0	0.0	4.1874999999999995e-05	0.49790625	1.0
de novo 55 kya, s=0.05	denovo_s0p05	0	1.0	1000.0	0.0	0.00034862500000000003	0.48256875	1.0
de novo 55 kya, s=0.05	denovo_s0p05	0	1.0	2000.0	0.0	0.000993375	0.45258125	1.0
de novo 55 kya, s=0.05	denovo_s0p05	0	1.0	3000.0	0.0	0.001476625	0.43190625	1.0
de novo 55 kya, s=0.05	denovo_s0p05	0	1.0	5000.0	0.01	0.002681	0.8691	0.2277971525355933
de novo 55 kya, s=0.05	denovo_s0p05	0	1.0	7500.0	0.01	0.004046	0.804	0.3238084523943451
