origin	arm_id	selection_coefficient	replicate_index	sample_af	hom_carrier_diploids	genotype_class	n_pairs	threshold_years	statistic	null_mean	p_value	percentile
introgressed	eas_introgressed_s0p002	0.002	8	0.43	18	unconditional	100	100000.0	0.32	0.34436500000000003	0.5157935525805928	0.50195
introgressed	eas_introgressed_s0p002	0.002	8	0.43	18	hom_carrier	18	1000.0	0.0	0.00035277777777777787	1.0	0.496825
introgressed	eas_introgressed_s0p002	0.002	8	0.43	18	hom_carrier	18	4500.0	0.0	0.002377777777777778	1.0	0.4791375
introgressed	eas_introgressed_s0p002	0.002	8	0.43	18	hom_carrier	18	10000.0	0.0	0.007389583333333334	1.0	0.4376375
introgressed	eas_introgressed_s0p002	0.002	8	0.43	18	hom_carrier	18	20000.0	0.05555555555555555	0.04583541666666668	0.5670304121198485	0.6164937500000001
introgressed	eas_introgressed_s0p002	0.002	8	0.43	18	hom_carrier	18	30000.0	0.3888888888888889	0.10070486111111111	0.002712466094173823	0.99835
introgressed	eas_introgressed_s0p002	0.002	8	0.43	18	hom_carrier	18	40000.0	0.3888888888888889	0.15572916666666667	0.029487131410857365	0.9795937499999999
introgressed	eas_introgressed_s0p002	0.002	8	0.43	18	hom_carrier	18	50000.0	1.0	0.2029340277777778	1.24998437519531e-05	1.0
introgressed	eas_introgressed_s0p002	0.002	8	0.43	18	hom_carrier	18	100000.0	1.0	0.34451180555555555	0.001999975000312496	0.99900625
introgressed	eas_introgressed_s0p002	0.002	9	0.595	32	unconditional	100	1000.0	0.0	0.00034862500000000003	1.0	0.48256875
introgressed	eas_introgressed_s0p002	0.002	9	0.595	32	unconditional	100	4500.0	0.0	0.00241125	1.0	0.39644375
introgressed	eas_introgressed_s0p002	0.002	9	0.595	32	unconditional	100	10000.0	0.0	0.007332625000000001	1.0	0.24276875
introgressed	eas_introgressed_s0p002	0.002	9	0.595	32	unconditional	100	20000.0	0.07	0.045883375000000004	0.1878476519043512	0.8548250000000001
introgressed	eas_introgressed_s0p002	0.002	9	0.595	32	unconditional	100	30000.0	0.1	0.10039962499999999	0.51865601679979	0.53591875
introgressed	eas_introgressed_s0p002	0.002	9	0.595	32	unconditional	100	40000.0	0.19	0.15611	0.2602717466031675	0.7636437500000001
introgressed	eas_introgressed_s0p002	0.002	9	0.595	32	unconditional	100	50000.0	0.23	0.203113625	0.32223347208159897	0.6999
introgressed	eas_introgressed_s0p002	0.002	9	0.595	32	unconditional	100	100000.0	0.38	0.34436500000000003	0.3258209272384095	0.6872125
introgressed	eas_introgressed_s0p002	0.002	9	0.595	32	hom_carrier	32	1000.0	0.0	0.00034609375	1.0	0.4944625
introgressed	eas_introgressed_s0p002	0.002	9	0.595	32	hom_carrier	32	4500.0	0.0	0.002453515625	1.0	0.462825
introgressed	eas_introgressed_s0p002	0.002	9	0.595	32	hom_carrier	32	10000.0	0.0	0.007348828125	1.0	0.3954625
introgressed	eas_introgressed_s0p002	0.002	9	0.595	32	hom_carrier	32	20000.0	0.15625	0.04608984375	0.016724790940113247	0.9896375
introgressed	eas_introgressed_s0p002	0.002	9	0.595	32	hom_carrier	32	30000.0	0.25	0.100524609375	0.021387232659591755	0.985275
introgressed	eas_introgressed_s0p002	0.002	9	0.595	32	hom_carrier	32	40000.0	0.5	0.155844921875	0.0012499843751953101	0.99903125
introgressed	eas_introgressed_s0p002	0.002	9	0.595	32	hom_carrier	32	50000.0	0.59375	0.203024609375	0.0023249709378632766	0.9981187499999999
introgressed	eas_introgressed_s0p002	0.002	9	0.595	32	hom_carrier	32	100000.0	1.0	0.344387890625	0.0011999850001874976	0.9994062499999999
introgressed	eas_introgressed_s0p002	0.002	10	0.12	0	unconditional	100	1000.0	0.0	0.00034862500000000003	1.0	0.48256875
introgressed	eas_introgressed_s0p002	0.002	10	0.12	0	unconditional	100	4500.0	0.0	0.00241125	1.0	0.39644375
introgressed	eas_introgressed_s0p002	0.002	10	0.12	0	unconditional	100	10000.0	0.0	0.007332625000000001	1.0	0.24276875
introgressed	eas_introgressed_s0p002	0.002	10	0.12	0	unconditional	100	20000.0	0.04	0.045883375000000004	0.6607917401032487	0.42896249999999997
introgressed	eas_introgressed_s0p002	0.002	10	0.12	0	unconditional	100	30000.0	0.06	0.10039962499999999	0.903263709203635	0.1332125
