origin	selection_coefficient	genotype_class	threshold_years	n_replicates	mean_sample_af	mean_statistic	mean_null	auc	power	median_p
introgressed	0.003	hom_carrier	30000.0	59	0.6471186440677966	0.3367269233526936	0.10042449424468344	0.9323328389830509	0.7457627118644068	0.012474844064449195
introgressed	0.003	hom_carrier	40000.0	59	0.6471186440677966	0.5628823557380275	0.1561145203803508	0.9654853813559322	0.847457627118644	0.0013124835939550756
introgressed	0.003	hom_carrier	50000.0	59	0.6471186440677966	0.8125644667416302	0.20312881640794883	0.9944004237288135	0.9322033898305084	1.24998437519531e-05
introgressed	0.003	hom_carrier	100000.0	59	0.6471186440677966	0.9452668293898006	0.34428188953931366	0.9860117584745763	0.9322033898305084	0.0013124835939550756
introgressed	0.003	unconditional	1000.0	80	0.516625	0.00025	0.00034862500000000003	0.49506875	0.025	1.0
introgressed	0.003	unconditional	4500.0	80	0.516625	0.0025	0.00241125	0.51308	0.0125	1.0
introgressed	0.003	unconditional	10000.0	80	0.516625	0.007625	0.007332625000000001	0.52227828125	0.0125	0.5144685691428857
introgressed	0.003	unconditional	20000.0	80	0.516625	0.047375	0.045883375000000004	0.5145297656250001	0.0625	0.5710428619642254
introgressed	0.003	unconditional	30000.0	80	0.516625	0.133	0.10039962499999999	0.67090796875	0.1875	0.31240859489256384
introgressed	0.003	unconditional	40000.0	80	0.516625	0.221875	0.15611	0.709548046875	0.275	0.21245984425194686
introgressed	0.003	unconditional	50000.0	80	0.516625	0.331	0.203113625	0.73702265625	0.35	0.12439844501943725
introgressed	0.003	unconditional	100000.0	80	0.516625	0.43637499999999996	0.34436500000000003	0.6360784374999999	0.2125	0.3258209272384095
introgressed	0.005	hom_carrier	1000.0	78	0.8704487179487179	0.00047548605240912934	0.00034810804203619795	0.4993011217948718	0.02564102564102564	1.0
introgressed	0.005	hom_carrier	4500.0	78	0.8704487179487179	0.0023975855832526626	0.0024090971424706865	0.49394374999999996	0.01282051282051282	1.0
introgressed	0.005	hom_carrier	10000.0	78	0.8704487179487179	0.008292967186800178	0.007333940243034125	0.49713189102564104	0.01282051282051282	1.0
introgressed	0.005	hom_carrier	20000.0	78	0.8704487179487179	0.09510001056977302	0.04588682922106401	0.7034328525641025	0.2692307692307692	0.2331533355833052
introgressed	0.005	hom_carrier	30000.0	78	0.8704487179487179	0.2460259078874786	0.10040333488072323	0.8487437499999999	0.5	0.04994937563280459
introgressed	0.005	hom_carrier	40000.0	78	0.8704487179487179	0.4312869457094028	0.15610947769915187	0.9204604166666667	0.6794871794871795	0.007068661641729478
introgressed	0.005	hom_carrier	50000.0	78	0.8704487179487179	0.6840212284201038	0.20310573206327684	0.9770009615384615	0.9102564102564102	0.000681241484481444
introgressed	0.005	hom_carrier	100000.0	78	0.8704487179487179	0.8904063268018846	0.3443558662816639	0.9756228365384615	0.8461538461538461	0.0008437394532568343
introgressed	0.005	unconditional	1000.0	80	0.852875	0.000375	0.00034862500000000003	0.50131875	0.0375	1.0
introgressed	0.005	unconditional	4500.0	80	0.852875	0.002	0.00241125	0.48879031250000005	0.0125	1.0
introgressed	0.005	unconditional	10000.0	80	0.852875	0.006	0.007332625000000001	0.470394921875	0.0125	1.0
introgressed	0.005	unconditional	20000.0	80	0.852875	0.059	0.045883375000000004	0.628845078125	0.1625	0.39785752678091524
introgressed	0.005	unconditional	30000.0	80	0.852875	0.166875	0.10039962499999999	0.780751953125	0.3625	0.11817352283096462
introgressed	0.005	unconditional	40000.0	80	0.852875	0.303625	0.15611	0.8620625000000001	0.5	0.04425569680378995
introgressed	0.005	unconditional	50000.0	80	0.852875	0.5065000000000001	0.203113625	0.928127109375	0.7625	0.00959988000149998
introgressed	0.005	unconditional	100000.0	80	0.852875	0.6912499999999999	0.34436500000000003	0.8950830468750001	0.6375	0.016481043986950165
introgressed	0.01	hom_carrier	1000.0	80	0.9984999999999999	0.00075	0.0003486399766185518	0.520120234375	0.075	1.0
introgressed	0.01	hom_carrier	4500.0	80	0.9984999999999999	0.002001262626262626	0.002410863149193751	0.48907531249999997	0.0125	1.0
introgressed	0.01	hom_carrier	10000.0	80	0.9984999999999999	0.005886573000412286	0.007332447160327005	0.44528960937499995	0.0375	1.0
introgressed	0.01	hom_carrier	20000.0	80	0.9984999999999999	0.044264214972149434	0.04588274624189125	0.484192734375	0.0125	0.6571230359620505
introgressed	0.01	hom_carrier	30000.0	80	0.9984999999999999	0.11533648491808471	0.10039638652051079	0.58952796875	0.125	0.4095198810014875
introgressed	0.01	hom_carrier	40000.0	80	0.9984999999999999	0.2645735007940227	0.15610668088489094	0.74906875	0.3125	0.17087286408919888
introgressed	0.01	hom_carrier	50000.0	80	0.9984999999999999	0.5576399711399711	0.20311091331001346	0.9517382812499999	0.7625	0.006499918751015612
introgressed	0.01	hom_carrier	100000.0	80	0.9984999999999999	0.8448661616161616	0.34437015976511615	0.9568334374999999	0.75	0.0007874901563730453
introgressed	0.01	unconditional	1000.0	80	0.9984999999999999	0.00075	0.00034862500000000003	0.52006875	0.075	1.0
introgressed	0.01	unconditional	4500.0	80	0.9984999999999999	0.002	0.00241125	0.48879031250000005	0.0125	1.0
introgressed	0.01	unconditional	10000.0	80	0.9984999999999999	0.005875	0.007332625000000001	0.44461546875	0.0375	1.0
introgressed	0.01	unconditional	20000.0	80	0.9984999999999999	0.044125000000000004	0.045883375000000004	0.48214187500000005	0.0125	0.6607917401032487
introgressed	0.01	unconditional	30000.0	80	0.9984999999999999	0.11487499999999999	0.10039962499999999	0.587829140625	0.125	0.4095198810014875
introgressed	0.01	unconditional	40000.0	80	0.9984999999999999	0.263125	0.15611	0.74813078125	0.3125	0.17087286408919888
introgressed	0.01	unconditional	50000.0	80	0.9984999999999999	0.5551250000000001	0.203113625	0.9516403906249999	0.7625	0.006499918751015612
introgressed	0.01	unconditional	100000.0	80	0.9984999999999999	0.842	0.34436500000000003	0.9565984375	0.75	0.0008749890626367171
neutral	0.0	neutral	1000.0	80	0.0	0.00025	0.00034862500000000003	0.49506875	0.025	1.0
neutral	0.0	neutral	4500.0	80	0.0	0.001875	0.00241125	0.4827178906249999	0.0125	1.0
neutral	0.0	neutral	10000.0	80	0.0	0.007125000000000001	0.007332625000000001	0.5023586718749999	0.05	0.5144685691428857
neutral	0.0	neutral	20000.0	80	0.0	0.043375000000000004	0.045883375000000004	0.4644402343749999	0.05	0.6607917401032487
neutral	0.0	neutral	30000.0	80	0.0	0.10287500000000001	0.10039962499999999	0.50309765625	0.0625	0.6320420994737566
neutral	0.0	neutral	40000.0	80	0.0	0.157	0.15611	0.502829765625	0.0625	0.5278184022699717
neutral	0.0	neutral	50000.0	80	0.0	0.20325000000000001	0.203113625	0.49390640625	0.0625	0.540505743678204
neutral	0.0	neutral	100000.0	80	0.0	0.346	0.34436500000000003	0.512300390625	0.05	0.5157935525805928
