position_0based	arm	threshold_years	genotype_class	method	n_replicates	mean_statistic
2470000.0	neutral	1000.0	overall	truth	100	0.00044300000000000025
2480000.0	neutral	1000.0	overall	truth	100	0.0004440000000000003
2490000.0	neutral	1000.0	overall	truth	100	0.0004440000000000002
2500000.0	neutral	1000.0	overall	truth	100	0.00044300000000000025
2510000.0	neutral	1000.0	overall	truth	100	0.00044100000000000026
2520000.0	neutral	1000.0	overall	truth	100	0.00044100000000000026
2530000.0	neutral	1000.0	overall	truth	100	0.0004420000000000002
2540000.0	neutral	1000.0	overall	truth	100	0.00044300000000000025
2550000.0	neutral	1000.0	overall	truth	100	0.00044100000000000026
2560000.0	neutral	1000.0	overall	truth	100	0.0004420000000000002
2570000.0	neutral	1000.0	overall	truth	100	0.00043900000000000037
2580000.0	neutral	1000.0	overall	truth	100	0.00044100000000000037
2590000.0	neutral	1000.0	overall	truth	100	0.00044000000000000034
2600000.0	neutral	1000.0	overall	truth	100	0.0004370000000000004
2610000.0	neutral	1000.0	overall	truth	100	0.00043800000000000035
2620000.0	neutral	1000.0	overall	truth	100	0.00044100000000000037
2630000.0	neutral	1000.0	overall	truth	100	0.0004450000000000003
2640000.0	neutral	1000.0	overall	truth	100	0.00045300000000000033
2650000.0	neutral	1000.0	overall	truth	100	0.00045400000000000036
2660000.0	neutral	1000.0	overall	truth	100	0.00045300000000000033
2670000.0	neutral	1000.0	overall	truth	100	0.00045400000000000036
2680000.0	neutral	1000.0	overall	truth	100	0.00045600000000000046
2690000.0	neutral	1000.0	overall	truth	100	0.00045800000000000034
2700000.0	neutral	1000.0	overall	truth	100	0.0004580000000000003
2710000.0	neutral	1000.0	overall	truth	100	0.0004600000000000003
2720000.0	neutral	1000.0	overall	truth	100	0.00045900000000000026
2730000.0	neutral	1000.0	overall	truth	100	0.00045500000000000027
2740000.0	neutral	1000.0	overall	truth	100	0.0004540000000000003
2750000.0	neutral	1000.0	overall	truth	100	0.0004540000000000003
2760000.0	neutral	1000.0	overall	truth	100	0.00045400000000000025
2770000.0	neutral	1000.0	overall	truth	100	0.0004530000000000002
2780000.0	neutral	1000.0	overall	truth	100	0.0004540000000000002
2790000.0	neutral	1000.0	overall	truth	100	0.00045500000000000027
2800000.0	neutral	1000.0	overall	truth	100	0.00045200000000000025
2810000.0	neutral	1000.0	overall	truth	100	0.00045200000000000025
2820000.0	neutral	1000.0	overall	truth	100	0.0004530000000000002
2830000.0	neutral	1000.0	overall	truth	100	0.00045200000000000025
2840000.0	neutral	1000.0	overall	truth	100	0.0004500000000000002
