arm	method	genotype_class	threshold_years	n_replicates	n_null	mean_statistic	null_mean	auc	power_rule	power_p_corrected	median_exceedance	median_p_corrected	median_p_raw
recent_denovo	decode	overall	30000.0	100	100	0.31907099999999994	0.131466	0.8700500000000001	0.35	0.27	3.0	0.039603960396039604	0.03
introgressed_pulse	decode_meanp	overall	30000.0	100	100	0.19106950462590003	0.1962195836407	0.4842	0.02	0.01	50.0	0.504950495049505	0.5
introgressed_pulse_weak	decode_meanp	overall	30000.0	100	100	0.1752124297648	0.1962195836407	0.4376	0.0	0.0	58.0	0.5841584158415841	0.5800000000000001
postintro_denovo	decode_meanp	overall	30000.0	100	100	0.19299112499379997	0.1962195836407	0.5106	0.01	0.0	51.0	0.5148514851485149	0.51
recent_denovo	decode_meanp	overall	30000.0	100	100	0.3549537761045	0.1962195836407	0.8173999999999999	0.26	0.24	6.0	0.06930693069306931	0.06
introgressed_pulse	truth	carrier_carrier	30000.0	89	100	0.45662694210495436	0.101847	0.9829213483146066	0.9213483146067416	0.9101123595505618	0.0	0.009900990099009901	0.0
introgressed_pulse	truth	carrier_noncarrier	30000.0	98	100	0.0	0.101847	0.0	0.0	0.0	100.0	1.0	1.0
introgressed_pulse	truth	noncarrier_noncarrier	30000.0	99	100	0.14286352643594075	0.101847	0.7485353535353536	0.1919191919191919	0.18181818181818182	14.0	0.1485148514851485	0.14
introgressed_pulse	truth	overall	30000.0	100	100	0.11468499999999998	0.101847	0.62055	0.05	0.05	31.0	0.31683168316831684	0.31
introgressed_pulse_weak	truth	carrier_carrier	30000.0	78	100	0.5190571688265141	0.101847	0.9976923076923078	0.9358974358974359	0.9230769230769231	0.0	0.009900990099009901	0.0
introgressed_pulse_weak	truth	carrier_noncarrier	30000.0	100	100	0.0	0.101847	0.0	0.0	0.0	100.0	1.0	1.0
introgressed_pulse_weak	truth	noncarrier_noncarrier	30000.0	100	100	0.13451363413419828	0.101847	0.7116000000000001	0.13	0.12	17.0	0.1782178217821782	0.16999999999999998
introgressed_pulse_weak	truth	overall	30000.0	100	100	0.106381	0.101847	0.5384	0.03	0.03	42.0	0.42574257425742573	0.42
postintro_denovo	truth	carrier_carrier	30000.0	87	100	0.4916849514687899	0.101847	0.9934482758620691	0.9540229885057471	0.9540229885057471	0.0	0.009900990099009901	0.0
postintro_denovo	truth	carrier_noncarrier	30000.0	99	100	0.0	0.101847	0.0	0.0	0.0	100.0	1.0	1.0
postintro_denovo	truth	noncarrier_noncarrier	30000.0	100	100	0.12745616603690732	0.101847	0.70565	0.09	0.09	21.0	0.21782178217821782	0.21000000000000002
postintro_denovo	truth	overall	30000.0	100	100	0.10940199999999997	0.101847	0.5505499999999999	0.06	0.05	37.5	0.3811881188118812	0.375
recent_denovo	truth	carrier_carrier	30000.0	94	100	1.0	0.101847	1.0	1.0	1.0	0.0	0.009900990099009901	0.0
recent_denovo	truth	carrier_noncarrier	30000.0	100	100	0.09835579181031956	0.101847	0.3923	0.15	0.14	85.5	0.8564356435643564	0.855
recent_denovo	truth	noncarrier_noncarrier	30000.0	100	100	0.10271536913370284	0.101847	0.5175	0.02	0.02	41.0	0.4158415841584158	0.41
recent_denovo	truth	overall	30000.0	100	100	0.3259270000000001	0.101847	0.92435	0.73	0.73	0.0	0.009900990099009901	0.0
introgressed_pulse	decode	overall	40000.0	100	100	0.18699000000000002	0.178043	0.54865	0.03	0.01	45.5	0.4603960396039604	0.455
introgressed_pulse_weak	decode	overall	40000.0	100	100	0.16891899999999999	0.178043	0.51795	0.0	0.0	49.5	0.5	0.495
