onset_years,source,pair_class,position_0based,mean_tmrca_years,mean_tmrca_years_n_regions,mean_tmrca_years_lower95,mean_tmrca_years_upper95,frac_recent_5000,frac_recent_5000_n_regions,frac_recent_5000_lower95,frac_recent_5000_upper95,frac_recent_10000,frac_recent_10000_n_regions,frac_recent_10000_lower95,frac_recent_10000_upper95,frac_recent_20000,frac_recent_20000_n_regions,frac_recent_20000_lower95,frac_recent_20000_upper95,frac_recent_30000,frac_recent_30000_n_regions,frac_recent_30000_lower95,frac_recent_30000_upper95,frac_recent_40000,frac_recent_40000_n_regions,frac_recent_40000_lower95,frac_recent_40000_upper95,frac_recent_50000,frac_recent_50000_n_regions,frac_recent_50000_lower95,frac_recent_50000_upper95
10000,truth,ref/ref,8330000,476093.68,100,413725.391,538461.968,0.00268830029,100,0.00255285809,0.00282374249,0.00754033692,100,0.00726165313,0.00781902071,0.0470553307,100,0.0452438594,0.048866802,0.102060416,100,0.0968985197,0.107222312,0.157856215,100,0.148646763,0.167065667,0.195935486,100,0.184657605,0.207213367
10000,truth,ref/ref,8340000,461704.973,100,398311.038,525098.908,0.00270680737,100,0.00257160279,0.00284201196,0.00756088859,100,0.00728220498,0.0078395722,0.0471414634,100,0.0454626343,0.0488202925,0.103378789,100,0.0981073404,0.108650237,0.157364307,100,0.148244052,0.166484561,0.19376937,100,0.180818114,0.206720627
10000,truth,ref/ref,8350000,449924.597,100,399380.131,500469.063,0.00269709716,100,0.00256287979,0.00283131452,0.00765492175,100,0.00735475431,0.00795508919,0.0473397899,100,0.0456970619,0.0489825179,0.104558622,100,0.0991223431,0.109994901,0.15910182,100,0.149940559,0.16826308,0.196865549,100,0.184057798,0.209673301
10000,truth,ref/ref,8360000,539373.544,100,471477.299,607269.788,0.00269335187,100,0.0025554206,0.00283128314,0.00768280037,100,0.00738837785,0.00797722288,0.0475942781,100,0.0459325369,0.0492560193,0.104685091,100,0.0993334085,0.110036772,0.159020469,100,0.150012429,0.168028509,0.198205711,100,0.185722722,0.2106887
10000,truth,ref/ref,8370000,486234.169,100,425821.595,546646.743,0.00269880307,100,0.00255992747,0.00283767868,0.00765849154,100,0.00735781944,0.00795916364,0.0474226603,100,0.0457480087,0.0490973118,0.104257338,100,0.098615352,0.109899325,0.161035176,100,0.150016809,0.172053544,0.203940223,100,0.190351901,0.217528545
10000,truth,ref/ref,8380000,512998.343,100,455823.927,570172.76,0.00267773451,100,0.00253648978,0.00281897924,0.00762892301,100,0.00732769553,0.00793015049,0.0474679528,100,0.0457204589,0.0492154467,0.102804134,100,0.0975714605,0.108036808,0.160028418,100,0.148669593,0.171387244,0.206772818,100,0.192247144,0.221298491
10000,truth,ref/ref,8390000,511982.976,100,451846.728,572119.224,0.00268173091,100,0.0025395896,0.00282387221,0.00756227549,100,0.00728346562,0.00784108535,0.0466503016,100,0.0449476921,0.048352911,0.101022823,100,0.0958610637,0.106184582,0.153948092,100,0.143113086,0.164783098,0.200660469,100,0.186926715,0.214394222
10000,truth,ref/ref,8400000,523975.667,100,470265.235,577686.098,0.00269502391,100,0.00254987712,0.0028401707,0.00755240812,100,0.00727172053,0.00783309571,0.0464331273,100,0.0447471854,0.0481190692,0.100356255,100,0.0952582795,0.10545423,0.156237481,100,0.144962799,0.167512162,0.207381104,100,0.192150635,0.222611572
10000,truth,ref/ref,8410000,494599.647,100,431079.843,558119.451,0.00269596878,100,0.00254715698,0.00284478059,0.00754419034,100,0.00726119679,0.00782718389,0.0467217622,100,0.044944731,0.0484987934,0.101498357,100,0.0955747631,0.107421951,0.157954913,100,0.145554308,0.170355518,0.204390521,100,0.189339703,0.219441339
10000,truth,ref/ref,8420000,511375.546,100,452448.378,570302.714,0.00269152663,100,0.00254162368,0.00284142958,0.00752097974,100,0.00723700713,0.00780495235,0.0465516775,100,0.0447994759,0.0483038792,0.101146191,100,0.0959320206,0.106360361,0.158512685,100,0.147413448,0.169611922,0.200584433,100,0.186926857,0.214242009
10000,truth,ref/ref,8430000,516445.929,100,456457.054,576434.803,0.002679691,100,0.00252735718,0.00283202482,0.00749946662,100,0.00722441215,0.00777452109,0.0464163188,100,0.0445621492,0.0482704885,0.0999945406,100,0.0950236656,0.104965416,0.154900185,100,0.144342861,0.165457509,0.196960077,100,0.183879246,0.210040908
10000,truth,ref/ref,8440000,482783.807,100,427721.293,537846.32,0.0026887355,100,0.00253484921,0.00284262178,0.00752888315,100,0.00724862933,0.00780913696,0.0460851299,100,0.044226011,0.0479442488,0.100825206,100,0.0956326715,0.106017741,0.155291495,100,0.144519591,0.166063399,0.201217208,100,0.187320266,0.21511415
10000,truth,ref/ref,8450000,486787.025,100,427439.803,546134.247,0.00268715633,100,0.00252869588,0.00284561678,0.00755357849,100,0.00726514854,0.00784200844,0.0460340334,100,0.0441337999,0.0479342669,0.10016978,100,0.0949551525,0.105384408,0.153667592,100,0.143157399,0.164177785,0.19490976,100,0.181744799,0.208074721
10000,truth,ref/ref,8460000,547064.492,100,466533.726,627595.258,0.00267226518,100,0.00251170116,0.0028328292,0.007497822,100,0.0072215671,0.00777407691,0.0457593241,100,0.0439120153,0.0476066329,0.101206171,100,0.0963558964,0.106056445,0.155643467,100,0.145137791,0.166149144,0.195923744,100,0.181880293,0.209967194
10000,truth,ref/ref,8470000,508940.961,100,443469.306,574412.616,0.00268088376,100,0.00251912884,0.00284263867,0.0074941768,100,0.00721537777,0.00777297583,0.0461713762,100,0.0441392545,0.0482034979,0.101065417,100,0.0962444961,0.105886339,0.155018861,100,0.145693598,0.164344123,0.196901926,100,0.183368379,0.210435474
10000,truth,ref/ref,8480000,489730.929,100,432909.808,546552.051,0.00266708038,100,0.00250968517,0.0028244756,0.00744642122,100,0.00717402567,0.00771881677,0.0456605746,100,0.0437197181,0.047601431,0.101499672,100,0.0968427685,0.106156576,0.153944363,100,0.144983985,0.162904741,0.198886826,100,0.18547592,0.212297733
10000,truth,ref/ref,8490000,494630.506,100,435215.679,554045.333,0.00267164201,100,0.00250927375,0.00283401027,0.00746697571,100,0.0071736019,0.00776034952,0.0456325033,100,0.0436200362,0.0476449704,0.101575582,100,0.0970914252,0.10605974,0.153920261,100,0.145345816,0.162494706,0.197465676,100,0.184942433,0.209988919
10000,truth,ref/ref,8500000,511410.139,100,445518.674,577301.603,0.00268231284,100,0.00251666002,0.00284796566,0.00753743455,100,0.00723686869,0.0078380004,0.0457577666,100,0.0436580843,0.0478574489,0.101905977,100,0.0977591846,0.106052769,0.153378352,100,0.144784203,0.1619725,0.196413252,100,0.183643247,0.209183257
10000,truth,ref/ref,8510000,445536.332,100,386615.776,504456.888,0.00269306121,100,0.00252735115,0.00285877128,0.007613227,100,0.00731638084,0.00791007316,0.0459741636,100,0.0439482114,0.0480001159,0.103682052,100,0.0988418699,0.108522234,0.154539267,100,0.14541558,0.163662955,0.19483099,100,0.182490527,0.207171453
10000,truth,ref/ref,8520000,550639.87,100,483648.213,617631.527,0.00268047643,100,0.00251712873,0.00284382413,0.00758765254,100,0.00728856021,0.00788674487,0.0459537738,100,0.0438166494,0.0480908983,0.104362867,100,0.0986379931,0.110087742,0.156194763,100,0.145822646,0.166566881,0.19933197,100,0.186722197,0.211941743
10000,truth,ref/ref,8530000,522691.549,100,462624.004,582759.094,0.0026813885,100,0.0025162836,0.00284649341,0.00757184194,100,0.00727309064,0.00787059323,0.0461285687,100,0.0441423406,0.0481147969,0.104700507,100,0.0986972339,0.11070378,0.156760484,100,0.146222663,0.167298306,0.197606831,100,0.18525188,0.209961782
10000,truth,ref/ref,8540000,457625.536,100,406116.027,509135.044,0.00268999224,100,0.00252418973,0.00285579475,0.00754505805,100,0.00725844726,0.00783166885,0.0461405522,100,0.0441035141,0.0481775904,0.105260356,100,0.0992640568,0.111256656,0.158817608,100,0.147796553,0.169838662,0.200698393,100,0.187703658,0.213693127
10000,truth,ref/ref,8550000,501587.943,100,437169.902,566005.984,0.00271729035,100,0.0025515088,0.0028830719,0.00755556123,100,0.0072755724,0.00783555007,0.0462135736,100,0.0440887273,0.0483384199,0.103121497,100,0.0975905791,0.108652415,0.155279605,100,0.145633881,0.164925328,0.19871477,100,0.186328199,0.211101341
10000,truth,ref/ref,8560000,503585.248,100,452463.997,554706.499,0.00272625759,100,0.00256267142,0.00288984376,0.00752864183,100,0.00723582644,0.00782145721,0.0461825511,100,0.0441056031,0.048259499,0.101029111,100,0.0961851739,0.105873048,0.156102044,100,0.146272275,0.165931814,0.1977692,100,0.185779441,0.209758959
