source,pair_class,position_0based,n_pairs,mean_tmrca_years,count_recent_5000,frac_recent_5000,count_recent_10000,frac_recent_10000,count_recent_20000,frac_recent_20000,count_recent_30000,frac_recent_30000,count_recent_40000,frac_recent_40000,count_recent_50000,frac_recent_50000,replicate,onset_years,sample_af
decoded,ref/ref,5000000,0,,0,,0,,0,,0,,0,,0,,10,50000,0.9875
decoded,alt/ref,5000000,231,994173.3956089,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,50000,0.9875
decoded,alt/alt,5000000,9769,46229.85676928346,61,0.0062442419899682,373,0.0381820042993141,1907,0.1952093356535981,3572,0.3656464325928959,5254,0.5378237281195619,6413,0.656464325928959,10,50000,0.9875
decoded,all pairs,5000000,10000,68127.35251647861,61,0.0061,373,0.0373,1907,0.1907,3572,0.3572,5254,0.5254,6413,0.6413,10,50000,0.9875
truth,ref/ref,5000000,0,,0,,0,,0,,0,,0,,0,,10,50000,0.9875
truth,alt/ref,5000000,231,1577589.3137988376,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,50000,0.9875
truth,alt/alt,5000000,9769,39277.19060292763,34,0.0034803971747364,95,0.0097246391647046,769,0.0787183949227147,1657,0.1696181799570068,3329,0.3407718292558092,9769,1.0,10,50000,0.9875
truth,all pairs,5000000,10000,74812.20064875315,34,0.0034,95,0.0095,769,0.0769,1657,0.1657,3329,0.3329,9769,0.9769,10,50000,0.9875
decoded,ref/ref,5000000,967,326287.31197343994,15,0.015511892450879,32,0.0330920372285418,80,0.0827300930713547,108,0.1116856256463288,135,0.139607032057911,172,0.1778697001034126,11,50000,0.6925
decoded,alt/ref,5000000,4317,626258.9876843207,0,0.0,0,0.0,2,0.000463284688441,4,0.000926569376882,8,0.0018531387537641,12,0.0027797081306462,11,50000,0.6925
decoded,alt/alt,5000000,4716,44339.20300334907,44,0.0093299406276505,274,0.058100084817642,1253,0.2656912637828668,2748,0.5826972010178118,3550,0.7527565733672604,3890,0.8248515691263782,11,50000,0.6925
decoded,all pairs,5000000,10000,322818.3561875323,59,0.0059,306,0.0306,1335,0.1335,2860,0.286,3693,0.3693,4074,0.4074,11,50000,0.6925
truth,ref/ref,5000000,967,257936.91830403308,7,0.0072388831437435,16,0.0165460186142709,83,0.0858324715615305,142,0.1468459152016546,151,0.156153050672182,151,0.156153050672182,11,50000,0.6925
truth,alt/ref,5000000,4317,703625.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,50000,0.6925
truth,alt/alt,5000000,4716,34884.356446140795,17,0.0036047497879558,54,0.0114503816793893,461,0.0977523324851569,1062,0.2251908396946564,2360,0.5004240882103478,4716,1.0,11,50000,0.6925
truth,all pairs,5000000,10000,345148.875,24,0.0024,70,0.007,544,0.0544,1204,0.1204,2511,0.2511,4867,0.4867,11,50000,0.6925
