attempt	seed	accepted	focal_allele_outcome	population_allele_frequency	ancestry_seconds	slim_seconds	used_for_rejection_decision
10280	1033577	False	lost	0.0	3.950000973418355e-05	0.4521102999569848	True
10281	1033587	False	segregating	0.000175	5.199998850002885e-05	4.064424899988808	True
10282	1033597	False	lost	0.0	2.9900053050369024e-05	0.4496497000218369	True
10283	1033607	False	lost	0.0	6.419996498152614e-05	0.4615271000075154	True
10284	1033617	False	lost	0.0	3.7699996028095484e-05	0.4672880999860354	True
10285	1033627	False	lost	0.0	5.7999975979328156e-05	0.46052929997676983	True
10286	1033637	False	lost	0.0	3.6999990697950125e-05	0.49280230002477765	True
10287	1033647	False	lost	0.0	0.00026489997981116176	0.4809829999576323	True
10288	1033657	False	lost	0.0	3.979995381087065e-05	1.1610757999587804	True
10289	1033667	False	lost	0.0	4.0300015825778246e-05	0.48817259998759255	True
10290	1033677	False	lost	0.0	4.1700026486068964e-05	0.5414306999882683	True
10291	1033687	False	lost	0.0	0.00021770002786070108	0.4700629999861121	True
10292	1033697	False	lost	0.0	4.020001506432891e-05	0.4919808999984525	True
10293	1033707	False	lost	0.0	7.050001295283437e-05	0.5236341999843717	True
10294	1033717	False	lost	0.0	3.929995000362396e-05	0.5138810000498779	True
10295	1033727	False	segregating	0.00315	4.770001396536827e-05	3.6162282999721356	True
10296	1033737	False	lost	0.0	4.3199979700148106e-05	0.4841819999855943	True
10297	1033747	False	lost	0.0	4.3000036384910345e-05	0.48635949997697026	True
10298	1033757	False	lost	0.0	0.0002888999879360199	0.8680837000138126	True
10299	1033767	False	lost	0.0	0.00025260000256821513	2.7313489000080153	True
10300	1033777	False	lost	0.0	3.860000288113952e-05	0.47656210005516186	True
10301	1033787	False	lost	0.0	4.3000036384910345e-05	0.7910012999782339	True
10302	1033797	False	lost	0.0	2.989999484270811e-05	0.47707309998804703	True
10303	1033807	False	lost	0.0	4.2599975131452084e-05	0.45444790000328794	True
10304	1033817	False	lost	0.0	3.880000440403819e-05	0.45242260000668466	True
10305	1033827	False	lost	0.0	6.440002471208572e-05	0.501719799998682	True
10306	1033837	False	lost	0.0	4.950002767145634e-05	0.4701503000105731	True
10307	1033847	False	lost	0.0	3.619998460635543e-05	0.4684072000090964	True
10308	1033857	False	lost	0.0	4.39999857917428e-05	0.4772719999891706	True
10309	1033867	False	lost	0.0	3.15000070258975e-05	0.468457099981606	True
10310	1033877	False	lost	0.0	0.00012749998131766915	0.5341675999807194	True
10311	1033887	False	lost	0.0	3.279995871707797e-05	0.4825180000043474	True
10312	1033897	False	lost	0.0	2.8399983420968056e-05	0.4796477000345476	True
10313	1033907	False	lost	0.0	5.13000413775444e-05	0.49222529999678954	True
10314	1033917	False	lost	0.0	2.859998494386673e-05	0.46945139998570085	True
10315	1033927	False	lost	0.0	4.060001811012626e-05	0.48023649997776374	True
10316	1033937	False	lost	0.0	5.0200033001601696e-05	0.41216230002464727	True
10317	1033947	False	lost	0.0	2.7999980375170708e-05	0.47111310000764206	True
10318	1033957	False	lost	0.0	6.530003156512976e-05	0.4180858999607153	True
10319	1033967	False	lost	0.0	4.529999569058418e-05	0.43860950000816956	True
10320	1033977	False	lost	0.0	0.000603299995418638	0.9067348000244237	True
10321	1033987	False	lost	0.0	0.0005169000360183418	0.5381295999977738	True
