scheme,source,method,alpha,onset_years,selected_called,selected_n,neutral_called,neutral_n,power,neutral_call_fraction,power_low,power_high,neutral_low,neutral_high,fdr_prevalence_0.5,f1_prevalence_0.5,fdr_prevalence_0.1,f1_prevalence_0.1,fdr_prevalence_0.01,f1_prevalence_0.01
archaic_sites,truth,mass_g0_r1_T50000,0.1,50000,91,100,98,1000,0.91,0.098,0.837737871472837,0.9519274599974348,0.08108201152335034,0.11799470229903597,0.09722222222222222,0.906374501992032,0.49218749999999994,0.6518624641833811,0.9142480211081795,0.1567344126765415
grid10kb,decoded,mass_g0_r1_T10000,0.01,50000,47,100,12,1000,0.47,0.012,0.3751081795934127,0.5671114302990063,0.006877647806403522,0.02085726847549828,0.024896265560165977,0.6342780026990553,0.18685121107266436,0.5956907477820026,0.7165259348612786,0.35364936042136946
grid10kb,decoded,mass_g0_r1_T10000,0.05,50000,79,100,49,1000,0.79,0.049,0.7002003116591013,0.858343459380847,0.037261034647360615,0.06419070150661013,0.05840286054827175,0.859162588363241,0.3582453290008123,0.7082025997310624,0.8599539088814041,0.23791597650956184
grid10kb,decoded,mass_g0_r1_T10000,0.1,50000,92,100,99,1000,0.92,0.099,0.8500189229905127,0.9589065385156194,0.08199544136866538,0.11907361893674984,0.09715407262021589,0.9113422486379396,0.4919933738266151,0.6545713269299183,0.9141871094114356,0.15698319256036175
grid10kb,decoded,mass_g0_r1_T20000,0.01,50000,51,100,9,1000,0.51,0.009,0.4134801193402717,0.6057800106955886,0.004742060667477063,0.01701581616533807,0.017341040462427744,0.6714944042132983,0.13705583756345177,0.6411062225015713,0.6359743040685224,0.4248229904206581
grid10kb,decoded,mass_g0_r1_T20000,0.05,50000,80,100,48,1000,0.8,0.048,0.7111708344068411,0.8666330666689676,0.036393301020807914,0.06306608865013393,0.056603773584905655,0.8658008658008658,0.3506493506493506,0.7168458781362008,0.8559077809798271,0.24420024420024422
grid10kb,decoded,mass_g0_r1_T20000,0.1,50000,91,100,105,1000,0.91,0.105,0.837737871472837,0.9519274599974348,0.08748778261441682,0.1255353565891717,0.10344827586206895,0.9032258064516129,0.5094339622641509,0.637478108581436,0.9195046439628484,0.14790735473384803
grid10kb,decoded,mass_g0_r1_T30000,0.01,50000,55,100,9,1000,0.55,0.009,0.45244602997442135,0.6438546202048803,0.004742060667477063,0.01701581616533807,0.016100178890876563,0.7055805003207185,0.12836767036450078,0.6744328632740649,0.6183206106870229,0.45063498566161414
grid10kb,decoded,mass_g0_r1_T30000,0.05,50000,82,100,48,1000,0.82,0.048,0.7333264161369926,0.8829977450105364,0.036393301020807914,0.06306608865013393,0.055299539170506916,0.8779443254817987,0.3450479233226837,0.7282415630550622,0.8528356066044508,0.2495435179549604
grid10kb,decoded,mass_g0_r1_T30000,0.1,50000,92,100,102,1000,0.92,0.102,0.8500189229905127,0.9589065385156194,0.08473913518484719,0.12230696456965467,0.09980430528375733,0.9099901088031653,0.49945593035908586,0.6483439041578577,0.9165002722817208,0.15310367781660844
