source	unit_id	simulation_class	selection_coefficient	target_allele_frequency	replicate_index	panel_n_diploid_samples	threshold_years	p_overall	p_hom_ref	p_hom_alt	p_hom_alt_minus_hom_ref	bank_role	score_scope
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep009	neutral	0	0.2	9	100	10000	0.0488269029925	0.0751183104537	2.39523311324e-08	-0.0751182865014	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep009	neutral	0	0.2	9	100	20000	0.0763808469324	0.11750846913	6.83995443326e-06	-0.117501629176	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep009	neutral	0	0.2	9	100	30000	0.0971958949995	0.149521297407	0.000141033705048	-0.149380263702	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep009	neutral	0	0.2	9	100	40000	0.113775912199	0.17496306834	0.000998355553392	-0.173964712787	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep009	neutral	0	0.2	9	100	50000	0.127562355639	0.19594491383	0.00396323298294	-0.191981680847	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep010	neutral	0	0.2	10	100	1000	0.0032453625956	0.00476435718784	0.00297060846994	-0.0017937487179	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep010	neutral	0	0.2	10	100	4500	0.0146082917854	0.0196273328997	0.0370105080119	0.0173831751122	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep010	neutral	0	0.2	10	100	10000	0.0298681608444	0.0381308304459	0.10166242109	0.0635315906441	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep010	neutral	0	0.2	10	100	20000	0.0516198892131	0.0662561882722	0.171067336724	0.104811148452	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep010	neutral	0	0.2	10	100	30000	0.0699029901665	0.092455743561	0.196135137038	0.103679393477	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep010	neutral	0	0.2	10	100	40000	0.0841141286054	0.113533810478	0.206343035895	0.092809225417	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep010	neutral	0	0.2	10	100	50000	0.0945001794126	0.128983892522	0.213212985468	0.084229092946	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep011	neutral	0	0.2	11	100	1000	0.00367458751917	0.00384256253099	0.0417924374883	0.0379498749573	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep011	neutral	0	0.2	11	100	4500	0.0179590349863	0.0213104694827	0.151114640407	0.129804170924	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep011	neutral	0	0.2	11	100	10000	0.038067062855	0.0486943486124	0.246320774305	0.197626425693	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep011	neutral	0	0.2	11	100	20000	0.0651491966445	0.0886185198323	0.310650971673	0.222032451841	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep011	neutral	0	0.2	11	100	30000	0.084354445377	0.118304354599	0.32742339932	0.209119044721	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep011	neutral	0	0.2	11	100	40000	0.0993509227008	0.141899772987	0.331802190644	0.189902417657	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep011	neutral	0	0.2	11	100	50000	0.111943987837	0.161833082673	0.332971525106	0.171138442433	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep012	neutral	0	0.2	12	100	1000	0.00660397966783	0.00781590408875	0.0400450262759	0.0322291221872	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep012	neutral	0	0.2	12	100	4500	0.0248627983427	0.0272849031945	0.185011507457	0.157726604263	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep012	neutral	0	0.2	12	100	10000	0.0421087774037	0.0435808493801	0.355425845011	0.311844995631	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep012	neutral	0	0.2	12	100	20000	0.0674011831199	0.0724065324988	0.526525058017	0.454118525518	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep012	neutral	0	0.2	12	100	30000	0.0856300403134	0.0957054040915	0.609464542371	0.51375913828	matched_af_sensitivity	focal_nearest_within_diploid
