arm_id	mode	unit_id	replicate_index	seed	status	elapsed_seconds	error
eas_phlash	selected	eas_phlash__selected__rep059	59	40260878	completed	92.83649800500007	
eas_phlash	selected	eas_phlash__selected__rep060	60	40260879	completed	89.84520886600012	
eas_phlash	selected	eas_phlash__selected__rep061	61	40260880	completed	88.7032275040001	
eas_phlash	selected	eas_phlash__selected__rep062	62	40260881	completed	87.70977818799975	
eas_phlash	selected	eas_phlash__selected__rep063	63	40260882	completed	82.60828494599991	
eas_phlash	selected	eas_phlash__selected__rep064	64	40260883	completed	86.28031941800009	
eas_phlash	selected	eas_phlash__selected__rep065	65	40260884	completed	90.59126773299977	
eas_phlash	selected	eas_phlash__selected__rep066	66	40260885	completed	85.67176421800013	
eas_phlash	selected	eas_phlash__selected__rep067	67	40260886	completed	89.06222187699996	
eas_phlash	selected	eas_phlash__selected__rep068	68	40260887	completed	90.88592239899981	
eas_phlash	selected	eas_phlash__selected__rep069	69	40260888	completed	87.64689836600019	
eas_phlash	selected	eas_phlash__selected__rep070	70	40260889	completed	88.21330811000007	
eas_phlash	selected	eas_phlash__selected__rep071	71	40260890	completed	90.65880328399999	
eas_phlash	selected	eas_phlash__selected__rep072	72	40260891	completed	94.13014039499967	
eas_phlash	selected	eas_phlash__selected__rep073	73	40260892	completed	92.76454400700004	
eas_phlash	selected	eas_phlash__selected__rep074	74	40260893	completed	93.28343438599995	
eas_phlash	selected	eas_phlash__selected__rep075	75	40260894	completed	93.3104638929999	
eas_phlash	selected	eas_phlash__selected__rep076	76	40260895	completed	94.52369308200014	
eas_phlash	selected	eas_phlash__selected__rep077	77	40260896	completed	92.06995131200028	
eas_phlash	selected	eas_phlash__selected__rep078	78	40260897	completed	89.71658028799993	
eas_phlash	selected	eas_phlash__selected__rep079	79	40260898	completed	87.62632172299982	
eas_phlash	selected	eas_phlash__selected__rep080	80	40260899	completed	90.55608457900007	
eas_phlash	selected	eas_phlash__selected__rep081	81	40260900	completed	86.66354808000006	
eas_phlash	selected	eas_phlash__selected__rep082	82	40260901	completed	84.294287059	
eas_phlash	selected	eas_phlash__selected__rep083	83	40260902	completed	93.43307639799968	
eas_phlash	selected	eas_phlash__selected__rep084	84	40260903	completed	91.46164037599965	
eas_phlash	selected	eas_phlash__selected__rep085	85	40260904	completed	89.25061793699979	
eas_phlash	selected	eas_phlash__selected__rep086	86	40260905	completed	100.298797036	
eas_phlash	selected	eas_phlash__selected__rep087	87	40260906	completed	88.78835795699979	
eas_phlash	selected	eas_phlash__selected__rep088	88	40260907	completed	86.9252176480004	
eas_phlash	selected	eas_phlash__selected__rep089	89	40260908	completed	88.26620067000022	
eas_phlash	selected	eas_phlash__selected__rep090	90	40260909	completed	91.08640144399988	
eas_phlash	selected	eas_phlash__selected__rep091	91	40260910	completed	83.99936553299995	
eas_phlash	selected	eas_phlash__selected__rep092	92	40260911	completed	84.67357636999986	
eas_phlash	selected	eas_phlash__selected__rep093	93	40260912	completed	84.61862640299978	
eas_phlash	selected	eas_phlash__selected__rep094	94	40260913	completed	85.35503132700023	
eas_phlash	selected	eas_phlash__selected__rep095	95	40260914	completed	87.01330312599976	
eas_phlash	selected	eas_phlash__selected__rep096	96	40260915	completed	85.47452453300002	
eas_phlash	selected	eas_phlash__selected__rep097	97	40260916	completed	83.67497601900004	
eas_phlash	selected	eas_phlash__selected__rep098	98	40260917	completed	85.17564954299996	
eas_phlash	selected	eas_phlash__selected__rep099	99	40260918	completed	83.0291645389998	
