replicate	model	history_id	ancestry_seed	mutation_seed	n_diploids	n_sites	n_trees	summary	elapsed_seconds_total
87	StandardCoalescent	-1	218082971	3317032463	2000	874	613	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00087.tsv	19.369067499996163
88	StandardCoalescent	-1	4278680386	2374871424	2000	909	671	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00088.tsv	19.369067499996163
89	StandardCoalescent	-1	3092229787	1269789989	2000	932	683	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00089.tsv	19.369067499996163
90	StandardCoalescent	-1	2287938522	1727915440	2000	898	635	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00090.tsv	19.369067499996163
91	StandardCoalescent	-1	458138122	3281405388	2000	834	625	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00091.tsv	19.369067499996163
92	StandardCoalescent	-1	3474955418	1311463782	2000	896	654	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00092.tsv	19.369067499996163
93	StandardCoalescent	-1	2779287708	3180519096	2000	1013	716	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00093.tsv	19.369067499996163
94	StandardCoalescent	-1	2856944908	914203248	2000	840	646	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00094.tsv	19.369067499996163
95	StandardCoalescent	-1	2932484206	3439559161	2000	849	595	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00095.tsv	19.369067499996163
96	StandardCoalescent	-1	1385835231	577737314	2000	830	661	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00096.tsv	19.369067499996163
97	StandardCoalescent	-1	1279275604	809296886	2000	845	610	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00097.tsv	19.369067499996163
98	StandardCoalescent	-1	339078320	4121068271	2000	910	660	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00098.tsv	19.369067499996163
99	StandardCoalescent	-1	1557289302	2613402719	2000	952	682	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00099.tsv	19.369067499996163
