unit_id	demography	simulation_class	selection_coefficient	seed	generation_time_years	statistic	window	threshold_years	score	final_population_af	sample_alt_count	sample_af
eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	mean_p_tmrca_lt	local_100kb	30000	0.21778842691	0.19533969232404283	46	0.23000000000000001
eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	mean_p_tmrca_lt	local_100kb	40000	0.26637441377100002	0.19533969232404283	46	0.23000000000000001
eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	mean_p_tmrca_lt	local_100kb	50000	0.308050294557	0.19533969232404283	46	0.23000000000000001
eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	paper_frac_posterior_mean_below	focal	1000	0.00080808080809999998	0.19533969232404283	46	0.23000000000000001
eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	paper_frac_posterior_mean_below	focal	4500	0.0052525252530000004	0.19533969232404283	46	0.23000000000000001
eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	paper_frac_posterior_mean_below	focal	10000	0.01595959596	0.19533969232404283	46	0.23000000000000001
eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	paper_frac_posterior_mean_below	focal	20000	0.057979797979999997	0.19533969232404283	46	0.23000000000000001
eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	paper_frac_posterior_mean_below	focal	30000	0.097777777780000005	0.19533969232404283	46	0.23000000000000001
eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	paper_frac_posterior_mean_below	focal	40000	0.15858585859999999	0.19533969232404283	46	0.23000000000000001
eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	paper_frac_posterior_mean_below	focal	50000	0.18989898990000001	0.19533969232404283	46	0.23000000000000001
eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	paper_frac_posterior_mean_below	local_100kb	1000	0.00080808080809999998	0.19533969232404283	46	0.23000000000000001
eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	paper_frac_posterior_mean_below	local_100kb	4500	0.0050312650314300001	0.19533969232404283	46	0.23000000000000001
eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	paper_frac_posterior_mean_below	local_100kb	10000	0.018951418950999999	0.19533969232404283	46	0.23000000000000001
eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	paper_frac_posterior_mean_below	local_100kb	20000	0.061471861471900001	0.19533969232404283	46	0.23000000000000001
eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	paper_frac_posterior_mean_below	local_100kb	30000	0.11037999038	0.19533969232404283	46	0.23000000000000001
eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	paper_frac_posterior_mean_below	local_100kb	40000	0.16556036556699999	0.19533969232404283	46	0.23000000000000001
eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	paper_frac_posterior_mean_below	local_100kb	50000	0.21497835497100001	0.19533969232404283	46	0.23000000000000001
eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	mean_p_tmrca_lt	focal	1000	0.010048826699999999	0.19533969232404283	35	0.17499999999999999
eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	mean_p_tmrca_lt	focal	4500	0.04618291796	0.19533969232404283	35	0.17499999999999999
eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	mean_p_tmrca_lt	focal	10000	0.09938992327	0.19533969232404283	35	0.17499999999999999
eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	mean_p_tmrca_lt	focal	20000	0.18048591850000001	0.19533969232404283	35	0.17499999999999999
eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	mean_p_tmrca_lt	focal	30000	0.24429077299999999	0.19533969232404283	35	0.17499999999999999
eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	mean_p_tmrca_lt	focal	40000	0.29535117319999998	0.19533969232404283	35	0.17499999999999999
eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	mean_p_tmrca_lt	focal	50000	0.3371906542	0.19533969232404283	35	0.17499999999999999
eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	mean_p_tmrca_lt	local_100kb	1000	0.0139625130085	0.19533969232404283	35	0.17499999999999999
eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	mean_p_tmrca_lt	local_100kb	4500	0.062510276333300002	0.19533969232404283	35	0.17499999999999999
