schema	unit_id	demography	simulation_class	selection_coefficient	seed	generation_time_years	final_population_af	sample_alt_count	sample_af	statistic	window	threshold_years	threshold_generations	observed_score	n_neutral	neutral_mean	neutral_sd	neutral_q025	neutral_q05	neutral_median	neutral_q95	neutral_q975	neutral_upper_exceedance_count	neutral_lower_exceedance_count	neutral_strictly_less_count	neutral_tie_count	mc_p_upper	mc_p_lower	mc_p_two_sided	upper_tail_cp95_low	upper_tail_cp95_high	lower_tail_cp95_low	lower_tail_cp95_high	neutral_midrank_descriptive_auc	minimum_attainable_p	confidence_interval_method	pvalue_method	neutral_bank	primary_window	score_direction	auc_interpretation
gamma-smc.cosi2-gamma-analysis/v1	eas_selected_s0p01	EAS	selected	0.01	20240524	25	0.195339692324	40	0.20000000000000001	mean_p_tmrca_lt	local_100kb	20000	800	0.158070725765	100	0.18525659953740997	0.035110630490949743	0.130561285542075	0.139108501568	0.17769937769749999	0.24521110998239998	0.27077032644984983	79	21	21	0	0.79207920792079212	0.21782178217821782	0.43564356435643564	0.69708462064945942	0.86505630429467084	0.13494369570532913	0.30291537935054064	0.20999999999999999	0.0099009900990099011	exact_clopper_pearson_for_unadjusted_null_tail_probability	neutral_tail_plus_one_conservative_ties	same_demography_exact_present_population_count_importance_resampled_neutral_mutation_age	True	larger_is_more_selected_no_flipping	descriptive_selected_unit_neutral_midrank_not_power
gamma-smc.cosi2-gamma-analysis/v1	eas_selected_s0p01	EAS	selected	0.01	20240524	25	0.195339692324	40	0.20000000000000001	mean_p_tmrca_lt	local_100kb	30000	1200	0.21043675788999999	100	0.24622150363533002	0.045809827804751346	0.17319665202225001	0.1841710755929	0.23767297015	0.32188805056795	0.35149579225809979	80	20	20	0	0.80198019801980203	0.20792079207920791	0.41584158415841582	0.70815731091137191	0.87334444789804411	0.12665555210195584	0.29184268908862809	0.20000000000000001	0.0099009900990099011	exact_clopper_pearson_for_unadjusted_null_tail_probability	neutral_tail_plus_one_conservative_ties	same_demography_exact_present_population_count_importance_resampled_neutral_mutation_age	True	larger_is_more_selected_no_flipping	descriptive_selected_unit_neutral_midrank_not_power
gamma-smc.cosi2-gamma-analysis/v1	eas_selected_s0p01	EAS	selected	0.01	20240524	25	0.195339692324	40	0.20000000000000001	mean_p_tmrca_lt	local_100kb	40000	1600	0.25316908928600002	100	0.29489601738125998	0.053645239074249389	0.2080781873816	0.21977109271520001	0.28532580680949998	0.38419328330679997	0.41297767846409988	81	19	19	0	0.81188118811881194	0.19801980198019803	0.39603960396039606	0.71930204202638759	0.88155680386745638	0.11844319613254362	0.28069795797361247	0.19	0.0099009900990099011	exact_clopper_pearson_for_unadjusted_null_tail_probability	neutral_tail_plus_one_conservative_ties	same_demography_exact_present_population_count_importance_resampled_neutral_mutation_age	True	larger_is_more_selected_no_flipping	descriptive_selected_unit_neutral_midrank_not_power
gamma-smc.cosi2-gamma-analysis/v1	eas_selected_s0p01	EAS	selected	0.01	20240524	25	0.195339692324	40	0.20000000000000001	mean_p_tmrca_lt	local_100kb	50000	2000	0.28925087275200001	100	0.33501262231933998	0.059498082549679553	0.23778099334295	0.24967642425349998	0.32480526709500002	0.44183034864544996	0.4610165047366499	77	23	23	0	0.7722772277227723	0.23762376237623761	0.47524752475247523	0.67514126722489687	0.84826838869895249	0.15173161130104751	0.32485873277510308	0.23000000000000001	0.0099009900990099011	exact_clopper_pearson_for_unadjusted_null_tail_probability	neutral_tail_plus_one_conservative_ties	same_demography_exact_present_population_count_importance_resampled_neutral_mutation_age	True	larger_is_more_selected_no_flipping	descriptive_selected_unit_neutral_midrank_not_power
gamma-smc.cosi2-gamma-analysis/v1	eas_selected_s0p01	EAS	selected	0.01	20240524	25	0.195339692324	40	0.20000000000000001	paper_frac_posterior_mean_below	focal	1000	40	0.0012121212120000001	100	0.00060606060603500002	0.00035400874915665344	0.000202020202	0.000202020202	0.0006060606061	0.0012121212120000001	0.0014141414139999999	8	96	92	4	0.089108910891089105	0.96039603960396036	0.17821782178217821	0.035171562518162808	0.15155763586442095	0.90074284328734011	0.98899550601381181	0.93999999999999995	0.0099009900990099011	exact_clopper_pearson_for_unadjusted_null_tail_probability	neutral_tail_plus_one_conservative_ties	same_demography_exact_present_population_count_importance_resampled_neutral_mutation_age	False	larger_is_more_selected_no_flipping	descriptive_selected_unit_neutral_midrank_not_power
gamma-smc.cosi2-gamma-analysis/v1	eas_selected_s0p01	EAS	selected	0.01	20240524	25	0.195339692324	40	0.20000000000000001	paper_frac_posterior_mean_below	focal	4500	180	0.0036363636360000002	100	0.0040808080805999998	0.0013842363942963513	0.0022222222219999998	0.0024242424240000001	0.003838383838	0.0068888888891999994	0.0076868686870999962	63	45	37	8	0.63366336633663367	0.45544554455445546	0.91089108910891092	0.52764835944831678	0.72443342038544856	0.3503202292396721	0.55271981122606395	0.40999999999999998	0.0099009900990099011	exact_clopper_pearson_for_unadjusted_null_tail_probability	neutral_tail_plus_one_conservative_ties	same_demography_exact_present_population_count_importance_resampled_neutral_mutation_age	False	larger_is_more_selected_no_flipping	descriptive_selected_unit_neutral_midrank_not_power
gamma-smc.cosi2-gamma-analysis/v1	eas_selected_s0p01	EAS	selected	0.01	20240524	25	0.195339692324	40	0.20000000000000001	paper_frac_posterior_mean_below	focal	10000	400	0.02141414141	100	0.0246282828281	0.0090569532152442629	0.01360101009975	0.014535353539499999	0.023030303030000001	0.040585858581999992	0.045398989895499987	64	38	36	2	0.64356435643564358	0.38613861386138615	0.7722772277227723	0.53787810667257674	0.73359157726676549	0.28476747614147957	0.4825393057508065	0.37	0.0099009900990099011	exact_clopper_pearson_for_unadjusted_null_tail_probability	neutral_tail_plus_one_conservative_ties	same_demography_exact_present_population_count_importance_resampled_neutral_mutation_age	False	larger_is_more_selected_no_flipping	descriptive_selected_unit_neutral_midrank_not_power
gamma-smc.cosi2-gamma-analysis/v1	eas_selected_s0p01	EAS	selected	0.01	20240524	25	0.195339692324	40	0.20000000000000001	paper_frac_posterior_mean_below	focal	20000	800	0.048686868690000003	100	0.090973737375500005	0.033974307794084155	0.050151515148500005	0.054111111110000006	0.083131313129999995	0.17318181815	0.18336868688749991	97	3	3	0	0.97029702970297027	0.039603960396039604	0.079207920792079209	0.91482394702572001	0.9937700284616936	0.0062299715383063968	0.08517605297428002	0.029999999999999999	0.0099009900990099011	exact_clopper_pearson_for_unadjusted_null_tail_probability	neutral_tail_plus_one_conservative_ties	same_demography_exact_present_population_count_importance_resampled_neutral_mutation_age	False	larger_is_more_selected_no_flipping	descriptive_selected_unit_neutral_midrank_not_power
gamma-smc.cosi2-gamma-analysis/v1	eas_selected_s0p01	EAS	selected	0.01	20240524	25	0.195339692324	40	0.20000000000000001	paper_frac_posterior_mean_below	focal	30000	1200	0.078585858590000002	100	0.15341010101040001	0.058909756137325596	0.082419191918749996	0.085252525250000002	0.13959595959999999	0.27213131311499994	0.2923181817999998	98	2	2	0	0.98019801980198018	0.029702970297029702	0.059405940594059403	0.92961606752892989	0.99756866317605741	0.0024313368239425436	0.07038393247107011	0.02	0.0099009900990099011	exact_clopper_pearson_for_unadjusted_null_tail_probability	neutral_tail_plus_one_conservative_ties	same_demography_exact_present_population_count_importance_resampled_neutral_mutation_age	False	larger_is_more_selected_no_flipping	descriptive_selected_unit_neutral_midrank_not_power
gamma-smc.cosi2-gamma-analysis/v1	eas_selected_s0p01	EAS	selected	0.01	20240524	25	0.195339692324	40	0.20000000000000001	paper_frac_posterior_mean_below	focal	40000	1600	0.1064646465	100	0.20508282828159999	0.078528061471356977	0.1059797979675	0.117292929315	0.1887878788	0.36512121207499998	0.39446464647249985	97	3	3	0	0.97029702970297027	0.039603960396039604	0.079207920792079209	0.91482394702572001	0.9937700284616936	0.0062299715383063968	0.08517605297428002	0.029999999999999999	0.0099009900990099011	exact_clopper_pearson_for_unadjusted_null_tail_probability	neutral_tail_plus_one_conservative_ties	same_demography_exact_present_population_count_importance_resampled_neutral_mutation_age	False	larger_is_more_selected_no_flipping	descriptive_selected_unit_neutral_midrank_not_power
