base_specification_id	selection_coefficient	target_allele_frequency	source	metric	expected_sweep_sign	target_replicates	accepted_replicates	decoded_replicates	n_observed_replicates	mean	median	sample_sd	q25	q75	iqr	bootstrap_mean_ci95_low	bootstrap_mean_ci95_high	bootstrap_draws	bootstrap_seed	expected_sign_count	expected_sign_rate	expected_sign_wilson95_low	expected_sign_wilson95_high	conditioning_missingness
intro_s0p005_af20	0.005	0.2	gamma_smc	alt_minus_ref_normalized_cdf_auc	positive	10	10	10	10	0.14825453840187652	0.2716122815440878	0.28644025565862036	0.110937774300638	0.3126120438331288	0.2016742695324908	-0.04000393224207684	0.2831990948892116	5000	60386531	8	0.8	0.49016247153664183	0.9433178485456247	nonrandom
intro_s0p005_af20	0.005	0.2	gamma_smc	alt_minus_ref_mean_tmrca_generations	negative	10	10	10	10	-16804.750311310003	-17860.5566125	12422.417115225573	-25092.619424750003	-9003.096474	16089.522950750003	-23915.8769535625	-9462.408465310002	5000	732936664	9	0.9	0.5958499732047615	0.9821237869049271	nonrandom
intro_s0p005_af30	0.005	0.3	tree_truth	alt_minus_ref_normalized_cdf_auc	positive	10	10	10	10	0.09042912088372718	0.1333509370376459	0.25970107966773526	-0.02740274599542329	0.20396428571428568	0.23136703170970896	-0.06306502416061305	0.24736016330635552	5000	643049080	7	0.7	0.39677814746114537	0.8922087325936989	nonrandom
intro_s0p005_af30	0.005	0.3	tree_truth	alt_minus_ref_mean_tmrca_generations	negative	10	10	10	10	-15310.213995147798	-7765.471182012841	19561.165574743518	-24880.229889238355	-1086.041792244324	23794.188096994032	-27519.926874570596	-5270.755717480979	5000	534108452	9	0.9	0.5958499732047615	0.9821237869049271	nonrandom
intro_s0p005_af30	0.005	0.3	gamma_smc	alt_minus_ref_normalized_cdf_auc	positive	10	10	10	10	0.08876114501871415	0.060378416484604965	0.23515722373171502	-0.0685935943585125	0.22409436527203716	0.29268795963054967	-0.04183216372626554	0.22553094762381432	5000	866274877	7	0.7	0.39677814746114537	0.8922087325936989	nonrandom
intro_s0p005_af30	0.005	0.3	gamma_smc	alt_minus_ref_mean_tmrca_generations	negative	10	10	10	10	-9235.2741814	-10504.127054	10056.856298640874	-12889.6121025	-3366.1463357499997	9523.46576675	-15067.520126277503	-3602.51108900751	5000	1081031830	8	0.8	0.49016247153664183	0.9433178485456247	nonrandom
intro_s0p005_af40	0.005	0.4	tree_truth	alt_minus_ref_normalized_cdf_auc	positive	10	10	10	10	0.08539069137449559	0.03360618792971734	0.2183846951965521	-0.07102321692713355	0.2824472222222222	0.3534704391493557	-0.03966843273861949	0.21921296891643385	5000	1211886293	6	0.6	0.31267376973365824	0.8318196702937638	nonrandom
intro_s0p005_af40	0.005	0.4	tree_truth	alt_minus_ref_mean_tmrca_generations	negative	10	10	10	10	-31903.137165257205	-27551.666454974875	28445.006753044003	-55007.92388140502	-6924.713975993804	48083.20990541122	-49006.69262008647	-15673.526916145487	5000	369916453	10	1.0	0.7224672001371107	0.9999999999999999	nonrandom
intro_s0p005_af40	0.005	0.4	gamma_smc	alt_minus_ref_normalized_cdf_auc	positive	10	10	10	10	0.08845388514352698	0.08198342002251749	0.17987003350900202	-0.06443441299194627	0.21477037775740246	0.27920479074934873	-0.01728107356154133	0.1913692764783069	5000	1586176192	7	0.7	0.39677814746114537	0.8922087325936989	nonrandom
intro_s0p005_af40	0.005	0.4	gamma_smc	alt_minus_ref_mean_tmrca_generations	negative	10	10	10	10	-13132.384039100001	-8424.938575	14105.918946069545	-20225.4359525	-2061.2652469999994	18164.1707055	-21953.338958160002	-5204.127622575006	5000	1181066710	9	0.9	0.5958499732047615	0.9821237869049271	nonrandom
intro_s0p005_af50	0.005	0.5	tree_truth	alt_minus_ref_normalized_cdf_auc	positive	10	10	10	10	0.11908858863219582	0.11692386363636362	0.06866170545761226	0.06111916048971157	0.18489273973108747	0.1237735792413759	0.0782756889553937	0.15956827995640996	5000	1853053900	10	1.0	0.7224672001371107	0.9999999999999999	nonrandom
intro_s0p005_af50	0.005	0.5	tree_truth	alt_minus_ref_mean_tmrca_generations	negative	10	10	10	10	-36009.19505297566	-32737.944424353183	19930.85833193901	-51022.63959661163	-21035.86855663301	29986.771039978623	-48028.537862033634	-24526.34289059322	5000	1295585400	10	1.0	0.7224672001371107	0.9999999999999999	nonrandom
intro_s0p005_af50	0.005	0.5	gamma_smc	alt_minus_ref_normalized_cdf_auc	positive	10	10	10	10	0.14454101780412698	0.1416179216035975	0.0633207964152485	0.086257176321075	0.176771914617675	0.09051473829659999	0.11020805123595333	0.18151953505126264	5000	1293814813	10	1.0	0.7224672001371107	0.9999999999999999	nonrandom
intro_s0p005_af50	0.005	0.5	gamma_smc	alt_minus_ref_mean_tmrca_generations	negative	10	10	10	10	-19610.1742628	-20934.038795	7521.992211782946	-25546.28620025	-17057.073321	8489.21287925	-23732.436768204996	-14837.577997792505	5000	2298329	10	1.0	0.7224672001371107	0.9999999999999999	nonrandom
intro_s0p005_af60	0.005	0.6	tree_truth	alt_minus_ref_normalized_cdf_auc	positive	10	10	10	10	0.020683191849331352	0.016301428376161817	0.2405001229929456	-0.1276401679306609	0.20351896551724136	0.33115913344790227	-0.12338842567754389	0.15949279940310002	5000	67771131	5	0.5	0.236593090512564	0.7634069094874361	nonrandom
intro_s0p005_af60	0.005	0.6	tree_truth	alt_minus_ref_mean_tmrca_generations	negative	10	10	10	10	-15559.866001058888	-7535.19994503556	19752.418261767893	-21285.228530982684	-1532.79776674938	19752.430764233304	-27886.21870227679	-4989.052277301056	5000	1535849741	8	0.8	0.49016247153664183	0.9433178485456247	nonrandom
intro_s0p005_af60	0.005	0.6	gamma_smc	alt_minus_ref_normalized_cdf_auc	positive	10	10	10	10	0.03720547594600946	-0.004740944150600029	0.26928428986066666	-0.15523729962052377	0.23621793255565127	0.39145523217617506	-0.11292334322317985	0.20060225454506023	5000	1662220697	5	0.5	0.236593090512564	0.7634069094874361	nonrandom
intro_s0p005_af60	0.005	0.6	gamma_smc	alt_minus_ref_mean_tmrca_generations	negative	10	10	10	10	-8306.9828718	-6884.214606	15670.607700763563	-9447.961790500001	-998.6458452500001	8449.31594525	-17620.614852732502	453.43868819748786	5000	1319734547	8	0.8	0.49016247153664183	0.9433178485456247	nonrandom
intro_s0p005_af70	0.005	0.7	tree_truth	alt_minus_ref_normalized_cdf_auc	positive	10	10	10	10	0.03326106691074878	0.1574888392857143	0.3384996201917151	0.02056191866753186	0.21644239267676768	0.1958804740092358	-0.18300647942099815	0.21204883558235904	5000	592510446	8	0.8	0.49016247153664183	0.9433178485456247	nonrandom
intro_s0p005_af70	0.005	0.7	tree_truth	alt_minus_ref_mean_tmrca_generations	negative	10	10	10	10	-12454.516805452457	-7572.943912016239	12841.715442201183	-20446.172582302803	-3368.271921641791	17077.900660661013	-20273.619398530762	-5374.221951448721	5000	96871188	8	0.8	0.49016247153664183	0.9433178485456247	nonrandom
