source	position_0based	contrast_scope	alt_minus_ref_normalized_cdf_auc	alt_minus_ref_mean_tmrca_generations	alt_minus_ref_mean_tmrca_years	expected_sweep_sign_normalized_cdf_auc	expected_sweep_sign_mean_tmrca	base_specification_id	replicate_id	replicate_index	specification_id	selection_coefficient	target_allele_frequency
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.25424479359419994	-13138.534319999999	-328463.35799999995	positive	negative	intro_s0p001_af40	intro_s0p001_af40__rep009	9	intro_s0p001_af40__rep009	0.001	0.4
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.33764112903225807	-34884.71412416985	-872117.8531042462	positive	negative	intro_s0p001_af40	intro_s0p001_af40__rep010	10	intro_s0p001_af40__rep010	0.001	0.4
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.24489326093619998	-20297.648504	-507441.2126	positive	negative	intro_s0p001_af40	intro_s0p001_af40__rep010	10	intro_s0p001_af40__rep010	0.001	0.4
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.13152702702702704	-78793.73687917505	-1969843.421979376	positive	negative	intro_s0p001_af50	intro_s0p001_af50__rep001	1	intro_s0p001_af50__rep001	0.001	0.5
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	-0.0007625394254400092	-26155.748219999998	-653893.7054999999	positive	negative	intro_s0p001_af50	intro_s0p001_af50__rep001	1	intro_s0p001_af50__rep001	0.001	0.5
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.06582692307692306	-27481.854554085407	-687046.3638521351	positive	negative	intro_s0p001_af50	intro_s0p001_af50__rep003	3	intro_s0p001_af50__rep003	0.001	0.5
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.03578323622941995	-13494.003979	-337350.099475	positive	negative	intro_s0p001_af50	intro_s0p001_af50__rep003	3	intro_s0p001_af50__rep003	0.001	0.5
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.011043956043956027	-1987.728937728938	-49693.223443223455	positive	negative	intro_s0p001_af50	intro_s0p001_af50__rep008	8	intro_s0p001_af50__rep008	0.001	0.5
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.20908023181409505	-9403.233315000001	-235080.83287500002	positive	negative	intro_s0p001_af50	intro_s0p001_af50__rep008	8	intro_s0p001_af50__rep008	0.001	0.5
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.24010869565217388	-16833.859428457457	-420846.4857114364	positive	negative	intro_s0p001_af50	intro_s0p001_af50__rep009	9	intro_s0p001_af50__rep009	0.001	0.5
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.27518858379838995	-17564.148081	-439103.702025	positive	negative	intro_s0p001_af50	intro_s0p001_af50__rep009	9	intro_s0p001_af50__rep009	0.001	0.5
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.17600430416068868	-24233.349575959903	-605833.7393989975	positive	negative	intro_s0p001_af50	intro_s0p001_af50__rep010	10	intro_s0p001_af50__rep010	0.001	0.5
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.07219880704965001	-17596.555729	-439913.893225	positive	negative	intro_s0p001_af50	intro_s0p001_af50__rep010	10	intro_s0p001_af50__rep010	0.001	0.5
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.06991228070175437	-27857.169356786726	-696429.2339196681	positive	negative	intro_s0p001_af60	intro_s0p001_af60__rep005	5	intro_s0p001_af60__rep005	0.001	0.6
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.20186021812965	-20047.499065	-501187.476625	positive	negative	intro_s0p001_af60	intro_s0p001_af60__rep005	5	intro_s0p001_af60__rep005	0.001	0.6
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	-0.09715090090090092	-419.7972972972973	-10494.932432432432	positive	negative	intro_s0p001_af60	intro_s0p001_af60__rep007	7	intro_s0p001_af60__rep007	0.001	0.6
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	-0.21052149369159995	2146.2083599999996	53655.20899999999	positive	negative	intro_s0p001_af60	intro_s0p001_af60__rep007	7	intro_s0p001_af60__rep007	0.001	0.6
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.09482758620689652	-12706.724137931034	-317668.1034482759	positive	negative	intro_s0p001_af60	intro_s0p001_af60__rep008	8	intro_s0p001_af60__rep008	0.001	0.6
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.2186163093304175	-24797.605326	-619940.13315	positive	negative	intro_s0p001_af60	intro_s0p001_af60__rep008	8	intro_s0p001_af60__rep008	0.001	0.6
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.03965183752417786	-25254.317293057502	-631357.9323264376	positive	negative	intro_s0p001_af60	intro_s0p001_af60__rep009	9	intro_s0p001_af60__rep009	0.001	0.6
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.3153073175323501	-15956.547260000001	-398913.6815	positive	negative	intro_s0p001_af60	intro_s0p001_af60__rep009	9	intro_s0p001_af60__rep009	0.001	0.6
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	-0.2659375	-8172.052983709602	-204301.32459274004	positive	negative	intro_s0p001_af80	intro_s0p001_af80__rep001	1	intro_s0p001_af80__rep001	0.001	0.8
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	-0.14254425254944997	-8550.260065999999	-213756.50164999996	positive	negative	intro_s0p001_af80	intro_s0p001_af80__rep001	1	intro_s0p001_af80__rep001	0.001	0.8
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.17548582995951417	-11571.972623873207	-289299.31559683016	positive	negative	intro_s0p005_af10	intro_s0p005_af10__rep001	1	intro_s0p005_af10__rep001	0.005	0.1
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.10738852869842998	-17925.749151	-448143.728775	positive	negative	intro_s0p005_af10	intro_s0p005_af10__rep001	1	intro_s0p005_af10__rep001	0.005	0.1
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.3379829545454546	-15651.61596808882	-391290.3992022205	positive	negative	intro_s0p005_af10	intro_s0p005_af10__rep002	2	intro_s0p005_af10__rep002	0.005	0.1
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.12846399704375	-11019.619448	-275490.4862	positive	negative	intro_s0p005_af10	intro_s0p005_af10__rep002	2	intro_s0p005_af10__rep002	0.005	0.1
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	-0.24432926829268295	-21898.592129399833	-547464.8032349958	positive	negative	intro_s0p005_af10	intro_s0p005_af10__rep003	3	intro_s0p005_af10__rep003	0.005	0.1
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.155711925976997	-15121.558156	-378038.95389999996	positive	negative	intro_s0p005_af10	intro_s0p005_af10__rep003	3	intro_s0p005_af10__rep003	0.005	0.1
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	-0.0025833333333332986	-22456.69863880645	-561417.4659701613	positive	negative	intro_s0p005_af10	intro_s0p005_af10__rep004	4	intro_s0p005_af10__rep004	0.005	0.1
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.07833518779445003	-23606.340949999998	-590158.5237499999	positive	negative	intro_s0p005_af10	intro_s0p005_af10__rep004	4	intro_s0p005_af10__rep004	0.005	0.1
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	-0.10211111111111112	-10630.716191424806	-265767.90478562017	positive	negative	intro_s0p005_af10	intro_s0p005_af10__rep005	5	intro_s0p005_af10__rep005	0.005	0.1
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	-0.039308744689854985	-9405.570489	-235139.26222499998	positive	negative	intro_s0p005_af10	intro_s0p005_af10__rep005	5	intro_s0p005_af10__rep005	0.005	0.1
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	-0.1650337837837838	-3663.581081081081	-91589.52702702703	positive	negative	intro_s0p005_af10	intro_s0p005_af10__rep006	6	intro_s0p005_af10__rep006	0.005	0.1
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	-0.10035227398205002	-7257.073839999999	-181426.846	positive	negative	intro_s0p005_af10	intro_s0p005_af10__rep006	6	intro_s0p005_af10__rep006	0.005	0.1
