base_specification_id	selection_coefficient	target_allele_frequency	source	genotype_class	threshold_years	n_observed_replicates	mean_p_tmrca_lt_threshold	median_p_tmrca_lt_threshold	sample_sd_p_tmrca_lt_threshold	q25_p_tmrca_lt_threshold	q75_p_tmrca_lt_threshold	bootstrap_mean_ci95_low	bootstrap_mean_ci95_high	bootstrap_draws	bootstrap_seed	conditioning_missingness
intro_s0p001_af10	0.001	0.1	tree_truth	overall	40000.0	10	0.12200000000000003	0.12	0.04184627953726724	0.1	0.145	0.099	0.14799999999999996	5000	2082141260	nonrandom
intro_s0p001_af10	0.001	0.1	tree_truth	overall	50000.0	10	0.15300000000000002	0.14	0.04191260749066642	0.1225	0.17	0.12999999999999998	0.179	5000	340243126	nonrandom
intro_s0p001_af20	0.001	0.2	gamma_smc	heterozygous	1000.0	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5000	2009609083	nonrandom
intro_s0p001_af20	0.001	0.2	gamma_smc	heterozygous	4500.0	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5000	1420194439	nonrandom
intro_s0p001_af20	0.001	0.2	gamma_smc	heterozygous	10000.0	10	2.7151873423000004e-15	0.0	6.7098577633585526e-15	0.0	0.0	0.0	7.5306325756e-15	5000	673199286	nonrandom
intro_s0p001_af20	0.001	0.2	gamma_smc	heterozygous	20000.0	10	1.473237119582011e-12	0.0	3.32160774524138e-12	0.0	7.464397853249998e-17	7.631804700999997e-18	3.446121442559321e-12	5000	613999994	nonrandom
intro_s0p001_af20	0.001	0.2	gamma_smc	heterozygous	30000.0	10	5.7185191610363e-11	0.0	1.2256392837436492e-10	0.0	3.6163305064075002e-12	4.815892661e-13	1.37274497488526e-10	5000	977766440	nonrandom
intro_s0p001_af20	0.001	0.2	gamma_smc	heterozygous	40000.0	10	1.2696123380790325e-09	3.643693213e-15	2.0802121137626265e-09	0.0	2.601014456100975e-09	3.301141002026e-13	2.5487500660967014e-09	5000	983608406	nonrandom
intro_s0p001_af20	0.001	0.2	gamma_smc	heterozygous	50000.0	10	6.409080545512653e-08	2.2380126392665e-13	1.8124188239308644e-07	5.9301868875e-17	2.09008489303825e-08	4.5673311541708506e-12	1.819317051050724e-07	5000	1956649024	nonrandom
intro_s0p001_af20	0.001	0.2	gamma_smc	hom_alt	1000.0	10	0.01394294871727	0.007733099929999999	0.01446510314456373	0.00175523787035	0.024571332065	0.005745699642664999	0.022469890421302	5000	736591606	nonrandom
intro_s0p001_af20	0.001	0.2	gamma_smc	hom_alt	4500.0	10	0.051648246228399995	0.036940063349999996	0.04443640974073636	0.014124562495	0.0973195999575	0.02619248469039	0.07679305834835494	5000	1598072764	nonrandom
intro_s0p001_af20	0.001	0.2	gamma_smc	hom_alt	10000.0	10	0.10331513951699997	0.08459863891	0.07933056642143486	0.0418878179025	0.171179533175	0.059662365631524994	0.15195320803705	5000	1335311183	nonrandom
intro_s0p001_af20	0.001	0.2	gamma_smc	hom_alt	20000.0	10	0.180672671609	0.17133019435	0.11708809499597578	0.085645269605	0.27070159709999997	0.1135956217807	0.25023133621750004	5000	1400037005	nonrandom
intro_s0p001_af20	0.001	0.2	gamma_smc	hom_alt	30000.0	10	0.241279154118	0.2474502737	0.1405126420026058	0.120602212875	0.35317666457499997	0.15683977401744997	0.3247996809395	5000	924592040	nonrandom
intro_s0p001_af20	0.001	0.2	gamma_smc	hom_alt	40000.0	10	0.289344287191	0.30638668845	0.15815962790285581	0.15174425765	0.3920615812	0.19463766739332497	0.38352562487499997	5000	1188589676	nonrandom
intro_s0p001_af20	0.001	0.2	gamma_smc	hom_alt	50000.0	10	0.328141356053	0.34074534795	0.17233238895385178	0.179794497825	0.4394629164	0.229551997252575	0.42950299289774996	5000	1678996444	nonrandom
intro_s0p001_af20	0.001	0.2	gamma_smc	hom_ref	1000.0	10	0.014172565181750002	0.0077371128655	0.021869571511347122	0.0031733445725	0.013935723475000002	0.004876460460437501	0.028564785128167472	5000	1814306596	nonrandom
intro_s0p001_af20	0.001	0.2	gamma_smc	hom_ref	4500.0	10	0.0343296904915	0.02527269757	0.029474503948087778	0.01622229078	0.042086059327499994	0.019922234843737504	0.05394547654290249	5000	1869918187	nonrandom
intro_s0p001_af20	0.001	0.2	gamma_smc	hom_ref	10000.0	10	0.053426113358999994	0.0474515374	0.031220376026298693	0.034404642627499996	0.0678411001225	0.036721184869575	0.07324453336339998	5000	1735193868	nonrandom
intro_s0p001_af20	0.001	0.2	gamma_smc	hom_ref	20000.0	10	0.077355442705	0.069643559	0.035708137099226274	0.0586540282675	0.0996402672675	0.05647050380825	0.09823405051112499	5000	131330587	nonrandom
