base_specification_id	replicate_id	replicate_index	specification_id	selection_coefficient	target_allele_frequency	achieved_allele_frequency	achieved_allele_frequency_scope	accepted_seed	attempts_to_accept	completed_external_sample_panel_draws	interrupted_internal_conditioned_trajectories	launched_external_draws	invocation_count	cumulative_elapsed_seconds	n_hom_ref	n_heterozygous	n_hom_alt	decoded	conditioning_missingness
intro_s0p005_af50	intro_s0p005_af50__rep002	2	intro_s0p005_af50__rep002	0.005	0.5	0.69	sample_estimate	1822670819	1	1	0	1	1	66.87821009999607	9	44	47	True	nonrandom
intro_s0p005_af50	intro_s0p005_af50__rep003	3	intro_s0p005_af50__rep003	0.005	0.5	0.695	sample_estimate	516368082	1	1	0	1	1	82.36602199997287	11	39	50	True	nonrandom
intro_s0p005_af50	intro_s0p005_af50__rep004	4	intro_s0p005_af50__rep004	0.005	0.5	0.705	sample_estimate	970884146	1	1	0	1	1	75.3302264000522	8	43	49	True	nonrandom
intro_s0p005_af50	intro_s0p005_af50__rep005	5	intro_s0p005_af50__rep005	0.005	0.5	0.895	sample_estimate	1012177135	1	1	0	1	1	165.60508720000507	3	15	82	True	nonrandom
intro_s0p005_af50	intro_s0p005_af50__rep006	6	intro_s0p005_af50__rep006	0.005	0.5	0.8	sample_estimate	2053631726	3	3	0	3	1	236.80134470004123	4	32	64	True	nonrandom
intro_s0p005_af50	intro_s0p005_af50__rep007	7	intro_s0p005_af50__rep007	0.005	0.5	0.71	sample_estimate	1188097635	1	1	0	1	1	50.6765449999948	8	42	50	True	nonrandom
intro_s0p005_af50	intro_s0p005_af50__rep008	8	intro_s0p005_af50__rep008	0.005	0.5	0.67	sample_estimate	944630669	2	2	0	2	1	184.16824959998485	10	46	44	True	nonrandom
intro_s0p005_af50	intro_s0p005_af50__rep009	9	intro_s0p005_af50__rep009	0.005	0.5	0.725	sample_estimate	1175233815	4	4	0	4	1	207.5691604000167	11	33	56	True	nonrandom
intro_s0p005_af50	intro_s0p005_af50__rep010	10	intro_s0p005_af50__rep010	0.005	0.5	0.765	sample_estimate	758391393	1	1	0	1	1	113.26562969997758	8	31	61	True	nonrandom
intro_s0p005_af60	intro_s0p005_af60__rep001	1	intro_s0p005_af60__rep001	0.005	0.6	0.78	sample_estimate	722344536	1	1	0	1	1	64.14581279997947	3	38	59	True	nonrandom
intro_s0p005_af60	intro_s0p005_af60__rep002	2	intro_s0p005_af60__rep002	0.005	0.6	0.86	sample_estimate	223355621	1	1	0	1	1	58.29982469999232	3	22	75	True	nonrandom
intro_s0p005_af60	intro_s0p005_af60__rep003	3	intro_s0p005_af60__rep003	0.005	0.6	0.73	sample_estimate	1960116937	1	1	0	1	1	76.11738379998133	6	42	52	True	nonrandom
intro_s0p005_af60	intro_s0p005_af60__rep004	4	intro_s0p005_af60__rep004	0.005	0.6	0.845	sample_estimate	1383474532	1	1	0	1	1	91.56221040000672	2	27	71	True	nonrandom
intro_s0p005_af60	intro_s0p005_af60__rep005	5	intro_s0p005_af60__rep005	0.005	0.6	0.735	sample_estimate	1519927557	5	5	1	6	2	377.86219810001785	6	41	53	True	nonrandom
intro_s0p005_af60	intro_s0p005_af60__rep006	6	intro_s0p005_af60__rep006	0.005	0.6	0.82	sample_estimate	379914556	1	1	0	1	1	114.59162110002944	3	30	67	True	nonrandom
intro_s0p005_af60	intro_s0p005_af60__rep007	7	intro_s0p005_af60__rep007	0.005	0.6	0.79	sample_estimate	1836961765	1	1	0	1	1	82.1352196999942	4	34	62	True	nonrandom
intro_s0p005_af60	intro_s0p005_af60__rep008	8	intro_s0p005_af60__rep008	0.005	0.6	0.755	sample_estimate	463337457	4	4	1	5	2	366.4727020000573	8	33	59	True	nonrandom
intro_s0p005_af60	intro_s0p005_af60__rep009	9	intro_s0p005_af60__rep009	0.005	0.6	0.76	sample_estimate	717374841	2	2	0	2	1	178.36084500001743	6	36	58	True	nonrandom
intro_s0p005_af60	intro_s0p005_af60__rep010	10	intro_s0p005_af60__rep010	0.005	0.6	0.635	sample_estimate	1138284426	2	2	0	2	1	171.12697049998678	15	43	42	True	nonrandom
intro_s0p005_af70	intro_s0p005_af70__rep001	1	intro_s0p005_af70__rep001	0.005	0.7	0.895	sample_estimate	146012519	2	2	0	2	1	121.14135890000034	2	17	81	True	nonrandom
intro_s0p005_af70	intro_s0p005_af70__rep002	2	intro_s0p005_af70__rep002	0.005	0.7	0.805	sample_estimate	1777576383	1	1	0	1	1	76.3986155000166	6	27	67	True	nonrandom
intro_s0p005_af70	intro_s0p005_af70__rep003	3	intro_s0p005_af70__rep003	0.005	0.7	0.86	sample_estimate	1166454258	4	4	1	5	2	372.96958869998343	2	24	74	True	nonrandom
intro_s0p005_af70	intro_s0p005_af70__rep004	4	intro_s0p005_af70__rep004	0.005	0.7	0.73	sample_estimate	2019406812	1	1	0	1	1	61.86560049996479	9	36	55	True	nonrandom
intro_s0p005_af70	intro_s0p005_af70__rep005	5	intro_s0p005_af70__rep005	0.005	0.7	0.81	sample_estimate	1867285808	1	1	0	1	1	51.52881829999387	2	34	64	True	nonrandom
intro_s0p005_af70	intro_s0p005_af70__rep006	6	intro_s0p005_af70__rep006	0.005	0.7	0.82	sample_estimate	129012366	4	4	1	5	2	424.85532239993336	5	26	69	True	nonrandom
intro_s0p005_af70	intro_s0p005_af70__rep007	7	intro_s0p005_af70__rep007	0.005	0.7	0.865	sample_estimate	1938073880	5	5	1	6	2	567.3461597000132	2	23	75	True	nonrandom
intro_s0p005_af70	intro_s0p005_af70__rep008	8	intro_s0p005_af70__rep008	0.005	0.7	0.755	sample_estimate	161992498	1	1	0	1	1	85.4830735999858	4	41	55	True	nonrandom
intro_s0p005_af70	intro_s0p005_af70__rep009	9	intro_s0p005_af70__rep009	0.005	0.7	0.89	sample_estimate	240841475	3	3	0	3	1	236.14913340000203	2	18	80	True	nonrandom
intro_s0p005_af70	intro_s0p005_af70__rep010	10	intro_s0p005_af70__rep010	0.005	0.7	0.73	sample_estimate	1978073189	1	1	0	1	1	89.17451910005184	7	40	53	True	nonrandom
intro_s0p005_af80	intro_s0p005_af80__rep001	1	intro_s0p005_af80__rep001	0.005	0.8	0.925	sample_estimate	4786453	2	2	0	2	1	228.61330179998183	2	11	87	True	nonrandom
intro_s0p005_af80	intro_s0p005_af80__rep002	2	intro_s0p005_af80__rep002	0.005	0.8	0.845	sample_estimate	1438027117	6	6	2	8	3	823.2200255000316	2	27	71	True	nonrandom
intro_s0p005_af80	intro_s0p005_af80__rep003	3	intro_s0p005_af80__rep003	0.005	0.8	0.86	sample_estimate	1532891473	1	1	0	1	1	54.91292400000384	3	22	75	True	nonrandom
intro_s0p005_af80	intro_s0p005_af80__rep004	4	intro_s0p005_af80__rep004	0.005	0.8	0.82	sample_estimate	1066470426	6	6	4	10	5	1322.0974654000092	4	28	68	True	nonrandom
intro_s0p005_af80	intro_s0p005_af80__rep005	5	intro_s0p005_af80__rep005	0.005	0.8	0.83	sample_estimate	214568776	1	1	0	1	1	271.0688267000369	3	28	69	True	nonrandom
intro_s0p005_af80	intro_s0p005_af80__rep006	6	intro_s0p005_af80__rep006	0.005	0.8	0.91	sample_estimate	1347786797	1	1	0	1	1	76.22576980001759	2	14	84	True	nonrandom
intro_s0p005_af80	intro_s0p005_af80__rep007	7	intro_s0p005_af80__rep007	0.005	0.8	0.8	sample_estimate	2059068122	1	1	0	1	1	97.6695315000252	6	28	66	True	nonrandom
intro_s0p005_af80	intro_s0p005_af80__rep008	8	intro_s0p005_af80__rep008	0.005	0.8	0.845	sample_estimate	1659475316	2	2	0	2	1	237.3852575999917	2	27	71	True	nonrandom
intro_s0p005_af80	intro_s0p005_af80__rep009	9	intro_s0p005_af80__rep009	0.005	0.8	0.805	sample_estimate	1937665660	2	2	0	2	1	254.5704880999984	5	29	66	True	nonrandom
intro_s0p005_af80	intro_s0p005_af80__rep010	10	intro_s0p005_af80__rep010	0.005	0.8	0.8	sample_estimate	2058987728	7	7	3	10	4	956.3716466000005	4	32	64	True	nonrandom
intro_s0p005_af90	intro_s0p005_af90__rep004	4	intro_s0p005_af90__rep004	0.005	0.9	0.925	sample_estimate	1407769734	1	1	0	1	1	151.9018558000098	2	11	87	True	nonrandom
intro_s0p005_af90	intro_s0p005_af90__rep006	6	intro_s0p005_af90__rep006	0.005	0.9	0.91	sample_estimate	2115430421	5	5	4	9	5	1318.2165424999985	2	14	84	True	nonrandom
intro_s0p005_af90	intro_s0p005_af90__rep008	8	intro_s0p005_af90__rep008	0.005	0.9	0.92	sample_estimate	1218646511	2	2	1	3	2	502.6718092000229	2	12	86	True	nonrandom
intro_s0p005_af90	intro_s0p005_af90__rep009	9	intro_s0p005_af90__rep009	0.005	0.9	0.945	sample_estimate	2059968941	1	1	0	1	1	293.7810322000296	2	7	91	True	nonrandom
intro_s0p010_af10	intro_s0p010_af10__rep001	1	intro_s0p010_af10__rep001	0.01	0.1	0.915	sample_estimate	1427793081	3	3	4	7	5	1342.261537599934	2	13	85	True	nonrandom
intro_s0p010_af10	intro_s0p010_af10__rep008	8	intro_s0p010_af10__rep008	0.01	0.1	0.82	sample_estimate	2059471862	1	1	3	4	4	1164.0646873999867	4	28	68	True	nonrandom
