key,position_bp,decoded_all_T50000
neutral/rep0286,3210000,0.2605
neutral/rep0286,3220000,0.2258
neutral/rep0286,3230000,0.2323
neutral/rep0286,3240000,0.249
neutral/rep0286,3250000,0.1911
neutral/rep0286,3260000,0.1988
neutral/rep0286,3270000,0.1961
neutral/rep0286,3280000,0.1812
neutral/rep0286,3290000,0.1647
neutral/rep0286,3300000,0.1453
neutral/rep0286,3310000,0.1549
neutral/rep0286,3320000,0.1509
neutral/rep0286,3330000,0.1694
neutral/rep0286,3340000,0.1993
neutral/rep0286,3350000,0.1994
neutral/rep0286,3360000,0.1958
neutral/rep0286,3370000,0.209
neutral/rep0286,3380000,0.2069
neutral/rep0286,3390000,0.2282
neutral/rep0286,3400000,0.225
neutral/rep0286,3410000,0.2373
neutral/rep0286,3420000,0.2281
neutral/rep0286,3430000,0.1733
neutral/rep0286,3440000,0.1786
neutral/rep0286,3450000,0.16
neutral/rep0286,3460000,0.1528
neutral/rep0286,3470000,0.1793
neutral/rep0286,3480000,0.2061
neutral/rep0286,3490000,0.2145
neutral/rep0286,3500000,0.2215
neutral/rep0286,3510000,0.1968
neutral/rep0286,3520000,0.1844
neutral/rep0286,3530000,0.1525
neutral/rep0286,3540000,0.1489
neutral/rep0286,3550000,0.157
neutral/rep0286,3560000,0.1606
neutral/rep0286,3570000,0.1446
neutral/rep0286,3580000,0.1734
neutral/rep0286,3590000,0.2318
neutral/rep0286,3600000,0.2806
neutral/rep0286,3610000,0.274
neutral/rep0286,3620000,0.1884
neutral/rep0286,3630000,0.1912
neutral/rep0286,3640000,0.2038
neutral/rep0286,3650000,0.1492
neutral/rep0286,3660000,0.1226
neutral/rep0286,3670000,0.1498
neutral/rep0286,3680000,0.2569
neutral/rep0286,3690000,0.349
neutral/rep0286,3700000,0.4539
neutral/rep0286,3710000,0.4221
neutral/rep0286,3720000,0.393
neutral/rep0286,3730000,0.3752
neutral/rep0286,3740000,0.3873
neutral/rep0286,3750000,0.3236
neutral/rep0286,3760000,0.2971
neutral/rep0286,3770000,0.2892
neutral/rep0286,3780000,0.1918
neutral/rep0286,3790000,0.2097
neutral/rep0286,3800000,0.2524
neutral/rep0286,3810000,0.2667
neutral/rep0286,3820000,0.2511
neutral/rep0286,3830000,0.2456
neutral/rep0286,3840000,0.1971
neutral/rep0286,3850000,0.1902
neutral/rep0286,3860000,0.21
neutral/rep0286,3870000,0.2003
neutral/rep0286,3880000,0.1916
neutral/rep0286,3890000,0.1567
neutral/rep0286,3900000,0.2114
neutral/rep0286,3910000,0.2173
neutral/rep0286,3920000,0.1705
neutral/rep0286,3930000,0.1826
neutral/rep0286,3940000,0.2056
neutral/rep0286,3950000,0.2194
neutral/rep0286,3960000,0.1953
neutral/rep0286,3970000,0.1683
neutral/rep0286,3980000,0.1678
neutral/rep0286,3990000,0.1488
neutral/rep0286,4000000,0.1486
neutral/rep0286,4010000,0.1437
neutral/rep0286,4020000,0.1545
neutral/rep0286,4030000,0.1749
neutral/rep0286,4040000,0.2078
neutral/rep0286,4050000,0.2583
neutral/rep0286,4060000,0.2869
neutral/rep0286,4070000,0.3155
neutral/rep0286,4080000,0.3088
neutral/rep0286,4090000,0.3503
neutral/rep0286,4100000,0.4132
neutral/rep0286,4110000,0.4128
neutral/rep0286,4120000,0.4444
neutral/rep0286,4130000,0.4409
neutral/rep0286,4140000,0.4851
neutral/rep0286,4150000,0.4464
neutral/rep0286,4160000,0.4299
neutral/rep0286,4170000,0.4456
neutral/rep0286,4180000,0.347
neutral/rep0286,4190000,0.2517
neutral/rep0286,4200000,0.2353
neutral/rep0286,4210000,0.2286
neutral/rep0286,4220000,0.2105
neutral/rep0286,4230000,0.2645
neutral/rep0286,4240000,0.3011
neutral/rep0286,4250000,0.3356
neutral/rep0286,4260000,0.3694
neutral/rep0286,4270000,0.4358
neutral/rep0286,4280000,0.4154
neutral/rep0286,4290000,0.4422
neutral/rep0286,4300000,0.4577
neutral/rep0286,4310000,0.4132
neutral/rep0286,4320000,0.3636
neutral/rep0286,4330000,0.2579
neutral/rep0286,4340000,0.2544
neutral/rep0286,4350000,0.2449
neutral/rep0286,4360000,0.2477
neutral/rep0286,4370000,0.1944
neutral/rep0286,4380000,0.1627
neutral/rep0286,4390000,0.1465
neutral/rep0286,4400000,0.1586
neutral/rep0286,4410000,0.1615
neutral/rep0286,4420000,0.1696
neutral/rep0286,4430000,0.1653
neutral/rep0286,4440000,0.1521
neutral/rep0286,4450000,0.193
neutral/rep0286,4460000,0.1833
neutral/rep0286,4470000,0.18
neutral/rep0286,4480000,0.2219
neutral/rep0286,4490000,0.2251
neutral/rep0286,4500000,0.2184
neutral/rep0286,4510000,0.1897
neutral/rep0286,4520000,0.1662
neutral/rep0286,4530000,0.1643
neutral/rep0286,4540000,0.215
neutral/rep0286,4550000,0.2082
neutral/rep0286,4560000,0.2802
neutral/rep0286,4570000,0.3136
neutral/rep0286,4580000,0.3401
neutral/rep0286,4590000,0.3715
neutral/rep0286,4600000,0.3913
neutral/rep0286,4610000,0.3681
neutral/rep0286,4620000,0.3496
neutral/rep0286,4630000,0.4859
neutral/rep0286,4640000,0.4873
neutral/rep0286,4650000,0.5146
neutral/rep0286,4660000,0.5701
neutral/rep0286,4670000,0.5654
neutral/rep0286,4680000,0.5448
neutral/rep0286,4690000,0.4964
neutral/rep0286,4700000,0.4372
neutral/rep0286,4710000,0.4762
neutral/rep0286,4720000,0.5536
neutral/rep0286,4730000,0.4033
neutral/rep0286,4740000,0.244
neutral/rep0286,4750000,0.2628
neutral/rep0286,4760000,0.3272
neutral/rep0286,4770000,0.3468
neutral/rep0286,4780000,0.354
neutral/rep0286,4790000,0.3937
neutral/rep0286,4800000,0.3734
neutral/rep0286,4810000,0.3304
neutral/rep0286,4820000,0.2227
neutral/rep0286,4830000,0.2064
neutral/rep0286,4840000,0.1837
neutral/rep0286,4850000,0.1848
neutral/rep0286,4860000,0.2047
neutral/rep0286,4870000,0.2237
neutral/rep0286,4880000,0.2052
neutral/rep0286,4890000,0.1897
neutral/rep0286,4900000,0.1787
neutral/rep0286,4910000,0.1869
neutral/rep0286,4920000,0.1772
neutral/rep0286,4930000,0.188
neutral/rep0286,4940000,0.2172
neutral/rep0286,4950000,0.2204
neutral/rep0286,4960000,0.2327
neutral/rep0286,4970000,0.2244
neutral/rep0286,4980000,0.2101
neutral/rep0286,4990000,0.183
neutral/rep0286,5000000,0.1926
neutral/rep0286,5010000,0.1823
neutral/rep0286,5020000,0.2045
neutral/rep0286,5030000,0.2214
neutral/rep0286,5040000,0.1983
neutral/rep0286,5050000,0.1577
neutral/rep0286,5060000,0.1221
neutral/rep0286,5070000,0.1182
neutral/rep0286,5080000,0.1301
neutral/rep0286,5090000,0.1358
neutral/rep0286,5100000,0.1747
neutral/rep0286,5110000,0.2061
neutral/rep0286,5120000,0.2195
neutral/rep0286,5130000,0.2253
neutral/rep0286,5140000,0.2252
neutral/rep0286,5150000,0.2026
neutral/rep0286,5160000,0.2409
neutral/rep0286,5170000,0.2709
neutral/rep0286,5180000,0.1883
neutral/rep0286,5190000,0.181
neutral/rep0286,5200000,0.1757
neutral/rep0286,5210000,0.2074
neutral/rep0286,5220000,0.2109
neutral/rep0286,5230000,0.3396
neutral/rep0286,5240000,0.3618
neutral/rep0286,5250000,0.3373
neutral/rep0286,5260000,0.198
neutral/rep0286,5270000,0.2338
neutral/rep0286,5280000,0.3746
neutral/rep0286,5290000,0.3873
neutral/rep0286,5300000,0.3938
neutral/rep0286,5310000,0.3965
neutral/rep0286,5320000,0.3133
neutral/rep0286,5330000,0.2388
neutral/rep0286,5340000,0.1701
neutral/rep0286,5350000,0.1433
neutral/rep0286,5360000,0.1402
neutral/rep0286,5370000,0.1524
neutral/rep0286,5380000,0.1788
neutral/rep0286,5390000,0.1646
neutral/rep0286,5400000,0.1444
neutral/rep0286,5410000,0.1743
neutral/rep0286,5420000,0.166
neutral/rep0286,5430000,0.1489
neutral/rep0286,5440000,0.1456
neutral/rep0286,5450000,0.1763
neutral/rep0286,5460000,0.1725
neutral/rep0286,5470000,0.1822
neutral/rep0286,5480000,0.1722
neutral/rep0286,5490000,0.1318
neutral/rep0286,5500000,0.1479
neutral/rep0286,5510000,0.1849
neutral/rep0286,5520000,0.1981
neutral/rep0286,5530000,0.2517
neutral/rep0286,5540000,0.2556
neutral/rep0286,5550000,0.2141
neutral/rep0286,5560000,0.204
neutral/rep0286,5570000,0.2077
neutral/rep0286,5580000,0.1945
neutral/rep0286,5590000,0.23
neutral/rep0286,5600000,0.2754
neutral/rep0286,5610000,0.3239
neutral/rep0286,5620000,0.3516
neutral/rep0286,5630000,0.3507
neutral/rep0286,5640000,0.2793
neutral/rep0286,5650000,0.2952
neutral/rep0286,5660000,0.3331
neutral/rep0286,5670000,0.361
neutral/rep0286,5680000,0.3702
neutral/rep0286,5690000,0.2876
neutral/rep0286,5700000,0.2821
neutral/rep0286,5710000,0.2786
neutral/rep0286,5720000,0.2266
neutral/rep0286,5730000,0.2009
neutral/rep0286,5740000,0.1468
neutral/rep0286,5750000,0.1462
neutral/rep0286,5760000,0.1557
neutral/rep0286,5770000,0.154
neutral/rep0286,5780000,0.1481
neutral/rep0286,5790000,0.1428
neutral/rep0286,5800000,0.126
neutral/rep0286,5810000,0.1316
neutral/rep0286,5820000,0.126
neutral/rep0286,5830000,0.1354
neutral/rep0286,5840000,0.1233
neutral/rep0286,5850000,0.1264
neutral/rep0286,5860000,0.1256
neutral/rep0286,5870000,0.1272
neutral/rep0286,5880000,0.1262
neutral/rep0286,5890000,0.1188
neutral/rep0286,5900000,0.1142
neutral/rep0286,5910000,0.1536
neutral/rep0286,5920000,0.181
neutral/rep0286,5930000,0.1946
neutral/rep0286,5940000,0.1591
neutral/rep0286,5950000,0.1683
neutral/rep0286,5960000,0.1577
neutral/rep0286,5970000,0.1718
neutral/rep0286,5980000,0.1735
neutral/rep0286,5990000,0.1767
neutral/rep0286,6000000,0.1338
neutral/rep0286,6010000,0.1339
neutral/rep0286,6020000,0.1393
neutral/rep0286,6030000,0.1418
neutral/rep0286,6040000,0.1392
neutral/rep0286,6050000,0.1295
neutral/rep0286,6060000,0.1311
neutral/rep0286,6070000,0.1357
neutral/rep0286,6080000,0.1288
neutral/rep0286,6090000,0.1382
neutral/rep0286,6100000,0.1312
neutral/rep0286,6110000,0.1238
neutral/rep0286,6120000,0.1327
neutral/rep0286,6130000,0.1512
neutral/rep0286,6140000,0.1627
neutral/rep0286,6150000,0.1932
neutral/rep0286,6160000,0.1883
neutral/rep0286,6170000,0.1965
neutral/rep0286,6180000,0.1952
neutral/rep0286,6190000,0.1893
neutral/rep0286,6200000,0.1638
neutral/rep0286,6210000,0.1441
neutral/rep0286,6220000,0.1353
neutral/rep0286,6230000,0.1244
neutral/rep0286,6240000,0.1255
neutral/rep0286,6250000,0.1432
neutral/rep0286,6260000,0.1409
neutral/rep0286,6270000,0.1428
neutral/rep0286,6280000,0.1372
neutral/rep0286,6290000,0.1272
neutral/rep0286,6300000,0.1121
neutral/rep0286,6310000,0.1237
neutral/rep0286,6320000,0.1235
neutral/rep0286,6330000,0.137
neutral/rep0286,6340000,0.1398
neutral/rep0286,6350000,0.143
neutral/rep0286,6360000,0.1186
neutral/rep0286,6370000,0.1171
neutral/rep0286,6380000,0.126
neutral/rep0286,6390000,0.138
neutral/rep0286,6400000,0.1397
neutral/rep0286,6410000,0.1383
neutral/rep0286,6420000,0.1496
neutral/rep0286,6430000,0.1691
neutral/rep0286,6440000,0.1982
neutral/rep0286,6450000,0.2032
neutral/rep0286,6460000,0.1839
neutral/rep0286,6470000,0.1428
neutral/rep0286,6480000,0.1874
neutral/rep0286,6490000,0.2116
neutral/rep0286,6500000,0.2139
neutral/rep0286,6510000,0.197
neutral/rep0286,6520000,0.183
neutral/rep0286,6530000,0.1869
neutral/rep0286,6540000,0.1636
neutral/rep0286,6550000,0.1387
neutral/rep0286,6560000,0.1213
neutral/rep0286,6570000,0.1338
neutral/rep0286,6580000,0.1328
neutral/rep0286,6590000,0.1219
neutral/rep0286,6600000,0.1417
neutral/rep0286,6610000,0.1784
neutral/rep0286,6620000,0.1927
neutral/rep0286,6630000,0.1803
neutral/rep0286,6640000,0.1825
neutral/rep0286,6650000,0.1939
neutral/rep0286,6660000,0.196
neutral/rep0286,6670000,0.176
neutral/rep0286,6680000,0.1839
neutral/rep0286,6690000,0.1647
