source,distance_bp,mode,cutoff_years,n,mean,sem
decoded,930000.0,selected,20000,100,0.07548689999999998,0.0018122341459918996
decoded,930000.0,selected,30000,100,0.12864,0.0030504419716202145
decoded,930000.0,selected,40000,100,0.1732846,0.003988882366495329
decoded,930000.0,selected,50000,100,0.20918580000000003,0.004634253715387825
decoded,980000.0,neutral,5000,1000,0.00473762,2.1604955674791597e-05
decoded,980000.0,neutral,10000,1000,0.02109087,0.0001227645179600766
decoded,980000.0,neutral,20000,1000,0.07534217,0.0005691477403464249
decoded,980000.0,neutral,30000,1000,0.12959568999999999,0.0010201061709076286
decoded,980000.0,neutral,40000,1000,0.17590473,0.0013987026963439586
decoded,980000.0,neutral,50000,1000,0.21421395999999998,0.001698918559728803
decoded,980000.0,selected,5000,100,0.0047771,7.220849372239089e-05
decoded,980000.0,selected,10000,100,0.021567600000000003,0.0005087917182160618
decoded,980000.0,selected,20000,100,0.07712950000000002,0.002108574387345558
decoded,980000.0,selected,30000,100,0.1320139,0.003437487298474238
decoded,980000.0,selected,40000,100,0.17887080000000005,0.0045994552722704194
