key,onset_years,fold,grid10kb_r1,grid10kb_r2,grid10kb_r3,archaic_sites_r1,archaic_sites_r2,archaic_sites_r3
neutral/rep0139,0,3,0.4425,0.435,0.3925,0.4425,0.435,0.335
neutral/rep0140,0,4,0.3425,0.34,0.3375,0.3425,0.34,0.3375
neutral/rep0141,0,1,0.2975,0.21,0.2025,0.2975,0.21,0.2075
neutral/rep0142,0,1,0.4675,0.4625,0.445,0.48,0.4675,0.445
neutral/rep0143,0,1,0.59,0.555,0.555,0.59,0.5725,0.5675
neutral/rep0144,0,4,0.145,0.1425,0.14,0.145,0.1425,0.14
neutral/rep0145,0,0,0.46,0.445,0.435,0.46,0.445,0.435
neutral/rep0146,0,1,0.1175,0.1175,0.0975,0.1175,0.1175,0.115
neutral/rep0147,0,1,0.2675,0.25,0.2375,0.27,0.2675,0.24
neutral/rep0148,0,0,0.0825,0.08,0.0775,0.0825,0.0775,0.0725
neutral/rep0149,0,4,0.365,0.36,0.355,0.365,0.355,0.3325
neutral/rep0150,0,4,0.375,0.365,0.3625,0.375,0.3725,0.365
neutral/rep0151,0,1,0.34,0.335,0.325,0.34,0.34,0.3375
neutral/rep0152,0,1,0.3975,0.36,0.3325,0.3975,0.36,0.33
neutral/rep0153,0,3,0.16,0.16,0.155,0.1725,0.165,0.1575
neutral/rep0154,0,0,0.4375,0.435,0.39,0.4375,0.395,0.395
neutral/rep0155,0,2,0.4025,0.3775,0.3625,0.4025,0.3825,0.3825
neutral/rep0156,0,4,0.3375,0.3275,0.3275,0.3425,0.34,0.33
neutral/rep0157,0,2,0.145,0.14,0.14,0.145,0.14,0.135
neutral/rep0158,0,1,0.455,0.4425,0.4425,0.455,0.44,0.44
neutral/rep0159,0,0,0.335,0.3275,0.3275,0.3375,0.335,0.335
neutral/rep0160,0,0,0.225,0.1675,0.135,0.225,0.1725,0.1
neutral/rep0161,0,0,0.4125,0.36,0.36,0.4125,0.37,0.36
neutral/rep0162,0,1,0.4175,0.405,0.355,0.4175,0.405,0.355
neutral/rep0163,0,0,0.3775,0.3225,0.315,0.4075,0.39,0.3225
neutral/rep0164,0,3,0.4725,0.4475,0.38,0.475,0.4725,0.4575
neutral/rep0165,0,0,0.375,0.375,0.355,0.375,0.355,0.355
neutral/rep0166,0,2,0.3725,0.3675,0.3275,0.3825,0.3725,0.355
neutral/rep0167,0,4,0.75,0.715,0.71,0.7525,0.7525,0.7125
neutral/rep0168,0,3,0.735,0.71,0.6525,0.735,0.7325,0.71
neutral/rep0169,0,0,0.2475,0.1875,0.185,0.26,0.2475,0.19
neutral/rep0170,0,4,0.2775,0.27,0.245,0.28,0.2775,0.275
neutral/rep0171,0,3,0.2575,0.245,0.2325,0.2575,0.245,0.245
neutral/rep0172,0,3,0.375,0.37,0.28,0.4175,0.375,0.3725
neutral/rep0173,0,1,0.6225,0.4,0.395,0.6225,0.6225,0.395
neutral/rep0174,0,3,0.4625,0.44,0.44,0.4625,0.4475,0.4475
neutral/rep0175,0,2,0.145,0.1325,0.1325,0.1575,0.145,0.1325
neutral/rep0176,0,3,0.4475,0.44,0.44,0.4475,0.4425,0.44
neutral/rep0177,0,0,0.3675,0.3575,0.355,0.3675,0.365,0.3575
neutral/rep0178,0,1,0.2775,0.27,0.225,0.2775,0.2225,0.22
neutral/rep0179,0,3,0.7225,0.7025,0.63,0.7225,0.7225,0.7025
neutral/rep0180,0,3,0.3725,0.36,0.36,0.425,0.3675,0.36
neutral/rep0181,0,2,0.46,0.4275,0.33,0.46,0.4325,0.4275
neutral/rep0182,0,0,0.49,0.4025,0.385,0.49,0.4025,0.4025
neutral/rep0183,0,3,0.235,0.23,0.225,0.27,0.235,0.225
neutral/rep0184,0,0,0.6475,0.6475,0.6475,0.6475,0.6475,0.6475
neutral/rep0185,0,4,0.36,0.3275,0.3275,0.36,0.3225,0.3225
neutral/rep0186,0,1,0.575,0.54,0.525,0.575,0.55,0.545
neutral/rep0187,0,3,0.5075,0.49,0.4875,0.5075,0.505,0.4975
neutral/rep0188,0,4,0.18,0.175,0.1375,0.18,0.18,0.18
neutral/rep0189,0,4,0.0,0.0,0.0,0.0,0.0,0.0
neutral/rep0190,0,1,0.545,0.45,0.425,0.545,0.45,0.43
neutral/rep0191,0,3,0.24,0.215,0.2125,0.24,0.215,0.2125
neutral/rep0192,0,3,0.5525,0.54,0.54,0.5575,0.5425,0.54
neutral/rep0193,0,0,0.6475,0.5625,0.5625,0.65,0.6475,0.5625
neutral/rep0194,0,2,0.3675,0.33,0.33,0.3675,0.335,0.335
neutral/rep0195,0,0,0.7725,0.705,0.7025,0.7725,0.71,0.705
neutral/rep0196,0,2,0.285,0.2575,0.2575,0.285,0.27,0.265
neutral/rep0197,0,0,0.265,0.2425,0.24,0.265,0.2475,0.2425
neutral/rep0198,0,2,0.155,0.1525,0.15,0.1675,0.155,0.1525
neutral/rep0199,0,4,0.595,0.57,0.5525,0.595,0.5625,0.5525
neutral/rep0200,0,3,0.385,0.365,0.365,0.3925,0.385,0.3825
neutral/rep0201,0,1,0.3375,0.335,0.3275,0.3475,0.3375,0.325
neutral/rep0202,0,2,0.4225,0.4225,0.3825,0.425,0.4225,0.4125
neutral/rep0203,0,3,0.1275,0.1225,0.1225,0.1275,0.02,0.0
neutral/rep0204,0,3,0.5725,0.5625,0.5575,0.575,0.5725,0.5575
neutral/rep0205,0,2,0.4075,0.405,0.365,0.4125,0.4125,0.41
neutral/rep0206,0,2,0.4375,0.36,0.36,0.4375,0.3625,0.36
neutral/rep0207,0,0,0.2875,0.2825,0.28,0.2875,0.2825,0.28
neutral/rep0208,0,2,0.42,0.34,0.34,0.425,0.42,0.34
neutral/rep0209,0,3,0.43,0.4075,0.4075,0.4325,0.42,0.4075
neutral/rep0210,0,2,0.655,0.6475,0.6275,0.655,0.6525,0.6475
neutral/rep0211,0,4,0.4075,0.405,0.3475,0.4225,0.4075,0.38
neutral/rep0212,0,3,0.5175,0.5,0.4875,0.5175,0.5,0.4875
neutral/rep0213,0,3,0.4475,0.4275,0.4275,0.4475,0.4275,0.4275
neutral/rep0214,0,4,0.3775,0.36,0.355,0.3775,0.3725,0.355
neutral/rep0215,0,0,0.365,0.315,0.3125,0.365,0.365,0.3125
neutral/rep0216,0,0,0.2325,0.225,0.225,0.2325,0.23,0.225
neutral/rep0217,0,2,0.3325,0.3175,0.3175,0.3325,0.3225,0.3225
neutral/rep0218,0,3,0.4025,0.3475,0.345,0.4025,0.3525,0.3375
neutral/rep0219,0,1,0.4,0.3325,0.32,0.4,0.3325,0.32
neutral/rep0220,0,0,0.0,0.0,0.0,0.0,0.0,0.0
neutral/rep0221,0,0,0.4325,0.425,0.415,0.435,0.415,0.3875
neutral/rep0222,0,2,0.41,0.4,0.3775,0.41,0.4025,0.4
neutral/rep0223,0,4,0.26,0.2525,0.2075,0.26,0.2525,0.245
neutral/rep0224,0,3,0.3375,0.33,0.23,0.3375,0.3375,0.2525
neutral/rep0225,0,4,0.3325,0.25,0.2475,0.3425,0.2725,0.245
neutral/rep0226,0,2,0.4475,0.3625,0.2875,0.4475,0.4475,0.3625
neutral/rep0227,0,3,0.5175,0.51,0.435,0.6475,0.485,0.4825
neutral/rep0228,0,3,0.4175,0.415,0.4,0.4275,0.4175,0.415
neutral/rep0229,0,2,0.465,0.465,0.435,0.4675,0.465,0.465
neutral/rep0230,0,0,0.215,0.18,0.16,0.245,0.215,0.165
neutral/rep0231,0,2,0.23,0.2175,0.14,0.23,0.1825,0.1425
neutral/rep0232,0,0,0.2225,0.215,0.2125,0.2225,0.22,0.215
neutral/rep0233,0,1,0.3175,0.305,0.2925,0.3225,0.3175,0.305
neutral/rep0234,0,2,0.36,0.335,0.29,0.3625,0.3375,0.335
neutral/rep0235,0,2,0.4675,0.4425,0.44,0.4675,0.4675,0.44
neutral/rep0236,0,2,0.2375,0.2275,0.2175,0.2475,0.235,0.23
neutral/rep0237,0,4,0.495,0.4325,0.4125,0.55,0.495,0.4325
neutral/rep0238,0,0,0.0,0.0,0.0,0.0,0.0,0.0
neutral/rep0239,0,2,0.425,0.3925,0.3825,0.4325,0.4275,0.3725
neutral/rep0240,0,2,0.8725,0.8475,0.8425,0.8725,0.8725,0.8475
neutral/rep0241,0,4,0.0575,0.0575,0.035,0.0575,0.03,0.0275
neutral/rep0242,0,1,0.25,0.2425,0.2275,0.27,0.2425,0.235
neutral/rep0243,0,1,0.6575,0.6325,0.6275,0.6575,0.635,0.6325
neutral/rep0244,0,1,0.525,0.5075,0.5075,0.525,0.4975,0.415
neutral/rep0245,0,1,0.5125,0.47,0.465,0.5125,0.49,0.47
neutral/rep0246,0,1,0.3625,0.3325,0.32,0.37,0.3475,0.3225
neutral/rep0247,0,2,0.3625,0.27,0.27,0.3625,0.27,0.26
neutral/rep0248,0,2,0.33,0.325,0.295,0.33,0.325,0.305
neutral/rep0249,0,0,0.2225,0.2125,0.2125,0.2225,0.22,0.215
neutral/rep0250,0,0,0.395,0.3925,0.335,0.475,0.3925,0.39
neutral/rep0251,0,3,0.26,0.24,0.2275,0.2625,0.24,0.2375
neutral/rep0252,0,1,0.3025,0.2975,0.2975,0.3025,0.2975,0.2975
neutral/rep0253,0,0,0.62,0.615,0.595,0.635,0.62,0.62
neutral/rep0254,0,2,0.17,0.1625,0.09,0.17,0.16,0.0925
neutral/rep0255,0,3,0.395,0.385,0.325,0.395,0.385,0.34
neutral/rep0256,0,4,0.1475,0.1425,0.12,0.1525,0.1475,0.145
neutral/rep0257,0,3,0.55,0.5275,0.3875,0.55,0.44,0.42
neutral/rep0258,0,3,0.35,0.325,0.3125,0.35,0.33,0.32
neutral/rep0259,0,3,0.2675,0.2425,0.2425,0.2675,0.2575,0.25
neutral/rep0260,0,1,0.1225,0.115,0.0875,0.1225,0.115,0.0875
neutral/rep0261,0,0,0.5925,0.555,0.5425,0.5975,0.5925,0.5625
neutral/rep0262,0,3,0.2975,0.2925,0.2925,0.2975,0.2975,0.2975
neutral/rep0263,0,0,0.26,0.255,0.09,0.265,0.26,0.2575
neutral/rep0264,0,0,0.335,0.2075,0.195,0.335,0.2075,0.2075
neutral/rep0265,0,0,0.1825,0.17,0.16,0.1825,0.17,0.17
neutral/rep0266,0,1,0.4875,0.4475,0.42,0.4875,0.43,0.43
neutral/rep0267,0,2,0.3125,0.22,0.205,0.3125,0.215,0.2075
neutral/rep0268,0,1,0.2875,0.2825,0.265,0.2875,0.275,0.265
neutral/rep0269,0,1,0.24,0.225,0.225,0.2525,0.24,0.235
neutral/rep0270,0,1,0.575,0.5575,0.4825,0.575,0.575,0.5575
neutral/rep0271,0,1,0.3125,0.2375,0.1925,0.3125,0.2375,0.1925
neutral/rep0272,0,1,0.4975,0.4,0.3225,0.4975,0.4025,0.3875
neutral/rep0273,0,4,0.465,0.4275,0.425,0.465,0.43,0.4275
neutral/rep0274,0,4,0.335,0.33,0.2625,0.35,0.33,0.2675
neutral/rep0275,0,0,0.6675,0.655,0.6475,0.6675,0.66,0.655
neutral/rep0276,0,0,0.335,0.3125,0.22,0.335,0.335,0.315
neutral/rep0277,0,0,0.3825,0.38,0.3775,0.3975,0.3825,0.3775
neutral/rep0278,0,2,0.3475,0.32,0.2775,0.3525,0.3275,0.305
neutral/rep0279,0,4,0.3825,0.3575,0.2525,0.3925,0.3825,0.3575
neutral/rep0280,0,2,0.3025,0.28,0.2525,0.3025,0.285,0.28
neutral/rep0281,0,1,0.265,0.265,0.26,0.2725,0.265,0.265
neutral/rep0282,0,2,0.43,0.4275,0.335,0.43,0.3375,0.1175
neutral/rep0283,0,1,0.4325,0.4275,0.4225,0.445,0.4275,0.4225
neutral/rep0284,0,0,0.35,0.3225,0.3075,0.385,0.35,0.3375
neutral/rep0285,0,4,0.2825,0.275,0.275,0.2825,0.2825,0.2775
neutral/rep0286,0,3,0.0,0.0,0.0,0.0,0.0,0.0
neutral/rep0287,0,1,0.4475,0.435,0.425,0.4625,0.445,0.44
neutral/rep0288,0,2,0.39,0.38,0.3775,0.3925,0.39,0.38
neutral/rep0289,0,1,0.4375,0.395,0.385,0.4375,0.4,0.395
neutral/rep0290,0,1,0.25,0.2425,0.2175,0.25,0.2425,0.2275
neutral/rep0291,0,2,0.165,0.135,0.1,0.185,0.165,0.0075
neutral/rep0292,0,2,0.2675,0.2525,0.25,0.275,0.265,0.25
neutral/rep0293,0,0,0.3725,0.3675,0.3475,0.3775,0.3725,0.3475
neutral/rep0294,0,4,0.515,0.4275,0.3875,0.515,0.4275,0.3875
neutral/rep0295,0,0,0.33,0.3275,0.2325,0.33,0.3275,0.2425
neutral/rep0296,0,2,0.2225,0.205,0.205,0.2225,0.21,0.21
neutral/rep0297,0,0,0.3325,0.3125,0.305,0.3325,0.3125,0.3075
neutral/rep0298,0,1,0.165,0.1525,0.1525,0.165,0.1525,0.1525
neutral/rep0299,0,0,0.3725,0.3675,0.295,0.3725,0.36,0.36
neutral/rep0300,0,2,0.3725,0.3675,0.23,0.3725,0.37,0.22
neutral/rep0301,0,1,0.0675,0.065,0.0625,0.07,0.065,0.0625
neutral/rep0302,0,2,0.245,0.2425,0.24,0.245,0.2425,0.2425
neutral/rep0303,0,4,0.5175,0.47,0.4675,0.5175,0.4925,0.47
neutral/rep0304,0,3,0.545,0.52,0.5075,0.58,0.565,0.515
neutral/rep0305,0,3,0.3825,0.3725,0.365,0.385,0.3825,0.365
neutral/rep0306,0,0,0.6525,0.645,0.6025,0.6525,0.6475,0.6375
neutral/rep0307,0,3,0.4825,0.46,0.4525,0.5075,0.4825,0.4625
neutral/rep0308,0,3,0.125,0.1175,0.115,0.1275,0.1275,0.125
neutral/rep0309,0,0,0.775,0.735,0.7325,0.795,0.775,0.7325
neutral/rep0310,0,0,0.215,0.215,0.21,0.2175,0.215,0.21
neutral/rep0311,0,4,0.525,0.4875,0.47,0.5275,0.525,0.4875
neutral/rep0312,0,3,0.48,0.45,0.425,0.48,0.4725,0.4175
neutral/rep0313,0,1,0.1875,0.1825,0.14,0.2,0.1875,0.1825
neutral/rep0314,0,1,0.3925,0.3275,0.32,0.3925,0.33,0.33
neutral/rep0315,0,1,0.3225,0.265,0.225,0.3325,0.3225,0.225
neutral/rep0316,0,0,0.225,0.1975,0.1525,0.225,0.155,0.155
neutral/rep0317,0,2,0.515,0.51,0.48,0.52,0.515,0.51
neutral/rep0318,0,0,0.025,0.025,0.025,0.025,0.025,0.025
neutral/rep0319,0,1,0.21,0.2,0.185,0.22,0.2,0.2
neutral/rep0320,0,2,0.2775,0.1675,0.1675,0.2775,0.205,0.175
neutral/rep0321,0,4,0.37,0.28,0.2325,0.3775,0.2975,0.28
neutral/rep0322,0,1,0.45,0.45,0.375,0.45,0.445,0.445
neutral/rep0323,0,1,0.39,0.375,0.375,0.39,0.375,0.375
neutral/rep0324,0,0,0.37,0.3675,0.3425,0.37,0.3675,0.3625
neutral/rep0325,0,2,0.31,0.3075,0.25,0.31,0.31,0.2525
neutral/rep0326,0,1,0.24,0.17,0.17,0.24,0.195,0.18
neutral/rep0327,0,3,0.49,0.4775,0.4725,0.49,0.4825,0.48
neutral/rep0328,0,0,0.595,0.5625,0.5425,0.595,0.595,0.4225
neutral/rep0329,0,2,0.295,0.26,0.245,0.3025,0.295,0.26
neutral/rep0330,0,1,0.4275,0.42,0.41,0.45,0.4275,0.41
neutral/rep0331,0,3,0.6025,0.4825,0.4825,0.6025,0.6025,0.49
neutral/rep0332,0,1,0.07,0.0675,0.0675,0.07,0.0675,0.0
neutral/rep0333,0,2,0.455,0.425,0.415,0.46,0.455,0.4125
neutral/rep0334,0,3,0.3725,0.3675,0.345,0.3725,0.3675,0.345
neutral/rep0335,0,2,0.625,0.5575,0.5575,0.625,0.56,0.56
neutral/rep0336,0,2,0.4475,0.38,0.3275,0.4475,0.3825,0.38
neutral/rep0337,0,2,0.2725,0.255,0.25,0.2725,0.27,0.2625
neutral/rep0338,0,4,0.28,0.2625,0.215,0.28,0.21,0.2025
neutral/rep0339,0,2,0.585,0.58,0.5125,0.59,0.59,0.5875
neutral/rep0340,0,0,0.205,0.155,0.1375,0.205,0.2,0.1525
neutral/rep0341,0,2,0.27,0.26,0.26,0.27,0.2625,0.26
neutral/rep0342,0,2,0.4,0.3875,0.3825,0.4,0.3875,0.3875
neutral/rep0343,0,1,0.6925,0.635,0.5375,0.6925,0.69,0.6575
neutral/rep0344,0,0,0.245,0.2325,0.23,0.245,0.23,0.23
neutral/rep0345,0,4,0.3875,0.3225,0.3225,0.3875,0.3225,0.3225
neutral/rep0346,0,2,0.07,0.07,0.0,0.07,0.0,0.0
neutral/rep0347,0,1,0.3225,0.285,0.2725,0.3275,0.3,0.285
neutral/rep0348,0,2,0.025,0.02,0.015,0.025,0.025,0.02
neutral/rep0349,0,1,0.255,0.175,0.16,0.2975,0.2575,0.175
neutral/rep0350,0,3,0.4425,0.4125,0.4125,0.445,0.4425,0.415
neutral/rep0351,0,3,0.54,0.4975,0.4975,0.5425,0.54,0.5
neutral/rep0352,0,2,0.26,0.2525,0.1975,0.28,0.255,0.1975
neutral/rep0353,0,3,0.4325,0.42,0.39,0.4325,0.4325,0.42
neutral/rep0354,0,2,0.395,0.3375,0.3325,0.4025,0.395,0.335
neutral/rep0355,0,4,0.45,0.43,0.43,0.4575,0.45,0.445
neutral/rep0356,0,4,0.34,0.34,0.335,0.34,0.34,0.335
neutral/rep0357,0,4,0.735,0.68,0.68,0.74,0.735,0.68
neutral/rep0358,0,4,0.4025,0.3725,0.355,0.5025,0.4025,0.35
neutral/rep0359,0,0,0.3975,0.395,0.3075,0.405,0.395,0.335
neutral/rep0360,0,3,0.45,0.43,0.43,0.4925,0.45,0.435
neutral/rep0361,0,4,0.555,0.5175,0.4725,0.555,0.53,0.4775
neutral/rep0362,0,2,0.3925,0.39,0.3725,0.3925,0.385,0.24
neutral/rep0363,0,3,0.18,0.18,0.1725,0.18,0.18,0.18
neutral/rep0364,0,0,0.38,0.375,0.3525,0.3825,0.38,0.375
neutral/rep0365,0,2,0.565,0.455,0.4475,0.565,0.465,0.465
neutral/rep0366,0,3,0.415,0.4,0.4,0.4225,0.4025,0.4
neutral/rep0367,0,1,0.3,0.295,0.28,0.3125,0.3,0.28
neutral/rep0368,0,2,0.4575,0.355,0.335,0.4625,0.355,0.335
neutral/rep0369,0,1,0.4125,0.3675,0.355,0.4125,0.37,0.355
neutral/rep0370,0,2,0.29,0.28,0.27,0.2925,0.2875,0.28
neutral/rep0371,0,3,0.4075,0.395,0.285,0.4075,0.395,0.285
neutral/rep0372,0,4,0.24,0.2325,0.2225,0.24,0.24,0.2275
neutral/rep0373,0,0,0.1675,0.1675,0.1675,0.1675,0.1675,0.1675
neutral/rep0374,0,2,0.18,0.175,0.16,0.18,0.175,0.1675
neutral/rep0375,0,2,0.3025,0.1875,0.1825,0.3025,0.1975,0.1825
neutral/rep0376,0,1,0.45,0.4375,0.3775,0.465,0.3675,0.3625
neutral/rep0377,0,3,0.165,0.155,0.155,0.165,0.1575,0.1575
neutral/rep0378,0,3,0.275,0.225,0.225,0.275,0.2475,0.2275
neutral/rep0379,0,2,0.515,0.495,0.4725,0.52,0.5175,0.4775
