census_af	genotype_class	n_pairs	median_tmrca_generations	p_lt_30ky
0.644116282665842	hom_noncarrier	12	9240.0	0.08333333333333333
0.9447580021648369	hom_carrier	87	1045.0	0.42528735632183906
0.9447580021648369	het	13	31684.894874062742	0.0
0.5882557600123705	hom_carrier	30	725.0	1.0
0.5882557600123705	het	51	21793.048486134936	0.0
0.5882557600123705	hom_noncarrier	19	17315.0	0.10526315789473684
0.5456548631513839	hom_carrier	20	750.0	0.7
0.5456548631513839	het	57	27122.077389040853	0.0
0.5456548631513839	hom_noncarrier	23	2500.0	0.13043478260869565
0.6961883408071748	hom_carrier	54	830.0	1.0
0.6961883408071748	het	39	34904.35608494992	0.0
0.6961883408071748	hom_noncarrier	7	1650.0	0.0
0.49145662594711614	hom_carrier	25	700.0	0.76
0.49145662594711614	het	48	20044.73430640314	0.0
0.49145662594711614	hom_noncarrier	27	9090.0	0.1111111111111111
0.6042214318849544	hom_carrier	39	1005.0	0.8461538461538461
0.6042214318849544	het	46	21560.963718744933	0.0
0.6042214318849544	hom_noncarrier	15	4050.0	0.13333333333333333
0.6789469614968301	hom_carrier	56	805.0	1.0
0.6789469614968301	het	36	36628.52889036177	0.0
0.6789469614968301	hom_noncarrier	8	1720.0	0.0
0.40934745631668473	hom_carrier	16	740.0	1.0
0.40934745631668473	het	50	37788.58158848519	0.0
0.40934745631668473	hom_noncarrier	34	10557.5	0.17647058823529413
0.573913715787846	hom_carrier	30	790.0	1.0
0.573913715787846	het	52	21168.35089147342	0.0
0.573913715787846	hom_noncarrier	18	14404.17544573671	0.16666666666666666
0.5273310654089995	hom_carrier	37	755.0	1.0
0.5273310654089995	het	40	22728.307657349313	0.0
0.5273310654089995	hom_noncarrier	23	2610.0	0.08695652173913043
0.7453997216638317	hom_carrier	57	860.0	1.0
0.7453997216638317	het	38	20978.619100567277	0.0
0.7453997216638317	hom_noncarrier	5	13775.0	0.0
0.8253053966290398	hom_carrier	67	1080.0	0.4626865671641791
0.8253053966290398	het	32	23287.403560173792	0.0
0.8253053966290398	hom_noncarrier	1	3150.0	0.0
0.5152311736508427	hom_carrier	24	800.0	1.0
0.5152311736508427	het	54	19967.277733992178	0.0
0.5152311736508427	hom_noncarrier	22	13365.0	0.045454545454545456
0.931227771764342	hom_carrier	84	1110.0	0.23809523809523808
0.931227771764342	het	16	20827.612564789546	0.0
0.8083732797278491	hom_carrier	71	850.0	0.9577464788732394
0.8083732797278491	het	25	30441.07873155191	0.0
0.8083732797278491	hom_noncarrier	4	8165.0	0.0
0.443211690119066	hom_carrier	21	675.0	0.5714285714285714
0.443211690119066	het	45	22818.953059692212	0.0
0.443211690119066	hom_noncarrier	34	1607.5	0.11764705882352941
0.7173728158342354	hom_carrier	60	810.0	1.0
0.7173728158342354	het	37	25977.71740301822	0.0
0.7173728158342354	hom_noncarrier	3	1370.0	0.0
0.9643575073449823	hom_carrier	92	1447.5	0.11956521739130435
0.9643575073449823	het	8	25979.228206873104	0.0
0.6289237668161435	hom_carrier	42	797.5	1.0
0.6289237668161435	het	43	22790.356942490896	0.0
0.6289237668161435	hom_noncarrier	15	2335.0	0.13333333333333333
0.502280810267512	hom_carrier	27	655.0	0.6296296296296297
0.502280810267512	het	54	26887.201890274868	0.0
0.502280810267512	hom_noncarrier	19	9360.0	0.15789473684210525
0.2314055976496057	hom_carrier	5	730.0	1.0
0.2314055976496057	het	42	22296.06338509937	0.0
0.2314055976496057	hom_noncarrier	53	13180.0	0.09433962264150944
0.6752744703881243	hom_carrier	43	920.0	1.0
0.6752744703881243	het	43	22063.63869372164	0.0
0.6752744703881243	hom_noncarrier	14	1530.0	0.14285714285714285
0.19823720426782124	het	36	29498.838684282236	0.0
0.19823720426782124	hom_noncarrier	64	14395.0	0.078125
0.938495438379465	hom_carrier	93	1060.0	0.27956989247311825
0.938495438379465	het	7	23926.31350039414	0.0
0.942786454306479	hom_carrier	94	1075.0	0.40425531914893614
0.942786454306479	het	6	22599.378144190607	0.0
0.6109865470852018	hom_carrier	37	790.0	1.0
0.6109865470852018	het	51	20607.595548615154	0.0
0.6109865470852018	hom_noncarrier	12	13575.0	0.0
0.8714628111952992	hom_carrier	73	1095.0	0.4520547945205479
