metric,min_strides,alpha,cutoff_years,half_width_bp,s,n,detected,detection,fdr_mean,f1_mean,recall_mean,fp_mean,calls_mean,no_calls,tp_total,fp_total,fn_total,fdp_pooled,f1_pooled,fdp_ci_low,fdp_ci_high,f1_ci_low,f1_ci_high
peak,1,0.01,20000,50000,0.007,100,70,0.7,0.7260634920634921,0.340079365079365,0.7,2.74,3.44,3,70,274,30,0.7965116279069767,0.3153153153153153,0.6721344246031745,0.7753309523809523,0.2851718253968254,0.3915027777777777
peak,1,0.01,20000,50000,0.008,100,82,0.82,0.6793686868686869,0.39026334776334776,0.82,3.31,4.13,3,82,331,18,0.801452784503632,0.31968810916179335,0.6189840999278499,0.734744282106782,0.3364008477633478,0.4482033369408368
peak,1,0.01,20000,50000,0.009,100,80,0.8,0.6973809523809525,0.38073088023088025,0.8,2.78,3.58,3,80,278,20,0.776536312849162,0.34934497816593885,0.6447955357142857,0.746811011904762,0.3296614177489178,0.4306456349206349
peak,1,0.01,20000,50000,0.01,100,72,0.72,0.6837063492063491,0.3478181818181818,0.72,2.84,3.56,6,72,284,28,0.797752808988764,0.3157894736842105,0.6203771825396825,0.7453496031746031,0.2903017857142857,0.4071598484848483
peak,1,0.01,20000,100000,0.001,100,1,0.01,0.80875,0.0022222222222222222,0.01,2.01,2.02,19,1,201,99,0.995049504950495,0.006622516556291391,0.73,0.87875,0.0,0.006666666666666666
peak,1,0.01,20000,100000,0.002,100,4,0.04,0.8508333333333334,0.024,0.04,2.04,2.08,13,4,204,96,0.9807692307692307,0.025974025974025976,0.7808333333333334,0.9141666666666666,0.004,0.05
peak,1,0.01,20000,100000,0.003,100,16,0.16,0.8256666666666667,0.08585714285714285,0.16,2.34,2.5,11,16,234,84,0.936,0.09142857142857143,0.7533291666666667,0.8866708333333334,0.04523214285714286,0.13300476190476185
peak,1,0.01,20000,100000,0.004,100,32,0.32,0.7880075757575757,0.15223809523809523,0.32,2.5,2.82,10,32,250,68,0.8865248226950354,0.16753926701570682,0.7209126893939394,0.8530253787878789,0.10353293650793652,0.206497619047619
peak,1,0.01,20000,100000,0.005,100,50,0.5,0.6705198412698412,0.2609603174603174,0.5,2.31,2.81,13,50,231,50,0.8220640569395018,0.26246719160104987,0.5927871031746031,0.7412003968253967,0.2042791666666666,0.32372321428571427
peak,1,0.01,20000,100000,0.006,100,64,0.64,0.7236984126984127,0.3249365079365079,0.64,2.31,2.95,4,64,231,36,0.7830508474576271,0.3240506329113924,0.6654553571428572,0.7798186507936508,0.2688363095238095,0.3830289682539682
peak,1,0.01,20000,100000,0.007,100,73,0.73,0.7164801587301588,0.3539682539682538,0.73,2.71,3.44,3,73,271,27,0.7877906976744186,0.32882882882882886,0.6638198412698414,0.7674531746031745,0.30329186507936506,0.4113579365079365
peak,1,0.01,20000,100000,0.008,100,83,0.83,0.6779401154401153,0.39276334776334776,0.83,3.3,4.13,3,83,330,17,0.7990314769975787,0.3235867446393762,0.6164985119047618,0.7340517225829727,0.3378008477633478,0.4505833513708513
peak,1,0.01,20000,100000,0.009,100,83,0.83,0.6873809523809524,0.39539754689754686,0.83,2.75,3.58,3,83,275,17,0.7681564245810056,0.3624454148471616,0.6342360119047618,0.7364017857142857,0.34518167388167387,0.4466581709956709
peak,1,0.01,20000,100000,0.01,100,76,0.76,0.6727063492063492,0.36448484848484847,0.76,2.8,3.56,6,76,280,24,0.7865168539325843,0.3333333333333333,0.6117646825396825,0.7330767857142856,0.3111099567099567,0.41969702380952373
peak,1,0.01,20000,250000,0.001,100,4,0.04,0.78625,0.026222222222222223,0.04,1.98,2.02,19,4,198,96,0.9801980198019802,0.026490066225165563,0.705,0.86,0.0022222222222222222,0.05888888888888889
peak,1,0.01,20000,250000,0.002,100,10,0.1,0.8225000000000001,0.06033333333333333,0.1,1.98,2.08,13,10,198,90,0.9519230769230769,0.06493506493506493,0.7525,0.8891666666666665,0.02499166666666667,0.10066666666666667
peak,1,0.01,20000,250000,0.003,100,21,0.21,0.799,0.1191904761904762,0.21,2.29,2.5,11,21,229,79,0.916,0.12,0.7273125,0.8648458333333333,0.07223333333333332,0.16957142857142857
peak,1,0.01,20000,250000,0.004,100,36,0.36,0.7723825757575757,0.17127170868347336,0.36,2.46,2.82,10,36,246,64,0.8723404255319149,0.18848167539267016,0.7027052083333333,0.8365418560606062,0.12092387955182073,0.22541769374416432
peak,1,0.01,20000,250000,0.005,100,53,0.53,0.6555198412698414,0.27881746031746024,0.53,2.28,2.81,13,53,228,47,0.8113879003558719,0.2782152230971129,0.5811043650793651,0.7261610119047619,0.21745436507936505,0.3435740079365079
peak,1,0.01,20000,250000,0.006,100,69,0.69,0.6936984126984127,0.3616031746031746,0.69,2.26,2.95,4,69,226,31,0.7661016949152543,0.3493670886075949,0.6374315476190475,0.751388492063492,0.30087698412698405,0.4215216269841268
peak,1,0.01,20000,250000,0.007,100,75,0.75,0.709813492063492,0.36396825396825383,0.75,2.69,3.44,3,75,269,25,0.7819767441860465,0.33783783783783783,0.6568635912698414,0.7596216269841269,0.3103277777777778,0.4162700396825397
peak,1,0.01,20000,250000,0.008,100,85,0.85,0.672606782106782,0.40109668109668106,0.85,3.28,4.13,3,85,328,15,0.7941888619854721,0.3313840155945419,0.6154321248196248,0.7298736020923521,0.3464828282828282,0.45528704906204903
peak,1,0.01,20000,250000,0.009,100,87,0.87,0.6687142857142858,0.41825468975468977,0.87,2.71,3.58,3,87,271,13,0.7569832402234636,0.3799126637554585,0.6154050595238094,0.7185035714285714,0.3697827200577201,0.46995907287157285
peak,1,0.01,20000,250000,0.01,100,79,0.79,0.6652063492063491,0.3764848484848485,0.79,2.77,3.56,6,79,277,21,0.7780898876404494,0.34649122807017546,0.6026730158730158,0.7243448412698413,0.3217685606060606,0.4315852272727273
peak,1,0.01,20000,500000,0.001,100,16,0.16,0.7268333333333332,0.09911111111111111,0.16,1.86,2.02,19,16,186,84,0.9207920792079208,0.10596026490066225,0.6388333333333334,0.8080020833333335,0.05243055555555556,0.15389166666666665
peak,1,0.01,20000,500000,0.002,100,19,0.19,0.7813333333333334,0.11233333333333334,0.19,1.89,2.08,13,19,189,81,0.9086538461538461,0.12337662337662338,0.706325,0.8508666666666665,0.06565833333333333,0.16666666666666663
peak,1,0.01,20000,500000,0.003,100,30,0.3,0.7728333333333333,0.15938095238095237,0.3,2.2,2.5,11,30,220,70,0.88,0.17142857142857143,0.7046666666666667,0.8365083333333332,0.10884999999999999,0.21139642857142846
peak,1,0.01,20000,500000,0.004,100,41,0.41,0.7440492424242424,0.20427170868347336,0.41,2.41,2.82,10,41,241,59,0.8546099290780141,0.21465968586387435,0.6737358901515151,0.815175,0.1500667366946779,0.2648777544351073
peak,1,0.01,20000,500000,0.005,100,56,0.56,0.6388531746031746,0.29881746031746026,0.56,2.25,2.81,13,56,225,44,0.800711743772242,0.29396325459317585,0.5644290674603174,0.7099790674603175,0.23569960317460315,0.3649347222222221
peak,1,0.01,20000,500000,0.006,100,72,0.72,0.6686984126984128,0.3882698412698412,0.72,2.23,2.95,4,72,223,28,0.7559322033898305,0.36455696202531646,0.6066728174603174,0.7247824404761904,0.3315537698412698,0.4482212301587301
peak,1,0.01,20000,500000,0.007,100,76,0.76,0.704813492063492,0.37063492063492054,0.76,2.68,3.44,3,76,268,24,0.7790697674418605,0.34234234234234234,0.6528659722222222,0.7549288690476189,0.3170547619047619,0.4246152777777778
