arm_id	mode	unit_id	replicate_index	genotype_class	n_pairs	threshold_years	threshold_generations	p_tmrca_lt_threshold	mean_tmrca_generations	median_tmrca_generations	seed
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep040	40	het	0	1000.0	40.0				31260859
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep040	40	het	0	4500.0	180.0				31260859
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep040	40	het	0	10000.0	400.0				31260859
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep040	40	het	0	20000.0	800.0				31260859
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep040	40	het	0	30000.0	1200.0				31260859
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep040	40	het	0	40000.0	1600.0				31260859
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep040	40	het	0	50000.0	2000.0				31260859
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep040	40	hom_carrier	0	1000.0	40.0				31260859
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep040	40	hom_carrier	0	4500.0	180.0				31260859
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep040	40	hom_carrier	0	10000.0	400.0				31260859
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep040	40	hom_carrier	0	20000.0	800.0				31260859
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep040	40	hom_carrier	0	30000.0	1200.0				31260859
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep040	40	hom_carrier	0	40000.0	1600.0				31260859
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep040	40	hom_carrier	0	50000.0	2000.0				31260859
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep040	40	hom_noncarrier	100	1000.0	40.0	0.0	26195.03597379032	40506.362914426514	31260859
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep040	40	hom_noncarrier	100	4500.0	180.0	0.0	26195.03597379032	40506.362914426514	31260859
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep040	40	hom_noncarrier	100	10000.0	400.0	0.03	26195.03597379032	40506.362914426514	31260859
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep040	40	hom_noncarrier	100	20000.0	800.0	0.05	26195.03597379032	40506.362914426514	31260859
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep040	40	hom_noncarrier	100	30000.0	1200.0	0.05	26195.03597379032	40506.362914426514	31260859
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep040	40	hom_noncarrier	100	40000.0	1600.0	0.08	26195.03597379032	40506.362914426514	31260859
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep040	40	hom_noncarrier	100	50000.0	2000.0	0.09	26195.03597379032	40506.362914426514	31260859
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep040	40	overall	100	1000.0	40.0	0.0	26195.03597379032	40506.362914426514	31260859
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep040	40	overall	100	4500.0	180.0	0.0	26195.03597379032	40506.362914426514	31260859
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep040	40	overall	100	10000.0	400.0	0.03	26195.03597379032	40506.362914426514	31260859
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep040	40	overall	100	20000.0	800.0	0.05	26195.03597379032	40506.362914426514	31260859
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep040	40	overall	100	30000.0	1200.0	0.05	26195.03597379032	40506.362914426514	31260859
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep040	40	overall	100	40000.0	1600.0	0.08	26195.03597379032	40506.362914426514	31260859
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep040	40	overall	100	50000.0	2000.0	0.09	26195.03597379032	40506.362914426514	31260859
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep041	41	het	0	1000.0	40.0				31260860
