source,method,alpha,s,selected_regions,selected_called,power,neutral_positions,neutral_called,positional_fpr
truth,mass_20000,0.01,0.001,100,21,0.21,1000,9,0.009
truth,mass_20000,0.01,0.002,100,39,0.39,1000,9,0.009
truth,mass_20000,0.01,0.003,100,66,0.66,1000,9,0.009
truth,mass_20000,0.01,0.004,100,83,0.83,1000,9,0.009
truth,mass_20000,0.01,0.005,100,100,1.0,1000,9,0.009
truth,mass_20000,0.01,0.006,100,95,0.95,1000,9,0.009
truth,mass_20000,0.01,0.007,100,99,0.99,1000,9,0.009
truth,mass_20000,0.01,0.008,100,98,0.98,1000,9,0.009
truth,mass_20000,0.01,0.009,100,100,1.0,1000,9,0.009
truth,mass_20000,0.01,0.01,100,100,1.0,1000,9,0.009
truth,mass_20000,0.05,0.001,100,54,0.54,1000,51,0.051
truth,mass_20000,0.05,0.002,100,73,0.73,1000,51,0.051
truth,mass_20000,0.05,0.003,100,85,0.85,1000,51,0.051
truth,mass_20000,0.05,0.004,100,95,0.95,1000,51,0.051
truth,mass_20000,0.05,0.005,100,100,1.0,1000,51,0.051
truth,mass_20000,0.05,0.006,100,99,0.99,1000,51,0.051
truth,mass_20000,0.05,0.007,100,100,1.0,1000,51,0.051
truth,mass_20000,0.05,0.008,100,99,0.99,1000,51,0.051
truth,mass_20000,0.05,0.009,100,100,1.0,1000,51,0.051
truth,mass_20000,0.05,0.01,100,100,1.0,1000,51,0.051
truth,mass_30000,0.01,0.001,100,22,0.22,1000,11,0.011
truth,mass_30000,0.01,0.002,100,41,0.41,1000,11,0.011
truth,mass_30000,0.01,0.003,100,69,0.69,1000,11,0.011
truth,mass_30000,0.01,0.004,100,86,0.86,1000,11,0.011
truth,mass_30000,0.01,0.005,100,99,0.99,1000,11,0.011
truth,mass_30000,0.01,0.006,100,93,0.93,1000,11,0.011
truth,mass_30000,0.01,0.007,100,98,0.98,1000,11,0.011
truth,mass_30000,0.01,0.008,100,98,0.98,1000,11,0.011
truth,mass_30000,0.01,0.009,100,100,1.0,1000,11,0.011
truth,mass_30000,0.01,0.01,100,100,1.0,1000,11,0.011
truth,mass_30000,0.05,0.001,100,48,0.48,1000,50,0.05
truth,mass_30000,0.05,0.002,100,71,0.71,1000,50,0.05
truth,mass_30000,0.05,0.003,100,82,0.82,1000,50,0.05
truth,mass_30000,0.05,0.004,100,96,0.96,1000,50,0.05
truth,mass_30000,0.05,0.005,100,100,1.0,1000,50,0.05
truth,mass_30000,0.05,0.006,100,99,0.99,1000,50,0.05
truth,mass_30000,0.05,0.007,100,100,1.0,1000,50,0.05
truth,mass_30000,0.05,0.008,100,98,0.98,1000,50,0.05
truth,mass_30000,0.05,0.009,100,100,1.0,1000,50,0.05
truth,mass_30000,0.05,0.01,100,100,1.0,1000,50,0.05
truth,mass_40000,0.01,0.001,100,16,0.16,1000,8,0.008
truth,mass_40000,0.01,0.002,100,38,0.38,1000,8,0.008
truth,mass_40000,0.01,0.003,100,63,0.63,1000,8,0.008
truth,mass_40000,0.01,0.004,100,80,0.8,1000,8,0.008
truth,mass_40000,0.01,0.005,100,99,0.99,1000,8,0.008
truth,mass_40000,0.01,0.006,100,93,0.93,1000,8,0.008
truth,mass_40000,0.01,0.007,100,98,0.98,1000,8,0.008
truth,mass_40000,0.01,0.008,100,98,0.98,1000,8,0.008
truth,mass_40000,0.01,0.009,100,100,1.0,1000,8,0.008
truth,mass_40000,0.01,0.01,100,100,1.0,1000,8,0.008
truth,mass_40000,0.05,0.001,100,47,0.47,1000,51,0.051
truth,mass_40000,0.05,0.002,100,69,0.69,1000,51,0.051
truth,mass_40000,0.05,0.003,100,79,0.79,1000,51,0.051
truth,mass_40000,0.05,0.004,100,93,0.93,1000,51,0.051
truth,mass_40000,0.05,0.005,100,100,1.0,1000,51,0.051
truth,mass_40000,0.05,0.006,100,98,0.98,1000,51,0.051
truth,mass_40000,0.05,0.007,100,98,0.98,1000,51,0.051
truth,mass_40000,0.05,0.008,100,98,0.98,1000,51,0.051
truth,mass_40000,0.05,0.009,100,100,1.0,1000,51,0.051
truth,mass_40000,0.05,0.01,100,100,1.0,1000,51,0.051
truth,mass_5000,0.01,0.001,100,15,0.15,1000,13,0.013
truth,mass_5000,0.01,0.002,100,38,0.38,1000,13,0.013
truth,mass_5000,0.01,0.003,100,57,0.57,1000,13,0.013
truth,mass_5000,0.01,0.004,100,72,0.72,1000,13,0.013
truth,mass_5000,0.01,0.005,100,97,0.97,1000,13,0.013
truth,mass_5000,0.01,0.006,100,91,0.91,1000,13,0.013
truth,mass_5000,0.01,0.007,100,97,0.97,1000,13,0.013
truth,mass_5000,0.01,0.008,100,98,0.98,1000,13,0.013
truth,mass_5000,0.01,0.009,100,100,1.0,1000,13,0.013
truth,mass_5000,0.01,0.01,100,100,1.0,1000,13,0.013
truth,mass_5000,0.05,0.001,100,42,0.42,1000,45,0.045
truth,mass_5000,0.05,0.002,100,58,0.58,1000,45,0.045
truth,mass_5000,0.05,0.003,100,75,0.75,1000,45,0.045
truth,mass_5000,0.05,0.004,100,90,0.9,1000,45,0.045
truth,mass_5000,0.05,0.005,100,100,1.0,1000,45,0.045
truth,mass_5000,0.05,0.006,100,95,0.95,1000,45,0.045
truth,mass_5000,0.05,0.007,100,99,0.99,1000,45,0.045
truth,mass_5000,0.05,0.008,100,99,0.99,1000,45,0.045
truth,mass_5000,0.05,0.009,100,100,1.0,1000,45,0.045
truth,mass_5000,0.05,0.01,100,100,1.0,1000,45,0.045
truth,mass_50000,0.01,0.001,100,17,0.17,1000,9,0.009
truth,mass_50000,0.01,0.002,100,43,0.43,1000,9,0.009
truth,mass_50000,0.01,0.003,100,61,0.61,1000,9,0.009
truth,mass_50000,0.01,0.004,100,80,0.8,1000,9,0.009
truth,mass_50000,0.01,0.005,100,99,0.99,1000,9,0.009
truth,mass_50000,0.01,0.006,100,93,0.93,1000,9,0.009
truth,mass_50000,0.01,0.007,100,98,0.98,1000,9,0.009
truth,mass_50000,0.01,0.008,100,98,0.98,1000,9,0.009
truth,mass_50000,0.01,0.009,100,100,1.0,1000,9,0.009
truth,mass_50000,0.01,0.01,100,100,1.0,1000,9,0.009
truth,mass_50000,0.05,0.001,100,47,0.47,1000,50,0.05
truth,mass_50000,0.05,0.002,100,70,0.7,1000,50,0.05
truth,mass_50000,0.05,0.003,100,79,0.79,1000,50,0.05
truth,mass_50000,0.05,0.004,100,92,0.92,1000,50,0.05
truth,mass_50000,0.05,0.005,100,100,1.0,1000,50,0.05
truth,mass_50000,0.05,0.006,100,98,0.98,1000,50,0.05
truth,mass_50000,0.05,0.007,100,99,0.99,1000,50,0.05
truth,mass_50000,0.05,0.008,100,98,0.98,1000,50,0.05
truth,mass_50000,0.05,0.009,100,100,1.0,1000,50,0.05
truth,mass_50000,0.05,0.01,100,100,1.0,1000,50,0.05
