key,fold,marker_present,marker_position,af,profile_sha256
neutral/rep0126,0,False,,0.0,7b521c4a428778f1e804ad59ad91d2cdae08b1d3f1561682f364ae690b6b9578
neutral/rep0127,2,False,,0.0,1b13c59867b78df2315a947c842351db8459b56afdc6c86410aa448ea9974982
neutral/rep0128,3,False,,0.0,4cb53a2ea4bd6123b23f31d574db590f20518e81fab1f682d91fb3f40fb93f99
neutral/rep0129,2,False,,0.0,fd738f2b518aa203f24bf18bf54288414e8ced22716c58ce3871b729b989b8d3
neutral/rep0130,2,False,,0.0,5abb8ef891800ff29bd20031b75d2e8c8592a628cbed39fc93a474aa252e5e4c
neutral/rep0131,2,False,,0.0,5c50e2b74890b196537d808232f6866825a618ca54de0635299ab4c867063708
neutral/rep0132,2,False,,0.0,30871e820b0607674676e309bafb0633fa82763c6d184d69d6035ededafeb4a6
neutral/rep0133,3,False,,0.0,d00c6d36cf33fe9c9640d3b66598d1c142f0d87c578480b85e85aea7d35ebe83
neutral/rep0134,4,False,,0.0,32aa335250321d8af86c722472d212728f46b78c316c7ea69eeb67a62f1f4d31
neutral/rep0135,2,False,,0.0,d27048b9a99ad32903dd3eab962f8a58416fcb1c396c00425cb317bb6caa3d11
neutral/rep0136,3,True,5000000.0,0.1975,3a13b3d8d6a3b044c5b0585e950103a93328f8397b4bf4e509700febba4847c1
neutral/rep0137,4,True,5002157.0,0.21,d1a7392f26c1085877ff63f9bd96a9856987468a82a884d4cfda2dcd3796193d
neutral/rep0138,2,False,,0.0,7d771da63a077048de7de986a061aa83294d1b3f48346577a2369f32b5625257
neutral/rep0139,3,False,,0.0,7b05ac3a1066ff516b13d117acb820b51678cb4526794a020fbd6cbaa41461de
neutral/rep0140,4,True,5002322.0,0.2825,91371a5d223f3fe32ee24f645bb16e597ca53b4df9068bc14f28acf674de51dc
neutral/rep0141,1,False,,0.0,c0c4941bf8c8192dc151499423719a06d290f216ed3595b214ce527a1c9d12af
neutral/rep0142,1,False,,0.0,0520066920dd6cfe8977cdc8d5902b0ed7442ae0877815ec58368ce874c5c51a
neutral/rep0143,1,True,5002201.0,0.22,595d073d51d0fd8468d1b4928bda7aefa7f733535c37d863c2f86dac50ac288d
neutral/rep0144,4,False,,0.0,a912c1173e644adf4a2787fe60b786e125bf31a89b53121c5a947f9f375ee605
neutral/rep0145,0,False,,0.0,3e97171d44619246dbb1c731cfa329b565ae0ebab862f68c720097f2bcff195a
neutral/rep0146,1,False,,0.0,e8163762b265a94a454e1f46e0faca321aa9cd0ff671528f810aeae4bc92ed2f
neutral/rep0147,1,False,,0.0,a2b95e6c715666181c01f5156a51fa4f5ccc643ed605a65a26f24cab83dd1237
neutral/rep0148,0,False,,0.0,2377f5088635ddc9371bcae5999360cc9add0e6b390a7414de808142be453011
neutral/rep0149,4,True,5002148.0,0.005,d958f616b3f549cd3ee4dd70d7f87c94ecbbfef8971bef8990137f5de8421549
neutral/rep0150,4,False,,0.0,6aa16f66b8237affb697067c4b62decd289fb920bd7f9ed953293562b258d4fe
