key,maximum_af
neutral/rep0677,0.445
neutral/rep0678,0.3925
neutral/rep0679,0.385
neutral/rep0680,0.5825
neutral/rep0681,0.42
neutral/rep0682,0.4325
neutral/rep0683,0.34
neutral/rep0684,0.6425
neutral/rep0685,0.4375
neutral/rep0686,0.8225
neutral/rep0687,0.375
neutral/rep0688,0.5025
neutral/rep0689,0.375
neutral/rep0690,0.2925
neutral/rep0691,0.295
neutral/rep0692,0.4325
neutral/rep0693,0.74
neutral/rep0694,0.265
neutral/rep0695,0.6
neutral/rep0696,0.3975
neutral/rep0697,0.4075
neutral/rep0698,0.3275
neutral/rep0699,0.3025
neutral/rep0700,0.4975
neutral/rep0701,0.61
neutral/rep0702,0.19
neutral/rep0703,0.4975
neutral/rep0704,0.3925
neutral/rep0705,0.47
neutral/rep0706,0.6275
neutral/rep0707,0.2575
neutral/rep0708,0.22
neutral/rep0709,0.5875
neutral/rep0710,0.435
neutral/rep0711,0.1925
neutral/rep0712,0.33
neutral/rep0713,0.4475
neutral/rep0714,0.4
neutral/rep0715,0.275
neutral/rep0716,0.3675
neutral/rep0717,0.2675
neutral/rep0718,0.3825
neutral/rep0719,0.39
neutral/rep0720,0.5825
neutral/rep0721,0.36
neutral/rep0722,0.6725
neutral/rep0723,0.44
neutral/rep0724,0.245
neutral/rep0725,0.415
neutral/rep0726,0.4725
neutral/rep0727,0.39
neutral/rep0728,0.445
neutral/rep0729,0.3625
neutral/rep0730,0.17
neutral/rep0731,0.1025
neutral/rep0732,0.4575
neutral/rep0733,0.2
neutral/rep0734,0.26
neutral/rep0735,0.135
neutral/rep0736,0.555
neutral/rep0737,0.35
neutral/rep0738,0.3275
neutral/rep0739,0.68
neutral/rep0740,0.4625
neutral/rep0741,0.4325
neutral/rep0742,0.275
neutral/rep0743,0.2575
neutral/rep0744,0.61
neutral/rep0745,0.5225
neutral/rep0746,0.32
neutral/rep0747,0.225
neutral/rep0748,0.66
neutral/rep0749,0.3525
neutral/rep0750,0.5275
neutral/rep0751,0.5125
neutral/rep0752,0.315
neutral/rep0753,0.4425
neutral/rep0754,0.305
neutral/rep0755,0.205
neutral/rep0756,0.5025
neutral/rep0757,0.05
neutral/rep0758,0.4525
neutral/rep0759,0.415
neutral/rep0760,0.3775
neutral/rep0761,0.4275
neutral/rep0762,0.2975
neutral/rep0763,0.2025
neutral/rep0764,0.2425
neutral/rep0765,0.3375
neutral/rep0766,0.47
neutral/rep0767,0.4125
neutral/rep0768,0.3675
neutral/rep0769,0.41
neutral/rep0770,0.3225
neutral/rep0771,0.32
neutral/rep0772,0.405
neutral/rep0773,0.31
neutral/rep0774,0.8025
neutral/rep0775,0.39
