replicate	center_fraction_recent	center_n_pairs_recent	center_mean_tmrca_generations	focal_allele_outcome	focal_population_allele_frequency	ancestry_seconds	slim_seconds
79	0.007	14	10339.764705259933	lost	0.0	22.366883303999998	4.131332081000039
80	0.0065	13	33123.69054493765	lost	0.0	24.90692548300001	3.844068055999969
81	0.0055	11	31002.92377544788	lost	0.0	25.028186980999976	3.7029218520000313
82	0.009	18	12537.55031645002	lost	0.0	23.829085768000027	4.194000804999973
83	0.0105	21	35874.57732753545	lost	0.0	20.69106156400005	3.8572828080000363
84	0.007	14	14990.93079625931	lost	0.0	20.976576553999962	4.088746212999979
85	0.006	12	13095.251018990795	lost	0.0	23.99160169999999	4.226943411000036
86	0.005	10	26767.32353274953	lost	0.0	19.739595037000015	3.938223115000028
87	0.007	14	17736.047612864848	lost	0.0	17.905435249999982	4.441677240999979
88	0.0065	13	19010.97672738406	lost	0.0	21.909201399999972	4.047819279000009
89	0.005	10	49457.17606454395	lost	0.0	22.252535978000026	4.458226769000021
90	0.0065	13	19851.43591099503	lost	0.0	22.084539624	4.088686822999989
91	0.0095	19	12975.307813200614	lost	0.0	21.94292273000002	4.155248658000005
92	0.006	12	14455.895245174423	lost	0.0	20.361521761999995	3.8159954520000383
93	0.012	24	15224.074114997562	lost	0.0	21.168714944000044	4.9213290179999944
94	0.0065	13	17547.00948085197	lost	0.0	20.51896832	4.647385686999996
95	0.004	8	24296.40337171738	lost	0.0	18.23016765899996	4.346373815999982
96	0.006	12	11221.992248265547	lost	0.0	19.142473431999974	4.458296096999959
97	0.0045	9	11956.463474989152	lost	0.0	18.484518418999983	4.494546987000035
98	0.01	20	16098.811547166828	lost	0.0	18.666348884	4.341543131000037
99	0.0045	9	30125.498723189314	lost	0.0	17.728252153000028	4.40078385999999
