haplotypes,source,method,cutoff_years,policy,target,mode,n,called,region_call_rate
400,decoded,maximum_standardized_frac_recent,30000,selected_target,0.7,neutral,1000,555,0.555
400,decoded,maximum_standardized_frac_recent,30000,selected_target,0.7,selected,100,69,0.69
400,decoded,maximum_standardized_frac_recent,40000,neutral_target,0.01,neutral,1000,10,0.01
400,decoded,maximum_standardized_frac_recent,40000,neutral_target,0.01,selected,100,4,0.04
400,decoded,maximum_standardized_frac_recent,40000,neutral_target,0.05,neutral,1000,48,0.048
400,decoded,maximum_standardized_frac_recent,40000,neutral_target,0.05,selected,100,14,0.14
400,decoded,maximum_standardized_frac_recent,40000,neutral_target,0.1,neutral,1000,97,0.097
400,decoded,maximum_standardized_frac_recent,40000,neutral_target,0.1,selected,100,22,0.22
400,decoded,maximum_standardized_frac_recent,40000,selected_target,0.7,neutral,1000,555,0.555
400,decoded,maximum_standardized_frac_recent,40000,selected_target,0.7,selected,100,72,0.72
400,decoded,maximum_standardized_frac_recent,50000,neutral_target,0.01,neutral,1000,11,0.011
400,decoded,maximum_standardized_frac_recent,50000,neutral_target,0.01,selected,100,2,0.02
400,decoded,maximum_standardized_frac_recent,50000,neutral_target,0.05,neutral,1000,51,0.051
400,decoded,maximum_standardized_frac_recent,50000,neutral_target,0.05,selected,100,10,0.1
400,decoded,maximum_standardized_frac_recent,50000,neutral_target,0.1,neutral,1000,97,0.097
400,decoded,maximum_standardized_frac_recent,50000,neutral_target,0.1,selected,100,24,0.24
400,decoded,maximum_standardized_frac_recent,50000,selected_target,0.7,neutral,1000,574,0.574
400,decoded,maximum_standardized_frac_recent,50000,selected_target,0.7,selected,100,68,0.68
400,truth,maximum_frac_recent,5000,neutral_target,0.01,neutral,1000,7,0.007
400,truth,maximum_frac_recent,5000,neutral_target,0.01,selected,100,1,0.01
400,truth,maximum_frac_recent,5000,neutral_target,0.05,neutral,1000,34,0.034
400,truth,maximum_frac_recent,5000,neutral_target,0.05,selected,100,1,0.01
400,truth,maximum_frac_recent,5000,neutral_target,0.1,neutral,1000,91,0.091
400,truth,maximum_frac_recent,5000,neutral_target,0.1,selected,100,5,0.05
400,truth,maximum_frac_recent,5000,selected_target,0.7,neutral,1000,847,0.847
400,truth,maximum_frac_recent,5000,selected_target,0.7,selected,100,78,0.78
400,truth,maximum_frac_recent,10000,neutral_target,0.01,neutral,1000,9,0.009
400,truth,maximum_frac_recent,10000,neutral_target,0.01,selected,100,0,0.0
400,truth,maximum_frac_recent,10000,neutral_target,0.05,neutral,1000,43,0.043
400,truth,maximum_frac_recent,10000,neutral_target,0.05,selected,100,2,0.02
400,truth,maximum_frac_recent,10000,neutral_target,0.1,neutral,1000,88,0.088
400,truth,maximum_frac_recent,10000,neutral_target,0.1,selected,100,5,0.05
400,truth,maximum_frac_recent,10000,selected_target,0.7,neutral,1000,705,0.705
400,truth,maximum_frac_recent,10000,selected_target,0.7,selected,100,73,0.73
400,truth,maximum_frac_recent,20000,neutral_target,0.01,neutral,1000,9,0.009
400,truth,maximum_frac_recent,20000,neutral_target,0.01,selected,100,6,0.06
400,truth,maximum_frac_recent,20000,neutral_target,0.05,neutral,1000,54,0.054
400,truth,maximum_frac_recent,20000,neutral_target,0.05,selected,100,9,0.09
400,truth,maximum_frac_recent,20000,neutral_target,0.1,neutral,1000,104,0.104
400,truth,maximum_frac_recent,20000,neutral_target,0.1,selected,100,19,0.19
400,truth,maximum_frac_recent,20000,selected_target,0.7,neutral,1000,616,0.616
400,truth,maximum_frac_recent,20000,selected_target,0.7,selected,100,71,0.71
400,truth,maximum_frac_recent,30000,neutral_target,0.01,neutral,1000,10,0.01
400,truth,maximum_frac_recent,30000,neutral_target,0.01,selected,100,5,0.05
400,truth,maximum_frac_recent,30000,neutral_target,0.05,neutral,1000,45,0.045
400,truth,maximum_frac_recent,30000,neutral_target,0.05,selected,100,10,0.1
400,truth,maximum_frac_recent,30000,neutral_target,0.1,neutral,1000,89,0.089
400,truth,maximum_frac_recent,30000,neutral_target,0.1,selected,100,18,0.18
400,truth,maximum_frac_recent,30000,selected_target,0.7,neutral,1000,460,0.46
400,truth,maximum_frac_recent,30000,selected_target,0.7,selected,100,68,0.68
400,truth,maximum_frac_recent,40000,neutral_target,0.01,neutral,1000,6,0.006
400,truth,maximum_frac_recent,40000,neutral_target,0.01,selected,100,8,0.08
400,truth,maximum_frac_recent,40000,neutral_target,0.05,neutral,1000,49,0.049
400,truth,maximum_frac_recent,40000,neutral_target,0.05,selected,100,24,0.24
400,truth,maximum_frac_recent,40000,neutral_target,0.1,neutral,1000,96,0.096
400,truth,maximum_frac_recent,40000,neutral_target,0.1,selected,100,31,0.31
400,truth,maximum_frac_recent,40000,selected_target,0.7,neutral,1000,526,0.526
400,truth,maximum_frac_recent,40000,selected_target,0.7,selected,100,68,0.68
400,truth,maximum_frac_recent,50000,neutral_target,0.01,neutral,1000,10,0.01
400,truth,maximum_frac_recent,50000,neutral_target,0.01,selected,100,27,0.27
