selection_coefficient	replicate	realized_population_allele_frequency	focal_allele_outcome	ancestry_seconds	slim_seconds	center_fraction_recent	center_mean_tmrca_generations	window_10000_fraction_recent	window_100000_fraction_recent	neutral_plateau_fraction_recent	neutral_plateau_mean_tmrca_generations	center_fraction_recent_mc_p_upper	window_10000_fraction_recent_mc_p_upper	window_100000_fraction_recent_mc_p_upper
0.001	21	0.0	lost	15.216350100003185	2.5095017999992706	0.007	13288.987368190805	0.007	0.0071683168316831	0.0078884297520661	20579.33623365929	0.8613861386138614	0.8316831683168316	0.7920792079207921
0.001	22	0.0	lost	14.003731500008143	2.4095368000562303	0.0085	21353.884095240872	0.0084545454545454	0.0087376237623762	0.0093099173553719	19284.89495183695	0.6435643564356436	0.6336633663366337	0.6039603960396039
0.001	23	0.0	lost	15.208293400006369	2.5604934000293724	0.013	31383.294537568192	0.0131818181818181	0.0133910891089108	0.0085702479338843	20396.12639238365	0.0594059405940594	0.0297029702970297	0.0198019801980198
0.001	24	0.0	lost	15.18425729998853	2.530127600010019	0.008	26906.38754613712	0.008	0.0081534653465346	0.0088223140495867	19632.95838850154	0.7227722772277227	0.7029702970297029	0.6534653465346535
0.001	25	0.0	lost	10.4057812000392	2.4691833999822848	0.006	14957.991505722825	0.006	0.0061336633663366	0.0084586776859504	21975.035777836456	0.9504950495049505	0.9405940594059404	0.900990099009901
0.001	26	0.0	lost	11.03155549999792	2.442542599979788	0.012	19016.6591297485	0.012	0.0122425742574257	0.0072024793388429	19015.498971539564	0.1386138613861386	0.1287128712871287	0.0594059405940594
0.001	27	0.0	lost	10.90606209996622	2.2849202000070363	0.0065	5562.05961401538	0.0067272727272727	0.0070346534653465	0.00849173553719	18313.565771553007	0.9108910891089108	0.8514851485148515	0.8118811881188119
0.001	28	0.0	lost	12.953199800045695	2.530860899947584	0.0065	25722.904533153986	0.0065	0.0068316831683168	0.0092024793388429	21046.965393384813	0.9108910891089108	0.900990099009901	0.8514851485148515
0.001	29	0.0	lost	13.472204999998212	2.252907799964305	0.009	17065.099138037316	0.0089999999999999	0.0088564356435643	0.009892561983471	21174.83096794605	0.5841584158415841	0.5742574257425742	0.5742574257425742
0.001	30	0.0	lost	12.937463699956425	2.5627646000357345	0.012	18203.91072654676	0.0117727272727272	0.0117128712871287	0.0099421487603305	20157.34649753156	0.1386138613861386	0.1485148514851485	0.1386138613861386
0.001	31	0.0	lost	13.401487499999348	2.3467907000449486	0.008	24062.555559233777	0.008	0.0082722772277227	0.0102603305785123	19101.85102748926	0.7227722772277227	0.7029702970297029	0.6534653465346535
0.001	32	0.01515	segregating	12.665276099985933	2.3732728000031784	0.0085	16985.887210141427	0.0085	0.0085643564356435	0.0088223140495867	19926.6263098344	0.6435643564356436	0.6336633663366337	0.6237623762376238
0.001	33	0.0	lost	12.078018100000918	2.2690347000025213	0.007	14777.39937157521	0.007	0.0072475247524752	0.0082644628099173	19892.446310231186	0.8613861386138614	0.8316831683168316	0.7821782178217822
0.001	34	0.0	lost	12.685073599976022	2.352666199964005	0.005	23587.789441103185	0.0051363636363636	0.0050148514851485	0.0074462809917355	22056.905721812236	0.9702970297029704	0.9504950495049505	0.9603960396039604
0.001	35	0.0	lost	10.31267630000366	2.406782199977897	0.007	21112.14728505388	0.007	0.0072376237623762	0.0094669421487603	19925.03484041196	0.8613861386138614	0.8316831683168316	0.7920792079207921
0.001	36	0.0	lost	10.111069900041912	2.5645196000114083	0.007	17287.163154603935	0.007	0.0071782178217821	0.0085289256198347	19083.135612623275	0.8613861386138614	0.8316831683168316	0.7920792079207921
0.001	37	0.0	lost	10.636856199998874	2.556776000012178	0.01	34817.21348377487	0.0099999999999999	0.0099999999999999	0.0089256198347107	19304.89352317923	0.4356435643564356	0.396039603960396	0.3861386138613861
0.001	38	0.0	lost	10.390566600020977	2.55810109997401	0.0105	17187.47462621291	0.0104999999999999	0.0103960396039603	0.0080206611570247	19387.370665774302	0.3663366336633663	0.3465346534653465	0.3168316831683168
0.001	39	0.0	lost	10.582401300023776	2.539511199982371	0.0085	28372.53434221743	0.0085	0.0081683168316831	0.0085123966942148	20585.23093989229	0.6435643564356436	0.6336633663366337	0.6534653465346535
0.001	40	0.0	lost	10.435058700037189	2.238752699980978	0.0105	15327.339066728686	0.0104545454545454	0.0102376237623762	0.0101115702479338	19431.05312741808	0.3663366336633663	0.3564356435643564	0.3267326732673267
0.001	41	0.0	lost	8.150239799986593	2.323140300053637	0.0095	17785.447708938704	0.0094999999999999	0.0089356435643564	0.0089256198347107	20539.804118720665	0.5247524752475248	0.4851485148514851	0.5544554455445545
0.001	42	0.0	lost	9.667000900022686	2.498974799993448	0.012	25006.262523184112	0.0117727272727272	0.0117029702970297	0.0090413223140495	20883.92933396661	0.1386138613861386	0.1485148514851485	0.1386138613861386
0.001	43	0.0	lost	9.625480699993204	2.4841205999837257	0.01	9990.245157716176	0.0099999999999999	0.0093316831683168	0.0088016528925619	20146.78681015169	0.4356435643564356	0.396039603960396	0.504950495049505
0.001	44	0.0	lost	9.2221819999977	2.6676442999741994	0.007	33586.63460924868	0.007	0.0071237623762376	0.007892561983471	18766.751708165688	0.8613861386138614	0.8316831683168316	0.7920792079207921
0.001	45	0.0	lost	11.145703200018032	2.577682800008916	0.0075	18276.691700962703	0.0076363636363636	0.008009900990099	0.0097231404958677	20230.999145079724	0.7920792079207921	0.7425742574257426	0.6534653465346535
0.001	46	0.0	lost	10.485074100026395	2.4666870000073686	0.007	21165.43781679755	0.007	0.0067871287128712	0.0087520661157024	19876.839234770097	0.8613861386138614	0.8316831683168316	0.8514851485148515
