genotype_class	method	threshold_years	af_bin	af_low	af_mid	n_replicates	mean_statistic	null_mean	auc	power_rule
carrier_noncarrier	truth	1000.0	[0.3, 0.45)	0.3	0.37419354838709673	93	0.0	0.0004786666666666667	0.0016666666666666672	0.0
carrier_noncarrier	truth	1000.0	[0.45, 0.6)	0.45	0.516651376146789	109	0.0	0.0004786666666666667	0.0016666666666666672	0.0
carrier_noncarrier	truth	1000.0	[0.6, 0.75)	0.6	0.6731060606060607	132	0.0	0.0004786666666666667	0.0016666666666666668	0.0
carrier_noncarrier	truth	1000.0	[0.75, 0.9)	0.75	0.8289877300613497	163	0.0	0.0004786666666666667	0.001666666666666667	0.0
carrier_noncarrier	truth	1000.0	[0.9, 1.01)	0.9	0.9432258064516128	155	0.0	0.0004786666666666667	0.0016666666666666668	0.0
carrier_noncarrier	truth	5000.0	[0.0, 0.05)	0.0	0.02092391304347826	92	0.0	0.0026056666666666667	0.0	0.0
carrier_noncarrier	truth	5000.0	[0.05, 0.15)	0.05	0.0938235294117647	51	0.0	0.0026056666666666667	0.0	0.0
carrier_noncarrier	truth	5000.0	[0.15, 0.3)	0.15	0.22006024096385543	83	0.0	0.0026056666666666667	0.0	0.0
carrier_noncarrier	truth	5000.0	[0.3, 0.45)	0.3	0.37419354838709673	93	0.0	0.0026056666666666667	0.0	0.0
carrier_noncarrier	truth	5000.0	[0.45, 0.6)	0.45	0.516651376146789	109	0.0	0.0026056666666666667	0.0	0.0
carrier_noncarrier	truth	5000.0	[0.6, 0.75)	0.6	0.6731060606060607	132	0.0	0.0026056666666666667	0.0	0.0
carrier_noncarrier	truth	5000.0	[0.75, 0.9)	0.75	0.8289877300613497	163	0.0	0.0026056666666666667	0.0	0.0
carrier_noncarrier	truth	5000.0	[0.9, 1.01)	0.9	0.9432258064516128	155	0.0	0.0026056666666666667	0.0	0.0
carrier_noncarrier	truth	10000.0	[0.0, 0.05)	0.0	0.02092391304347826	92	0.0	0.007359	0.0	0.0
carrier_noncarrier	truth	10000.0	[0.05, 0.15)	0.05	0.0938235294117647	51	0.0	0.007359	0.0	0.0
carrier_noncarrier	truth	10000.0	[0.15, 0.3)	0.15	0.22006024096385543	83	0.0	0.007359	0.0	0.0
carrier_noncarrier	truth	10000.0	[0.3, 0.45)	0.3	0.37419354838709673	93	0.0	0.007359	0.0	0.0
carrier_noncarrier	truth	10000.0	[0.45, 0.6)	0.45	0.516651376146789	109	0.0	0.007359	0.0	0.0
carrier_noncarrier	truth	10000.0	[0.6, 0.75)	0.6	0.6731060606060607	132	0.0	0.007359	0.0	0.0
carrier_noncarrier	truth	10000.0	[0.75, 0.9)	0.75	0.8289877300613497	163	0.0	0.007359	0.0	0.0
carrier_noncarrier	truth	10000.0	[0.9, 1.01)	0.9	0.9432258064516128	155	0.0	0.007359	0.0	0.0
carrier_noncarrier	truth	20000.0	[0.0, 0.05)	0.0	0.02092391304347826	92	0.027491601745509665	0.04594566666666666	0.22519927536231885	0.043478260869565216
carrier_noncarrier	truth	20000.0	[0.05, 0.15)	0.05	0.0938235294117647	51	0.003569479555012076	0.04594566666666666	0.021437908496732026	0.0196078431372549
carrier_noncarrier	truth	20000.0	[0.15, 0.3)	0.15	0.22006024096385543	83	0.0020098824110144527	0.04594566666666666	0.02397590361445783	0.012048192771084338
carrier_noncarrier	truth	20000.0	[0.3, 0.45)	0.3	0.37419354838709673	93	0.0011820986122382227	0.04594566666666666	0.010716845878136202	0.010752688172043012
carrier_noncarrier	truth	20000.0	[0.45, 0.6)	0.45	0.516651376146789	109	0.005221965807794917	0.04594566666666666	0.0510091743119266	0.009174311926605505
carrier_noncarrier	truth	20000.0	[0.6, 0.75)	0.6	0.6731060606060607	132	0.0037165647023865048	0.04594566666666666	0.022752525252525253	0.015151515151515152
carrier_noncarrier	truth	20000.0	[0.75, 0.9)	0.75	0.8289877300613497	163	0.0047067575061143195	0.04594566666666666	0.04345603271983639	0.012269938650306749
carrier_noncarrier	truth	20000.0	[0.9, 1.01)	0.9	0.9432258064516128	155	0.009637352489977566	0.04594566666666666	0.0744516129032258	0.05161290322580645
carrier_noncarrier	truth	30000.0	[0.0, 0.05)	0.0	0.02092391304347826	92	0.0782923726694919	0.10093533333333334	0.3443840579710145	0.06521739130434782
carrier_noncarrier	truth	30000.0	[0.05, 0.15)	0.05	0.0938235294117647	51	0.010276547226235534	0.10093533333333334	0.04823529411764706	0.0
carrier_noncarrier	truth	30000.0	[0.15, 0.3)	0.15	0.22006024096385543	83	0.003919481254554252	0.10093533333333334	0.022811244979919678	0.0
carrier_noncarrier	truth	30000.0	[0.3, 0.45)	0.3	0.37419354838709673	93	0.0026702034644076043	0.10093533333333334	0.010716845878136202	0.010752688172043012
carrier_noncarrier	truth	30000.0	[0.45, 0.6)	0.45	0.516651376146789	109	0.008128673937859637	0.10093533333333334	0.032018348623853214	0.0
carrier_noncarrier	truth	30000.0	[0.6, 0.75)	0.6	0.6731060606060607	132	0.01025998689831049	0.10093533333333334	0.03954545454545455	0.015151515151515152
carrier_noncarrier	truth	30000.0	[0.75, 0.9)	0.75	0.8289877300613497	163	0.014442680747265155	0.10093533333333334	0.060184049079754595	0.024539877300613498
carrier_noncarrier	truth	30000.0	[0.9, 1.01)	0.9	0.9432258064516128	155	0.02799557853450209	0.10093533333333334	0.10759139784946238	0.05161290322580645
carrier_noncarrier	truth	40000.0	[0.0, 0.05)	0.0	0.02092391304347826	92	0.11872172926904224	0.15520733333333334	0.30420289855072463	0.06521739130434782
carrier_noncarrier	truth	40000.0	[0.05, 0.15)	0.05	0.0938235294117647	51	0.016820204751436113	0.15520733333333334	0.036470588235294116	0.0
carrier_noncarrier	truth	40000.0	[0.15, 0.3)	0.15	0.22006024096385543	83	0.005957407182339234	0.15520733333333334	0.023172690763052207	0.0
carrier_noncarrier	truth	40000.0	[0.3, 0.45)	0.3	0.37419354838709673	93	0.005295523634437609	0.15520733333333334	0.01899641577060932	0.0
carrier_noncarrier	truth	40000.0	[0.45, 0.6)	0.45	0.516651376146789	109	0.011579726573180198	0.15520733333333334	0.027003058103975536	0.0
carrier_noncarrier	truth	40000.0	[0.6, 0.75)	0.6	0.6731060606060607	132	0.01492159155009066	0.15520733333333334	0.03444444444444445	0.015151515151515152
