arm	method	genotype_class	threshold_years	quantile	statistic	null_mean	n_neutral_exceeding	p_corrected	significant_rule
denovo_delayed_s0p01	truth	carrier_carrier	1000.0	0.9	0.006493506493506494	0.0004786666666666667	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	5000.0	0.1	0.07142857142857142	0.0026056666666666667	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	5000.0	0.25	0.07142857142857142	0.0026056666666666667	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	5000.0	0.5	0.07142857142857142	0.0026056666666666667	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	5000.0	0.75	0.07142857142857142	0.0026056666666666667	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	5000.0	0.9	0.07142857142857142	0.0026056666666666667	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	10000.0	0.1	1.0	0.007359	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	10000.0	0.25	1.0	0.007359	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	10000.0	0.5	1.0	0.007359	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	10000.0	0.75	1.0	0.007359	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	10000.0	0.9	1.0	0.007359	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	20000.0	0.1	1.0	0.04594566666666666	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	20000.0	0.25	1.0	0.04594566666666666	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	20000.0	0.5	1.0	0.04594566666666666	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	20000.0	0.75	1.0	0.04594566666666666	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	20000.0	0.9	1.0	0.04594566666666666	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	30000.0	0.1	1.0	0.10093533333333334	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	30000.0	0.25	1.0	0.10093533333333334	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	30000.0	0.5	1.0	0.10093533333333334	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	30000.0	0.75	1.0	0.10093533333333334	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	30000.0	0.9	1.0	0.10093533333333334	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	40000.0	0.1	1.0	0.15520733333333334	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	40000.0	0.25	1.0	0.15520733333333334	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	40000.0	0.5	1.0	0.15520733333333334	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	40000.0	0.75	1.0	0.15520733333333334	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	40000.0	0.9	1.0	0.15520733333333334	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	50000.0	0.1	1.0	0.20062233333333335	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	50000.0	0.25	1.0	0.20062233333333335	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	50000.0	0.5	1.0	0.20062233333333335	0	0.0033222591362126247	True
denovo_delayed_s0p01	truth	carrier_carrier	50000.0	0.75	1.0	0.20062233333333335	0	0.0033222591362126247	True
