arm	method	genotype_class	threshold_years	n_replicates	n_null	mean_af	mean_statistic	null_mean	auc	power_rule	power_p_corrected	median_p
pulse_s0p003	truth	carrier_carrier	10000.0	95	300	0.5405263157894737	0.022053687632969502	0.007359	0.9618947368421054	0.7263157894736842	0.7263157894736842	0.0033222591362126247
pulse_s0p003	truth	carrier_noncarrier	10000.0	99	300	0.5207070707070708	0.0	0.007359	0.0	0.0	0.0	1.0
pulse_s0p003	truth	noncarrier_noncarrier	10000.0	97	300	0.5021134020618556	0.016517177261989143	0.007359	0.9324570446735395	0.5670103092783505	0.5670103092783505	0.006644518272425249
pulse_s0p003	truth	overall	10000.0	100	300	0.5155000000000001	0.007681	0.007359	0.5727666666666666	0.0	0.0	0.4219269102990033
pulse_s0p004	truth	carrier_carrier	10000.0	98	300	0.6880102040816327	0.021013281196627327	0.007359	0.8828911564625851	0.5204081632653061	0.5306122448979592	0.006644518272425249
pulse_s0p004	truth	carrier_noncarrier	10000.0	100	300	0.67495	0.0	0.007359	0.0	0.0	0.0	1.0
pulse_s0p004	truth	noncarrier_noncarrier	10000.0	81	300	0.6060493827160495	0.02208490194621994	0.007359	0.9432921810699587	0.691358024691358	0.7160493827160493	0.0033222591362126247
pulse_s0p004	truth	overall	10000.0	100	300	0.67495	0.007757000000000001	0.007359	0.5943166666666666	0.01	0.01	0.40863787375415284
pulse_s0p005	truth	carrier_carrier	10000.0	100	300	0.8032499999999999	0.01256049243854302	0.007359	0.8317666666666668	0.36	0.36	0.03156146179401993
pulse_s0p005	truth	carrier_noncarrier	10000.0	97	300	0.7971649484536081	0.0	0.007359	0.0	0.0	0.0	1.0
pulse_s0p005	truth	noncarrier_noncarrier	10000.0	70	300	0.7338571428571429	0.026240977734587903	0.007359	0.939047619047619	0.7571428571428571	0.7571428571428571	0.0033222591362126247
pulse_s0p005	truth	overall	10000.0	100	300	0.8032499999999999	0.007859999999999999	0.007359	0.5953333333333333	0.01	0.02	0.40863787375415284
denovo_delayed_s0p01	decode	overall	20000.0	100	300	0.01875	0.076395	0.07635933333333332	0.4976500000000001	0.01	0.01	0.5564784053156147
