calibration_id	selection_coefficient	target_allele_frequency	population_af_lower	population_af_upper	duration_multiplier	analytic_selection_end_generations_ago	analytic_selection_duration_generations	requested_selection_end_generations_ago	realized_selection_end_generations_ago	slim_scaling_factor	candidate_pool_diploids	draw_index	seed
han_calibration__s0.010000__af0.100000__m0.200000__q5__draw014	0.01	0.1	0.07500000000000001	0.125	0.2	1453.301330161558	818.6986698384419	2108.260266032312	2110.0	5.0	500	14	1504411813
han_calibration__s0.010000__af0.100000__m0.200000__q5__draw015	0.01	0.1	0.07500000000000001	0.125	0.2	1453.301330161558	818.6986698384419	2108.260266032312	2110.0	5.0	500	15	1272387617
han_calibration__s0.010000__af0.100000__m0.200000__q5__draw016	0.01	0.1	0.07500000000000001	0.125	0.2	1453.301330161558	818.6986698384419	2108.260266032312	2110.0	5.0	500	16	1887430853
han_calibration__s0.010000__af0.100000__m0.200000__q5__draw017	0.01	0.1	0.07500000000000001	0.125	0.2	1453.301330161558	818.6986698384419	2108.260266032312	2110.0	5.0	500	17	1662450800
han_calibration__s0.010000__af0.100000__m0.200000__q5__draw018	0.01	0.1	0.07500000000000001	0.125	0.2	1453.301330161558	818.6986698384419	2108.260266032312	2110.0	5.0	500	18	1750057822
han_calibration__s0.010000__af0.100000__m0.200000__q5__draw019	0.01	0.1	0.07500000000000001	0.125	0.2	1453.301330161558	818.6986698384419	2108.260266032312	2110.0	5.0	500	19	1353762182
han_calibration__s0.010000__af0.100000__m0.250000__q5__draw000	0.01	0.1	0.07500000000000001	0.125	0.25	1453.301330161558	818.6986698384419	2067.3253325403894	2065.0	5.0	500	0	34337093
han_calibration__s0.010000__af0.100000__m0.250000__q5__draw001	0.01	0.1	0.07500000000000001	0.125	0.25	1453.301330161558	818.6986698384419	2067.3253325403894	2065.0	5.0	500	1	607156648
han_calibration__s0.010000__af0.100000__m0.250000__q5__draw002	0.01	0.1	0.07500000000000001	0.125	0.25	1453.301330161558	818.6986698384419	2067.3253325403894	2065.0	5.0	500	2	418519180
han_calibration__s0.010000__af0.100000__m0.250000__q5__draw003	0.01	0.1	0.07500000000000001	0.125	0.25	1453.301330161558	818.6986698384419	2067.3253325403894	2065.0	5.0	500	3	1165937686
han_calibration__s0.010000__af0.100000__m0.250000__q5__draw004	0.01	0.1	0.07500000000000001	0.125	0.25	1453.301330161558	818.6986698384419	2067.3253325403894	2065.0	5.0	500	4	2055562887
han_calibration__s0.010000__af0.100000__m0.250000__q5__draw005	0.01	0.1	0.07500000000000001	0.125	0.25	1453.301330161558	818.6986698384419	2067.3253325403894	2065.0	5.0	500	5	1301604836
han_calibration__s0.010000__af0.100000__m0.250000__q5__draw006	0.01	0.1	0.07500000000000001	0.125	0.25	1453.301330161558	818.6986698384419	2067.3253325403894	2065.0	5.0	500	6	690088976
han_calibration__s0.010000__af0.100000__m0.250000__q5__draw007	0.01	0.1	0.07500000000000001	0.125	0.25	1453.301330161558	818.6986698384419	2067.3253325403894	2065.0	5.0	500	7	732044198
han_calibration__s0.010000__af0.100000__m0.250000__q5__draw008	0.01	0.1	0.07500000000000001	0.125	0.25	1453.301330161558	818.6986698384419	2067.3253325403894	2065.0	5.0	500	8	1968267620
han_calibration__s0.010000__af0.100000__m0.250000__q5__draw009	0.01	0.1	0.07500000000000001	0.125	0.25	1453.301330161558	818.6986698384419	2067.3253325403894	2065.0	5.0	500	9	433568925
han_calibration__s0.010000__af0.100000__m0.250000__q5__draw010	0.01	0.1	0.07500000000000001	0.125	0.25	1453.301330161558	818.6986698384419	2067.3253325403894	2065.0	5.0	500	10	1733602425
han_calibration__s0.010000__af0.100000__m0.250000__q5__draw011	0.01	0.1	0.07500000000000001	0.125	0.25	1453.301330161558	818.6986698384419	2067.3253325403894	2065.0	5.0	500	11	609735131
han_calibration__s0.010000__af0.100000__m0.250000__q5__draw012	0.01	0.1	0.07500000000000001	0.125	0.25	1453.301330161558	818.6986698384419	2067.3253325403894	2065.0	5.0	500	12	1109616749
han_calibration__s0.010000__af0.100000__m0.250000__q5__draw013	0.01	0.1	0.07500000000000001	0.125	0.25	1453.301330161558	818.6986698384419	2067.3253325403894	2065.0	5.0	500	13	84671457
han_calibration__s0.010000__af0.100000__m0.250000__q5__draw014	0.01	0.1	0.07500000000000001	0.125	0.25	1453.301330161558	818.6986698384419	2067.3253325403894	2065.0	5.0	500	14	422175455
han_calibration__s0.010000__af0.100000__m0.250000__q5__draw015	0.01	0.1	0.07500000000000001	0.125	0.25	1453.301330161558	818.6986698384419	2067.3253325403894	2065.0	5.0	500	15	1927059000
