calibration_id	selection_coefficient	target_allele_frequency	population_af_lower	population_af_upper	duration_multiplier	analytic_selection_end_generations_ago	analytic_selection_duration_generations	requested_selection_end_generations_ago	realized_selection_end_generations_ago	slim_scaling_factor	candidate_pool_diploids	draw_index	seed	status	evaluable	terminal_class	candidate_pool_alt_count	candidate_pool_af	candidate_pool_frequency_gate_passed	exact_panel_feasible	elapsed_seconds	error	selection_intervals_json	canonical_result_source	reconciliation_id	reconciliation_mode	original_status	original_terminal_class	original_error	original_plan_sha256	original_ledger_sha256	stdpopsim_recapitation_applied	post_slim_neutral_mutation_overlay_applied	selected_focal_identity_json	trajectory_sha256
han_calibration__s0.005000__af0.100000__m0.200000__q5__draw014	0.005	0.1	0.075	0.125	0.2	634.6026603231162	1637.3973396768838	1944.5205320646232	1945.0	5.0	500	14	997301348	complete	True	segregating	5.0	0.005	False	False	84.53221599900007		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1945.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.200000__q5__draw015	0.005	0.1	0.075	0.125	0.2	634.6026603231162	1637.3973396768838	1944.5205320646232	1945.0	5.0	500	15	1217203942	complete	True	segregating	23.0	0.023	False	True	78.76736920300027		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1945.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.200000__q5__draw016	0.005	0.1	0.075	0.125	0.2	634.6026603231162	1637.3973396768838	1944.5205320646232	1945.0	5.0	500	16	2088142055	complete	True	segregating	88.0	0.088	True	True	71.26434898800017		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1945.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.200000__q5__draw017	0.005	0.1	0.075	0.125	0.2	634.6026603231162	1637.3973396768838	1944.5205320646232	1945.0	5.0	500	17	1223851863	complete	True	segregating	27.0	0.027	False	False	80.4457944310002		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1945.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.200000__q5__draw018	0.005	0.1	0.075	0.125	0.2	634.6026603231162	1637.3973396768838	1944.5205320646232	1945.0	5.0	500	18	234337510	complete	True	segregating	147.0	0.147	False	True	113.36304432799987		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1945.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.200000__q5__draw019	0.005	0.1	0.075	0.125	0.2	634.6026603231162	1637.3973396768838	1944.5205320646232	1945.0	5.0	500	19	405209578	complete	True	segregating	125.0	0.125	True	True	89.37657611999975		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1945.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.250000__q5__draw000	0.005	0.1	0.075	0.125	0.25	634.6026603231162	1637.3973396768838	1862.6506650807792	1865.0	5.0	500	0	703748184	complete	True	segregating	181.0	0.181	False	True	81.15703814800008		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1865.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.250000__q5__draw001	0.005	0.1	0.075	0.125	0.25	634.6026603231162	1637.3973396768838	1862.6506650807792	1865.0	5.0	500	1	417601012	complete	True	segregating	46.0	0.046	False	False	85.52472507799985		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1865.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.250000__q5__draw002	0.005	0.1	0.075	0.125	0.25	634.6026603231162	1637.3973396768838	1862.6506650807792	1865.0	5.0	500	2	1681874645	complete	True	segregating	130.0	0.13	False	True	121.63441890400009		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1865.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.250000__q5__draw003	0.005	0.1	0.075	0.125	0.25	634.6026603231162	1637.3973396768838	1862.6506650807792	1865.0	5.0	500	3	363555433	complete	True	segregating	17.0	0.017	False	False	82.46677086699992		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1865.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
