position_0based	position_1based	n_pairs	mean_p_tmrca_lt_threshold	mean_tmrca_generations	n_recent_4500	frac_recent_4500	mean_p_lt_4500
5600000	5600001	2000	0.02262984412	22954.9809	19	0.0095	0.02262984412
5610000	5610001	2000	0.01986886902	24119.9779	18	0.009	0.01986886902
5620000	5620001	2000	0.01783044131	14254.09145	18	0.009	0.01783044131
5630000	5630001	2000	0.01885897416	24407.04653	19	0.0095	0.01885897416
5640000	5640001	2000	0.02002038854	15128.71129	20	0.01	0.02002038854
5650000	5650001	2000	0.02129529357	14324.71832	20	0.01	0.02129529357
5660000	5660001	2000	0.02162017216	20613.40346	19	0.0095	0.02162017216
5670000	5670001	2000	0.02050268393	14778.78936	19	0.0095	0.02050268393
5680000	5680001	2000	0.02101736437	14303.92792	19	0.0095	0.02101736437
5690000	5690001	2000	0.02488665712	11761.53728	18	0.009	0.02488665712
5700000	5700001	2000	0.02169079766	15084.38962	15	0.0075	0.02169079766
5710000	5710001	2000	0.02430214436	19510.45525	15	0.0075	0.02430214436
5720000	5720001	2000	0.02101764905	32416.1855	17	0.0085	0.02101764905
5730000	5730001	2000	0.02077333678	22869.80084	18	0.009	0.02077333678
5740000	5740001	2000	0.02005510182	25085.58978	19	0.0095	0.02005510182
5750000	5750001	2000	0.02003404132	19989.63062	19	0.0095	0.02003404132
5760000	5760001	2000	0.02329307164	15989.59137	19	0.0095	0.02329307164
5770000	5770001	2000	0.02435704954	14262.28508	20	0.01	0.02435704954
5780000	5780001	2000	0.02648630304	23851.35392	19	0.0095	0.02648630304
5790000	5790001	2000	0.02450760912	30142.28776	19	0.0095	0.02450760912
5800000	5800001	2000	0.02616585314	20691.56252	19	0.0095	0.02616585314
5810000	5810001	2000	0.02773588882	23086.59464	19	0.0095	0.02773588882
5820000	5820001	2000	0.02706077114	20893.05937	18	0.009	0.02706077114
5830000	5830001	2000	0.02400770557	16338.47011	17	0.0085	0.02400770557
5840000	5840001	2000	0.0222443807	19191.36767	17	0.0085	0.0222443807
5850000	5850001	2000	0.02283598356	23498.87375	17	0.0085	0.02283598356
5860000	5860001	2000	0.01909536341	22782.6257	16	0.008	0.01909536341
5870000	5870001	2000	0.02047676342	26958.66162	16	0.008	0.02047676342
5880000	5880001	2000	0.02104644828	27659.33314	15	0.0075	0.02104644828
5890000	5890001	2000	0.02058587964	21316.02704	14	0.007	0.02058587964
5900000	5900001	2000	0.02356099717	15612.40727	14	0.007	0.02356099717
5910000	5910001	2000	0.0240407115	17226.38754	14	0.007	0.0240407115
5920000	5920001	2000	0.02191641393	19076.69352	14	0.007	0.02191641393
5930000	5930001	2000	0.02025083347	17969.19743	14	0.007	0.02025083347
5940000	5940001	2000	0.0258940782	16383.07716	15	0.0075	0.0258940782
5950000	5950001	2000	0.02654933376	16476.43822	15	0.0075	0.02654933376
5960000	5960001	2000	0.02584983003	16673.14044	15	0.0075	0.02584983003
5970000	5970001	2000	0.02442465385	21470.66413	15	0.0075	0.02442465385
5980000	5980001	2000	0.02463186146	21444.86908	15	0.0075	0.02463186146
5990000	5990001	2000	0.0249158118	12859.65061	16	0.008	0.0249158118
6000000	6000001	2000	0.02243783363	16218.51685	16	0.008	0.02243783363
6010000	6010001	2000	0.02081615842	15717.9467	16	0.008	0.02081615842
6020000	6020001	2000	0.0238304325	22165.39509	16	0.008	0.0238304325
6030000	6030001	2000	0.02423929211	21311.43394	16	0.008	0.02423929211
6040000	6040001	2000	0.02445979411	14829.50083	16	0.008	0.02445979411
6050000	6050001	2000	0.02340918904	13829.99991	16	0.008	0.02340918904
6060000	6060001	2000	0.02073130799	13509.14107	15	0.0075	0.02073130799
6070000	6070001	2000	0.02009568563	11679.88738	14	0.007	0.02009568563
6080000	6080001	2000	0.02217804775	18035.0671	14	0.007	0.02217804775
6090000	6090001	2000	0.02140779496	13229.10523	14	0.007	0.02140779496
6100000	6100001	2000	0.0209421805	19734.36019	14	0.007	0.0209421805
6110000	6110001	2000	0.02027962822	18610.45931	13	0.0065	0.02027962822
6120000	6120001	2000	0.02044827988	18836.90426	13	0.0065	0.02044827988
6130000	6130001	2000	0.01977753013	19360.59775	13	0.0065	0.01977753013
6140000	6140001	2000	0.02027159793	15308.14593	14	0.007	0.02027159793
6150000	6150001	2000	0.02557361532	13277.68074	18	0.009	0.02557361532
6160000	6160001	2000	0.02934016453	14354.18254	19	0.0095	0.02934016453
6170000	6170001	2000	0.02800489558	18536.30017	18	0.009	0.02800489558
6180000	6180001	2000	0.0269978893	22226.47884	18	0.009	0.0269978893
6190000	6190001	2000	0.02535630001	13723.26757	18	0.009	0.02535630001
6200000	6200001	2000	0.02191310925	17364.58835	19	0.0095	0.02191310925
6210000	6210001	2000	0.02335542692	14404.58335	19	0.0095	0.02335542692
6220000	6220001	2000	0.02433337819	12523.71041	19	0.0095	0.02433337819
6230000	6230001	2000	0.02229102663	20353.78629	20	0.01	0.02229102663
6240000	6240001	2000	0.02326126567	20966.93606	20	0.01	0.02326126567
6250000	6250001	2000	0.02178623366	20639.17999	20	0.01	0.02178623366
6260000	6260001	2000	0.02130250935	17820.00103	19	0.0095	0.02130250935
6270000	6270001	2000	0.02249626045	19533.71929	19	0.0095	0.02249626045
6280000	6280001	2000	0.02234083931	21548.75209	18	0.009	0.02234083931
6290000	6290001	2000	0.02441423092	25236.22074	19	0.0095	0.02441423092
6300000	6300001	2000	0.02455870401	26349.57409	19	0.0095	0.02455870401
6310000	6310001	2000	0.02537850502	21002.72561	19	0.0095	0.02537850502
6320000	6320001	2000	0.02613540188	19763.18485	18	0.009	0.02613540188
6330000	6330001	2000	0.02462184951	10618.5109	18	0.009	0.02462184951
6340000	6340001	2000	0.02750338383	14795.69722	18	0.009	0.02750338383
6350000	6350001	2000	0.02986874353	8087.669878	17	0.0085	0.02986874353
6360000	6360001	2000	0.02993553992	6092.617005	19	0.0095	0.02993553992
6370000	6370001	2000	0.02666531901	9527.446834	19	0.0095	0.02666531901
6380000	6380001	2000	0.02399533834	14420.32093	18	0.009	0.02399533834
6390000	6390001	2000	0.02016108776	22010.64405	17	0.0085	0.02016108776
6400000	6400001	2000	0.0207106564	19413.36326	17	0.0085	0.0207106564
6410000	6410001	2000	0.02159571988	12175.90242	18	0.009	0.02159571988
6420000	6420001	2000	0.02383297565	14279.91182	18	0.009	0.02383297565
6430000	6430001	2000	0.02516060634	16353.99173	18	0.009	0.02516060634
6440000	6440001	2000	0.02499984358	23440.41689	18	0.009	0.02499984358
6450000	6450001	2000	0.02422160737	16111.39397	19	0.0095	0.02422160737
6460000	6460001	2000	0.02362455748	15575.8381	20	0.01	0.02362455748
6470000	6470001	2000	0.02021513625	18871.12229	18	0.009	0.02021513625
6480000	6480001	2000	0.02177276671	20157.92006	16	0.008	0.02177276671
6490000	6490001	2000	0.02528262318	14332.33629	17	0.0085	0.02528262318
6500000	6500001	2000	0.0246546403	12503.81987	16	0.008	0.0246546403
6510000	6510001	2000	0.01958918151	13941.68348	16	0.008	0.01958918151
6520000	6520001	2000	0.01937131305	12286.27431	16	0.008	0.01937131305
6530000	6530001	2000	0.02122965269	16339.02757	16	0.008	0.02122965269
6540000	6540001	2000	0.02035497647	12584.79433	17	0.0085	0.02035497647
6550000	6550001	2000	0.02282382665	13791.37089	21	0.0105	0.02282382665
6560000	6560001	2000	0.02296638248	10172.4314	20	0.01	0.02296638248
6570000	6570001	2000	0.01988227588	17280.76998	19	0.0095	0.01988227588
6580000	6580001	2000	0.01940258671	13425.16472	18	0.009	0.01940258671
6590000	6590001	2000	0.02448732521	8840.282108	18	0.009	0.02448732521
6600000	6600001	2000	0.04524352685	4112.56306	17	0.0085	0.04524352685
6610000	6610001	2000	0.03196263437	5142.610509	19	0.0095	0.03196263437
6620000	6620001	2000	0.02295112443	11757.88039	19	0.0095	0.02295112443
