schema	unit_id	demography	simulation_class	selection_coefficient	seed	generation_time_years	threshold_years	posthoc_overall_score	decoder_cpp_overall_score	signed_difference	absolute_difference
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r008	EAS	neutral	0	2026083608	25	4500	0.039023714226812167	0.03902285087	8.633568121668711e-07	8.633568121668711e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r008	EAS	neutral	0	2026083608	25	10000	0.077581625252484299	0.07758063607	9.8918248429835653e-07	9.8918248429835653e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r008	EAS	neutral	0	2026083608	25	20000	0.12761258346245052	0.12761195910000001	6.2436245051866734e-07	6.2436245051866734e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r008	EAS	neutral	0	2026083608	25	30000	0.16185731177367868	0.16185693919999991	3.7257367876963876e-07	3.7257367876963876e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r008	EAS	neutral	0	2026083608	25	40000	0.1872438068541912	0.18724377489999991	3.1954191292982159e-08	3.1954191292982159e-08
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r008	EAS	neutral	0	2026083608	25	50000	0.20737569795156133	0.20737597399999991	-2.7604843857997885e-07	2.7604843857997885e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r009	EAS	neutral	0	2026083609	25	1000	0.0071246425662250335	0.0071243649020000001	2.7766422503339855e-07	2.7766422503339855e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r009	EAS	neutral	0	2026083609	25	4500	0.031808433826853638	0.031807424950000003	1.0088768536350989e-06	1.0088768536350989e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r009	EAS	neutral	0	2026083609	25	10000	0.067063631170487178	0.067062231700000002	1.3994704871761465e-06	1.3994704871761465e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r009	EAS	neutral	0	2026083609	25	20000	0.12118757457881546	0.1211860692	1.5053788154639758e-06	1.5053788154639758e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r009	EAS	neutral	0	2026083609	25	30000	0.16467492343017204	0.16467372499999991	1.1984301721279511e-06	1.1984301721279511e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r009	EAS	neutral	0	2026083609	25	40000	0.20013137093571631	0.20013038359999991	9.8733571640696738e-07	9.8733571640696738e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r009	EAS	neutral	0	2026083609	25	50000	0.22969197671906286	0.22969134369999991	6.330190629455501e-07	6.330190629455501e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r010	EAS	neutral	0	2026083610	25	1000	0.010566912181667923	0.01056635672	5.5546166792368179e-07	5.5546166792368179e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r010	EAS	neutral	0	2026083610	25	4500	0.048476661330421097	0.048475208999999901	1.4523304211963572e-06	1.4523304211963572e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r010	EAS	neutral	0	2026083610	25	10000	0.10287037816225765	0.10286846600000001	1.9121622576445674e-06	1.9121622576445674e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r010	EAS	neutral	0	2026083610	25	20000	0.18329562076181211	0.1832937245	1.8962618121010077e-06	1.8962618121010077e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r010	EAS	neutral	0	2026083610	25	30000	0.24477251668386074	0.24477067150000001	1.8451838607325133e-06	1.8451838607325133e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r010	EAS	neutral	0	2026083610	25	40000	0.29280150928765042	0.29279965679999992	1.8524876504999455e-06	1.8524876504999455e-06
