unit_id	demography	simulation_class	selection_coefficient	seed	generation_time_years	focal_status	focal_alt_count_full_sample	focal_alt_count_pair_panel	n_hom_ref_pairs	n_heterozygous_pairs	n_hom_alt_pairs	hom_ref_eligible	heterozygous_eligible	hom_alt_eligible	primary_shared_homozygote_eligible	exclusion_reason
eas_neutral_exact_population_af_reverse_bridge_r014	EAS	neutral	0	2026083614	25	unique_exact_focal_site	38	19	3240	1539	171	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r015	EAS	neutral	0	2026083615	25	unique_exact_focal_site	34	16	3486	1344	120	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r016	EAS	neutral	0	2026083616	25	unique_exact_focal_site	46	24	2850	1824	276	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r017	EAS	neutral	0	2026083617	25	unique_exact_focal_site	42	21	3081	1659	210	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r018	EAS	neutral	0	2026083618	25	unique_exact_focal_site	35	17	3403	1411	136	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r019	EAS	neutral	0	2026083619	25	unique_exact_focal_site	37	18	3321	1476	153	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r020	EAS	neutral	0	2026083620	25	unique_exact_focal_site	38	19	3240	1539	171	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r021	EAS	neutral	0	2026083621	25	unique_exact_focal_site	41	20	3160	1600	190	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r022	EAS	neutral	0	2026083622	25	unique_exact_focal_site	43	22	3003	1716	231	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r023	EAS	neutral	0	2026083623	25	unique_exact_focal_site	42	21	3081	1659	210	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r024	EAS	neutral	0	2026083624	25	unique_exact_focal_site	36	17	3403	1411	136	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r025	EAS	neutral	0	2026083625	25	unique_exact_focal_site	43	22	3003	1716	231	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r026	EAS	neutral	0	2026083626	25	unique_exact_focal_site	44	23	2926	1771	253	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r027	EAS	neutral	0	2026083627	25	unique_exact_focal_site	31	14	3655	1204	91	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r028	EAS	neutral	0	2026083628	25	ambiguous_exact_coordinate_collision	-1	-1	0	0	0	False	False	False	False	ambiguous_exact_coordinate_collision
eas_neutral_exact_population_af_reverse_bridge_r029	EAS	neutral	0	2026083629	25	unique_exact_focal_site	34	16	3486	1344	120	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r030	EAS	neutral	0	2026083630	25	unique_exact_focal_site	39	20	3160	1600	190	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r031	EAS	neutral	0	2026083631	25	unique_exact_focal_site	34	16	3486	1344	120	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r032	EAS	neutral	0	2026083632	25	unique_exact_focal_site	42	21	3081	1659	210	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r033	EAS	neutral	0	2026083633	25	unique_exact_focal_site	42	21	3081	1659	210	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r034	EAS	neutral	0	2026083634	25	unique_exact_focal_site	45	24	2850	1824	276	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r035	EAS	neutral	0	2026083635	25	unique_exact_focal_site	48	25	2775	1875	300	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r036	EAS	neutral	0	2026083636	25	unique_exact_focal_site	34	16	3486	1344	120	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r037	EAS	neutral	0	2026083637	25	unique_exact_focal_site	48	25	2775	1875	300	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r038	EAS	neutral	0	2026083638	25	unique_exact_focal_site	42	21	3081	1659	210	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r039	EAS	neutral	0	2026083639	25	unique_exact_focal_site	49	25	2775	1875	300	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r040	EAS	neutral	0	2026083640	25	unique_exact_focal_site	47	25	2775	1875	300	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r041	EAS	neutral	0	2026083641	25	unique_exact_focal_site	35	17	3403	1411	136	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r042	EAS	neutral	0	2026083642	25	unique_exact_focal_site	40	20	3160	1600	190	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r043	EAS	neutral	0	2026083643	25	unique_exact_focal_site	41	20	3160	1600	190	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r044	EAS	neutral	0	2026083644	25	unique_exact_focal_site	35	17	3403	1411	136	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r045	EAS	neutral	0	2026083645	25	unique_exact_focal_site	30	14	3655	1204	91	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r046	EAS	neutral	0	2026083646	25	unique_exact_focal_site	35	17	3403	1411	136	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r047	EAS	neutral	0	2026083647	25	unique_exact_focal_site	35	17	3403	1411	136	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r048	EAS	neutral	0	2026083648	25	unique_exact_focal_site	39	20	3160	1600	190	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r049	EAS	neutral	0	2026083649	25	unique_exact_focal_site	27	11	3916	979	55	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r050	EAS	neutral	0	2026083650	25	unique_exact_focal_site	38	19	3240	1539	171	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r051	EAS	neutral	0	2026083651	25	unique_exact_focal_site	42	21	3081	1659	210	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r052	EAS	neutral	0	2026083652	25	unique_exact_focal_site	41	20	3160	1600	190	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r053	EAS	neutral	0	2026083653	25	unique_exact_focal_site	38	19	3240	1539	171	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r054	EAS	neutral	0	2026083654	25	ambiguous_exact_coordinate_collision	-1	-1	0	0	0	False	False	False	False	ambiguous_exact_coordinate_collision
eas_neutral_exact_population_af_reverse_bridge_r055	EAS	neutral	0	2026083655	25	unique_exact_focal_site	40	20	3160	1600	190	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r056	EAS	neutral	0	2026083656	25	unique_exact_focal_site	42	21	3081	1659	210	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r057	EAS	neutral	0	2026083657	25	unique_exact_focal_site	34	16	3486	1344	120	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r058	EAS	neutral	0	2026083658	25	unique_exact_focal_site	30	14	3655	1204	91	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r059	EAS	neutral	0	2026083659	25	unique_exact_focal_site	42	21	3081	1659	210	True	True	True	True	
eas_neutral_exact_population_af_reverse_bridge_r060	EAS	neutral	0	2026083660	25	unique_exact_focal_site	46	24	2850	1824	276	True	True	True	True	
