unit_id	replicate_index	seed	source	threshold_years	overall_focal_p_tmrca_lt_threshold	final_pool_alt_count	final_pool_total_count	final_pool_af	sample_alt_count	sample_total_count	sample_af	sample_detected
ancient_eurasia_single_origin_survival__neutral__rep034	34	1049219391	gamma_smc	10000	0.0767770277	5	1000	0.005	1	200	0.005	True
ancient_eurasia_single_origin_survival__neutral__rep034	34	1049219391	gamma_smc	20000	0.1400929546	5	1000	0.005	1	200	0.005	True
ancient_eurasia_single_origin_survival__neutral__rep034	34	1049219391	gamma_smc	30000	0.1964142919	5	1000	0.005	1	200	0.005	True
ancient_eurasia_single_origin_survival__neutral__rep034	34	1049219391	gamma_smc	40000	0.2463777578	5	1000	0.005	1	200	0.005	True
ancient_eurasia_single_origin_survival__neutral__rep034	34	1049219391	gamma_smc	50000	0.2905961013	5	1000	0.005	1	200	0.005	True
ancient_eurasia_single_origin_survival__neutral__rep035	35	2099704798	gamma_smc	1000	0.02512419218	21	1000	0.021	8	200	0.04	True
ancient_eurasia_single_origin_survival__neutral__rep035	35	2099704798	gamma_smc	4500	0.04687560412	21	1000	0.021	8	200	0.04	True
ancient_eurasia_single_origin_survival__neutral__rep035	35	2099704798	gamma_smc	10000	0.06478936106	21	1000	0.021	8	200	0.04	True
ancient_eurasia_single_origin_survival__neutral__rep035	35	2099704798	gamma_smc	20000	0.09001124105	21	1000	0.021	8	200	0.04	True
ancient_eurasia_single_origin_survival__neutral__rep035	35	2099704798	gamma_smc	30000	0.1125143587	21	1000	0.021	8	200	0.04	True
ancient_eurasia_single_origin_survival__neutral__rep035	35	2099704798	gamma_smc	40000	0.1334725437	21	1000	0.021	8	200	0.04	True
ancient_eurasia_single_origin_survival__neutral__rep035	35	2099704798	gamma_smc	50000	0.1529923193	21	1000	0.021	8	200	0.04	True
ancient_eurasia_single_origin_survival__neutral__rep036	36	460176608	gamma_smc	1000	0.01235453173	57	1000	0.057	11	200	0.055	True
ancient_eurasia_single_origin_survival__neutral__rep036	36	460176608	gamma_smc	4500	0.04143911636	57	1000	0.057	11	200	0.055	True
ancient_eurasia_single_origin_survival__neutral__rep036	36	460176608	gamma_smc	10000	0.06646158412	57	1000	0.057	11	200	0.055	True
ancient_eurasia_single_origin_survival__neutral__rep036	36	460176608	gamma_smc	20000	0.0942647475	57	1000	0.057	11	200	0.055	True
ancient_eurasia_single_origin_survival__neutral__rep036	36	460176608	gamma_smc	30000	0.11372151	57	1000	0.057	11	200	0.055	True
ancient_eurasia_single_origin_survival__neutral__rep036	36	460176608	gamma_smc	40000	0.1281529957	57	1000	0.057	11	200	0.055	True
ancient_eurasia_single_origin_survival__neutral__rep036	36	460176608	gamma_smc	50000	0.1390148188	57	1000	0.057	11	200	0.055	True
ancient_eurasia_single_origin_survival__neutral__rep037	37	672190515	gamma_smc	1000	0.004062532814	226	1000	0.226	49	200	0.245	True
ancient_eurasia_single_origin_survival__neutral__rep037	37	672190515	gamma_smc	4500	0.02161664072	226	1000	0.226	49	200	0.245	True
ancient_eurasia_single_origin_survival__neutral__rep037	37	672190515	gamma_smc	10000	0.05122043121	226	1000	0.226	49	200	0.245	True
ancient_eurasia_single_origin_survival__neutral__rep037	37	672190515	gamma_smc	20000	0.09116336497	226	1000	0.226	49	200	0.245	True
ancient_eurasia_single_origin_survival__neutral__rep037	37	672190515	gamma_smc	30000	0.1183029828	226	1000	0.226	49	200	0.245	True
ancient_eurasia_single_origin_survival__neutral__rep037	37	672190515	gamma_smc	40000	0.1386352054	226	1000	0.226	49	200	0.245	True
ancient_eurasia_single_origin_survival__neutral__rep037	37	672190515	gamma_smc	50000	0.1547238387	226	1000	0.226	49	200	0.245	True
ancient_eurasia_single_origin_survival__neutral__rep038	38	1774338894	gamma_smc	1000	0.0007977517975	124	1000	0.124	28	200	0.14	True
ancient_eurasia_single_origin_survival__neutral__rep038	38	1774338894	gamma_smc	4500	0.003616512808	124	1000	0.124	28	200	0.14	True
ancient_eurasia_single_origin_survival__neutral__rep038	38	1774338894	gamma_smc	10000	0.007697105041	124	1000	0.124	28	200	0.14	True
ancient_eurasia_single_origin_survival__neutral__rep038	38	1774338894	gamma_smc	20000	0.01419176582	124	1000	0.124	28	200	0.14	True
ancient_eurasia_single_origin_survival__neutral__rep038	38	1774338894	gamma_smc	30000	0.01982545891	124	1000	0.124	28	200	0.14	True
ancient_eurasia_single_origin_survival__neutral__rep038	38	1774338894	gamma_smc	40000	0.02478749208	124	1000	0.124	28	200	0.14	True
ancient_eurasia_single_origin_survival__neutral__rep038	38	1774338894	gamma_smc	50000	0.02920104766	124	1000	0.124	28	200	0.14	True
ancient_eurasia_single_origin_survival__neutral__rep039	39	695067291	gamma_smc	1000	0.01750278206	79	1000	0.079	12	200	0.06	True
ancient_eurasia_single_origin_survival__neutral__rep039	39	695067291	gamma_smc	4500	0.0310390305	79	1000	0.079	12	200	0.06	True
ancient_eurasia_single_origin_survival__neutral__rep039	39	695067291	gamma_smc	10000	0.04164345872	79	1000	0.079	12	200	0.06	True
ancient_eurasia_single_origin_survival__neutral__rep039	39	695067291	gamma_smc	20000	0.0563124329	79	1000	0.079	12	200	0.06	True
ancient_eurasia_single_origin_survival__neutral__rep039	39	695067291	gamma_smc	30000	0.06604705477	79	1000	0.079	12	200	0.06	True
ancient_eurasia_single_origin_survival__neutral__rep039	39	695067291	gamma_smc	40000	0.07257128447	79	1000	0.079	12	200	0.06	True
ancient_eurasia_single_origin_survival__neutral__rep039	39	695067291	gamma_smc	50000	0.07739218535	79	1000	0.079	12	200	0.06	True
ancient_eurasia_single_origin_survival__neutral__rep040	40	672941006	gamma_smc	1000	0.01294955688	31	1000	0.031	6	200	0.03	True
ancient_eurasia_single_origin_survival__neutral__rep040	40	672941006	gamma_smc	4500	0.04637638003	31	1000	0.031	6	200	0.03	True
ancient_eurasia_single_origin_survival__neutral__rep040	40	672941006	gamma_smc	10000	0.06681507668	31	1000	0.031	6	200	0.03	True
ancient_eurasia_single_origin_survival__neutral__rep040	40	672941006	gamma_smc	20000	0.08631344464	31	1000	0.031	6	200	0.03	True
ancient_eurasia_single_origin_survival__neutral__rep040	40	672941006	gamma_smc	30000	0.1003279448	31	1000	0.031	6	200	0.03	True
ancient_eurasia_single_origin_survival__neutral__rep040	40	672941006	gamma_smc	40000	0.1123955323	31	1000	0.031	6	200	0.03	True
ancient_eurasia_single_origin_survival__neutral__rep040	40	672941006	gamma_smc	50000	0.1232692691	31	1000	0.031	6	200	0.03	True
ancient_eurasia_single_origin_survival__neutral__rep041	41	2147204022	gamma_smc	1000	0.003027129016	11	1000	0.011	3	200	0.015	True
ancient_eurasia_single_origin_survival__neutral__rep041	41	2147204022	gamma_smc	4500	0.0138325427	11	1000	0.011	3	200	0.015	True
ancient_eurasia_single_origin_survival__neutral__rep041	41	2147204022	gamma_smc	10000	0.02923995838	11	1000	0.011	3	200	0.015	True
ancient_eurasia_single_origin_survival__neutral__rep041	41	2147204022	gamma_smc	20000	0.05257711618	11	1000	0.011	3	200	0.015	True
ancient_eurasia_single_origin_survival__neutral__rep041	41	2147204022	gamma_smc	30000	0.07163952797	11	1000	0.011	3	200	0.015	True
ancient_eurasia_single_origin_survival__neutral__rep041	41	2147204022	gamma_smc	40000	0.08792161953	11	1000	0.011	3	200	0.015	True
ancient_eurasia_single_origin_survival__neutral__rep041	41	2147204022	gamma_smc	50000	0.1023967873	11	1000	0.011	3	200	0.015	True
ancient_eurasia_single_origin_survival__neutral__rep042	42	925206425	gamma_smc	1000	0.01349993371	210	1000	0.21	37	200	0.185	True
ancient_eurasia_single_origin_survival__neutral__rep042	42	925206425	gamma_smc	4500	0.03584080853	210	1000	0.21	37	200	0.185	True
ancient_eurasia_single_origin_survival__neutral__rep042	42	925206425	gamma_smc	10000	0.0565542115	210	1000	0.21	37	200	0.185	True
ancient_eurasia_single_origin_survival__neutral__rep042	42	925206425	gamma_smc	20000	0.08291680843	210	1000	0.21	37	200	0.185	True
ancient_eurasia_single_origin_survival__neutral__rep042	42	925206425	gamma_smc	30000	0.1037423644	210	1000	0.21	37	200	0.185	True
ancient_eurasia_single_origin_survival__neutral__rep042	42	925206425	gamma_smc	40000	0.1215065095	210	1000	0.21	37	200	0.185	True
ancient_eurasia_single_origin_survival__neutral__rep042	42	925206425	gamma_smc	50000	0.1369154486	210	1000	0.21	37	200	0.185	True
ancient_eurasia_single_origin_survival__neutral__rep043	43	1594278831	gamma_smc	1000	0.002146362756	36	1000	0.036	13	200	0.065	True
ancient_eurasia_single_origin_survival__neutral__rep043	43	1594278831	gamma_smc	4500	0.008877673364	36	1000	0.036	13	200	0.065	True
ancient_eurasia_single_origin_survival__neutral__rep043	43	1594278831	gamma_smc	10000	0.01801023485	36	1000	0.036	13	200	0.065	True
ancient_eurasia_single_origin_survival__neutral__rep043	43	1594278831	gamma_smc	20000	0.03008378682	36	1000	0.036	13	200	0.065	True
ancient_eurasia_single_origin_survival__neutral__rep043	43	1594278831	gamma_smc	30000	0.03842720801	36	1000	0.036	13	200	0.065	True
ancient_eurasia_single_origin_survival__neutral__rep043	43	1594278831	gamma_smc	40000	0.04551141524	36	1000	0.036	13	200	0.065	True
ancient_eurasia_single_origin_survival__neutral__rep043	43	1594278831	gamma_smc	50000	0.05224669021	36	1000	0.036	13	200	0.065	True
ancient_eurasia_single_origin_survival__neutral__rep044	44	1955493411	gamma_smc	1000	0.01755797912	152	1000	0.152	31	200	0.155	True
ancient_eurasia_single_origin_survival__neutral__rep044	44	1955493411	gamma_smc	4500	0.02713766798	152	1000	0.152	31	200	0.155	True
ancient_eurasia_single_origin_survival__neutral__rep044	44	1955493411	gamma_smc	10000	0.03737154255	152	1000	0.152	31	200	0.155	True
