cohort,score
Neutral,0.1975
Neutral,0.1977
Neutral,0.198
Neutral,0.198
Neutral,0.1983
Neutral,0.1984
Neutral,0.1984
Neutral,0.1991
Neutral,0.1992
Neutral,0.1995
Neutral,0.2
Neutral,0.2014
Neutral,0.2017
Neutral,0.2018
Neutral,0.2019
Neutral,0.202
Neutral,0.202
Neutral,0.2022
Neutral,0.2022
Neutral,0.2024
Neutral,0.2031
Neutral,0.2031
Neutral,0.2034
Neutral,0.2036
Neutral,0.2038
Neutral,0.2039
Neutral,0.204
Neutral,0.204
Neutral,0.2042
Neutral,0.2042
Neutral,0.2044
Neutral,0.2045
Neutral,0.2045
Neutral,0.2049
Neutral,0.2049
Neutral,0.2049
Neutral,0.205
Neutral,0.205
Neutral,0.2051
Neutral,0.2051
Neutral,0.2052
Neutral,0.2054
Neutral,0.2057
Neutral,0.2057
Neutral,0.2058
Neutral,0.2059
Neutral,0.2063
Neutral,0.2071
Neutral,0.2074
Neutral,0.2074
Neutral,0.2075
Neutral,0.2076
Neutral,0.2078
Neutral,0.2079
Neutral,0.2079
Neutral,0.2083
Neutral,0.2084
Neutral,0.2085
Neutral,0.2087
Neutral,0.2087
Neutral,0.2089
Neutral,0.209
Neutral,0.2092
Neutral,0.2093
Neutral,0.2093
Neutral,0.2095
Neutral,0.2101
Neutral,0.2104
Neutral,0.2106
Neutral,0.2108
Neutral,0.2108
Neutral,0.2108
Neutral,0.2111
Neutral,0.2111
Neutral,0.2114
Neutral,0.212
Neutral,0.2121
Neutral,0.2129
Neutral,0.2135
Neutral,0.2145
Neutral,0.2151
Neutral,0.2155
Neutral,0.2155
Neutral,0.2156
Neutral,0.2157
Neutral,0.216
Neutral,0.2161
Neutral,0.2162
Neutral,0.2163
Neutral,0.2164
Neutral,0.2168
Neutral,0.2169
Neutral,0.2169
Neutral,0.2172
Neutral,0.2175
Neutral,0.2176
Neutral,0.2177
Neutral,0.218
Neutral,0.218
Neutral,0.2182
Neutral,0.2182
Neutral,0.2185
Neutral,0.2186
Neutral,0.2187
Neutral,0.2187
Neutral,0.219
Neutral,0.2195
Neutral,0.2196
Neutral,0.2198
Neutral,0.2199
Neutral,0.2201
Neutral,0.2202
Neutral,0.2207
Neutral,0.2214
Neutral,0.2215
Neutral,0.2215
Neutral,0.2215
Neutral,0.2223
Neutral,0.2224
Neutral,0.2224
Neutral,0.2227
Neutral,0.2229
Neutral,0.2231
Neutral,0.2234
Neutral,0.2234
Neutral,0.2239
Neutral,0.2239
Neutral,0.2241
Neutral,0.2245
Neutral,0.2246
Neutral,0.2247
Neutral,0.2247
Neutral,0.2248
Neutral,0.2251
Neutral,0.2253
Neutral,0.2261
Neutral,0.2268
Neutral,0.227
Neutral,0.2271
Neutral,0.2274
Neutral,0.2279
Neutral,0.2286
Neutral,0.2287
Neutral,0.2294
Neutral,0.2295
Neutral,0.2297
Neutral,0.2301
Neutral,0.2305
Neutral,0.2309
Neutral,0.231
Neutral,0.2311
Neutral,0.2313
Neutral,0.2314
Neutral,0.2318
Neutral,0.2318
Neutral,0.2319
Neutral,0.2322
Neutral,0.2326
Neutral,0.2326
Neutral,0.2332
Neutral,0.2333
Neutral,0.2334
Neutral,0.2335
Neutral,0.2336
Neutral,0.2336
Neutral,0.2339
Neutral,0.2343
Neutral,0.2343
Neutral,0.2348
Neutral,0.2349
Neutral,0.235
Neutral,0.235
Neutral,0.2351
Neutral,0.2351
Neutral,0.2352
Neutral,0.2355
Neutral,0.2359
Neutral,0.2361
Neutral,0.2363
Neutral,0.2365
Neutral,0.237
Neutral,0.2372
Neutral,0.2375
Neutral,0.2375
Neutral,0.2379
Neutral,0.2379
Neutral,0.238
Neutral,0.2383
Neutral,0.2391
Neutral,0.2392
Neutral,0.24
Neutral,0.2402
