arm_id	selection_coefficient	mode	replicate_index	status	elapsed_seconds	error
eas_introgressed_s0p005	0.005	selected	15	completed	90.11023426300017	
eas_introgressed_s0p005	0.005	selected	16	completed	69.59557633999975	
eas_introgressed_s0p005	0.005	selected	17	completed	66.16181819700068	
eas_introgressed_s0p005	0.005	selected	18	completed	45.99834470300084	
eas_introgressed_s0p005	0.005	selected	19	completed	172.9028566550005	
eas_introgressed_s0p005	0.005	selected	20	completed	44.721012444000735	
eas_introgressed_s0p005	0.005	selected	21	completed	41.18091770999854	
eas_introgressed_s0p005	0.005	selected	22	completed	93.41672165700038	
eas_introgressed_s0p005	0.005	selected	23	completed	91.73850313900039	
eas_introgressed_s0p005	0.005	selected	24	completed	184.25835495400133	
eas_introgressed_s0p005	0.005	selected	25	completed	90.90717249999943	
eas_introgressed_s0p005	0.005	selected	26	completed	89.2686692490006	
eas_introgressed_s0p005	0.005	selected	27	completed	46.19237169799999	
eas_introgressed_s0p005	0.005	selected	28	completed	43.51903244400091	
eas_introgressed_s0p005	0.005	selected	29	completed	41.62069580000025	
eas_introgressed_s0p005	0.005	selected	30	completed	65.02634511699944	
eas_introgressed_s0p005	0.005	selected	31	completed	68.21762740799932	
eas_introgressed_s0p005	0.005	selected	32	completed	159.51153184000032	
eas_introgressed_s0p005	0.005	selected	33	completed	88.77819286599879	
eas_introgressed_s0p005	0.005	selected	34	completed	66.93940133700016	
eas_introgressed_s0p005	0.005	selected	35	completed	43.71691233300044	
eas_introgressed_s0p005	0.005	selected	36	completed	43.97071442400011	
eas_introgressed_s0p005	0.005	selected	37	completed	60.641111196000566	
eas_introgressed_s0p005	0.005	selected	38	completed	90.23598294099975	
eas_introgressed_s0p005	0.005	selected	39	completed	42.147372884001015	
eas_introgressed_s0p005	0.005	selected	40	completed	223.56517500100017	
eas_introgressed_s0p005	0.005	selected	41	completed	41.89373756600071	
eas_introgressed_s0p005	0.005	selected	42	completed	135.49950710600024	
eas_introgressed_s0p005	0.005	selected	43	completed	64.4928277479994	
eas_introgressed_s0p005	0.005	selected	44	completed	44.97951715999989	
eas_introgressed_s0p005	0.005	selected	45	completed	62.337129809000544	
eas_introgressed_s0p005	0.005	selected	46	completed	65.56415602900051	
eas_introgressed_s0p005	0.005	selected	47	completed	94.5165450429995	
eas_introgressed_s0p005	0.005	selected	48	completed	177.0612852840004	
eas_introgressed_s0p005	0.005	selected	49	completed	63.20195120500102	
eas_introgressed_s0p005	0.005	selected	50	completed	66.74644263700065	
eas_introgressed_s0p005	0.005	selected	51	completed	41.30922922999889	
eas_introgressed_s0p005	0.005	selected	52	completed	90.83225574900098	
eas_introgressed_s0p005	0.005	selected	53	completed	90.03134584899999	
eas_introgressed_s0p005	0.005	selected	54	completed	45.07306113999948	
eas_introgressed_s0p005	0.005	selected	55	completed	43.61538841899892	
eas_introgressed_s0p005	0.005	selected	56	completed	44.110042692000206	
eas_introgressed_s0p005	0.005	selected	57	completed	87.77958327600027	
eas_introgressed_s0p005	0.005	selected	58	completed	43.25714191100087	
eas_introgressed_s0p005	0.005	selected	59	completed	303.8282119710002	
eas_introgressed_s0p005	0.005	selected	60	completed	212.89196863599864	
eas_introgressed_s0p005	0.005	selected	61	completed	110.43759523799963	
eas_introgressed_s0p005	0.005	selected	62	completed	65.68092440200053	
eas_introgressed_s0p005	0.005	selected	63	completed	43.8794408649992	
eas_introgressed_s0p005	0.005	selected	64	completed	64.71010768000087	
eas_introgressed_s0p005	0.005	selected	65	completed	66.89881653500015	
eas_introgressed_s0p005	0.005	selected	66	completed	145.0426472170002	
eas_introgressed_s0p005	0.005	selected	67	completed	66.85045562800042	
eas_introgressed_s0p005	0.005	selected	68	completed	116.87771868799973	
eas_introgressed_s0p005	0.005	selected	69	completed	236.63885909000055	
eas_introgressed_s0p005	0.005	selected	70	completed	69.35256182000012	
eas_introgressed_s0p005	0.005	selected	71	completed	63.487718771999425	
eas_introgressed_s0p005	0.005	selected	72	completed	66.2464153869987	
eas_introgressed_s0p005	0.005	selected	73	completed	44.88232692099882	
eas_introgressed_s0p005	0.005	selected	74	completed	65.74867302299936	
eas_introgressed_s0p005	0.005	selected	75	completed	225.46482993999962	
eas_introgressed_s0p005	0.005	selected	76	completed	41.440582761999394	
eas_introgressed_s0p005	0.005	selected	77	completed	108.20676482599993	
eas_introgressed_s0p005	0.005	selected	78	completed	68.20035859999916	
eas_introgressed_s0p005	0.005	selected	79	completed	42.268124054999134	
eas_introgressed_s0p01	0.01	selected	0	completed	69.74230686699957	
eas_introgressed_s0p01	0.01	selected	1	completed	41.51173605599979	
eas_introgressed_s0p01	0.01	selected	2	completed	42.852923557000395	
eas_introgressed_s0p01	0.01	selected	3	completed	41.984541632999026	
eas_introgressed_s0p01	0.01	selected	4	completed	40.72948904500117	
eas_introgressed_s0p01	0.01	selected	5	completed	42.84561972299889	
eas_introgressed_s0p01	0.01	selected	6	completed	42.19294577300025	
eas_introgressed_s0p01	0.01	selected	7	completed	40.8788387329987	
eas_introgressed_s0p01	0.01	selected	8	completed	39.69319881800038	
eas_introgressed_s0p01	0.01	selected	9	completed	43.375083299000835	
eas_introgressed_s0p01	0.01	selected	10	completed	41.395441527	
eas_introgressed_s0p01	0.01	selected	11	completed	41.07720632099881	
eas_introgressed_s0p01	0.01	selected	12	completed	67.25352337700133	
eas_introgressed_s0p01	0.01	selected	13	completed	66.3047633039987	
eas_introgressed_s0p01	0.01	selected	14	completed	67.8955552460011	
eas_introgressed_s0p01	0.01	selected	15	completed	65.92599399600113	
eas_introgressed_s0p01	0.01	selected	16	completed	89.57725134900102	
eas_introgressed_s0p01	0.01	selected	17	completed	43.321603320002396	
eas_introgressed_s0p01	0.01	selected	18	completed	130.10730627199882	
eas_introgressed_s0p01	0.01	selected	19	completed	66.32711354500134	
eas_introgressed_s0p01	0.01	selected	20	completed	69.06901576199743	
eas_introgressed_s0p01	0.01	selected	21	completed	42.22265031600182	
eas_introgressed_s0p01	0.01	selected	22	completed	41.91576671000075	
eas_introgressed_s0p01	0.01	selected	23	completed	67.51575955699809	
eas_introgressed_s0p01	0.01	selected	24	completed	161.55778628999906	
eas_introgressed_s0p01	0.01	selected	25	completed	66.46190417600155	
eas_introgressed_s0p01	0.01	selected	26	completed	43.01097189199936	
eas_introgressed_s0p01	0.01	selected	27	completed	85.7512916270025	
eas_introgressed_s0p01	0.01	selected	28	completed	42.4633315889987	
eas_introgressed_s0p01	0.01	selected	29	completed	64.86967884999831	
eas_introgressed_s0p01	0.01	selected	30	completed	70.97248390699679	
eas_introgressed_s0p01	0.01	selected	31	completed	59.6864513310029	
eas_introgressed_s0p01	0.01	selected	32	completed	44.409702000000834	
eas_introgressed_s0p01	0.01	selected	33	completed	88.7204595200019	
eas_introgressed_s0p01	0.01	selected	34	completed	87.1559910529977	
eas_introgressed_s0p01	0.01	selected	35	completed	41.71159270900171	
eas_introgressed_s0p01	0.01	selected	36	completed	111.55831747000047	
eas_introgressed_s0p01	0.01	selected	37	completed	41.66965762200198	
eas_introgressed_s0p01	0.01	selected	38	completed	45.070306708003045	
eas_introgressed_s0p01	0.01	selected	39	completed	131.49991707500158	
eas_introgressed_s0p01	0.01	selected	40	completed	65.73477142800039	
eas_introgressed_s0p01	0.01	selected	41	completed	41.99565657399944	
eas_introgressed_s0p01	0.01	selected	42	completed	65.14104607899935	
eas_introgressed_s0p01	0.01	selected	43	completed	40.72018836699863	
eas_introgressed_s0p01	0.01	selected	44	completed	63.67499992100056	
eas_introgressed_s0p01	0.01	selected	45	completed	40.00231677600095	
eas_introgressed_s0p01	0.01	selected	46	completed	41.757454829999915	
eas_introgressed_s0p01	0.01	selected	47	completed	43.855418807001115	
eas_introgressed_s0p01	0.01	selected	48	completed	41.76200154500111	
eas_introgressed_s0p01	0.01	selected	49	completed	41.1514381449997	
eas_introgressed_s0p01	0.01	selected	50	completed	63.16611133400147	
eas_introgressed_s0p01	0.01	selected	51	completed	42.59692021700175	
eas_introgressed_s0p01	0.01	selected	52	completed	45.5324863019996	
eas_introgressed_s0p01	0.01	selected	53	completed	59.51362462799807	
eas_introgressed_s0p01	0.01	selected	54	completed	41.47192128499955	
eas_introgressed_s0p01	0.01	selected	55	completed	42.46014860499781	
eas_introgressed_s0p01	0.01	selected	56	completed	45.27536910799972	
eas_introgressed_s0p01	0.01	selected	57	completed	40.88314688600076	
eas_introgressed_s0p01	0.01	selected	58	completed	62.45090005900056	
eas_introgressed_s0p01	0.01	selected	59	completed	44.38773994800067	
