demography_id	selection_coefficient	time_variable	time_generations	time_kya	initial_af_assumption	deterministic_final_af
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	621	15.525	0.00010495382031905961	0.002336212857255217
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	631	15.775	0.00010640561821664184	0.0024895869656256105
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	641	16.025	0.0001080613788631943	0.0026575140687658126
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	651	16.275	0.00011020498126515319	0.002848647491356752
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	661	16.525	0.000111185234600845	0.0030208193779992652
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	671	16.775	0.00011381743683132256	0.0032501425036974723
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	681	17.025	0.0001155268022181146	0.0034673459321939424
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	691	17.275	0.00011695906432748539	0.0036894941643383604
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	701	17.525	0.00011814744801512288	0.00391717765852554
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	711	17.775	0.00011967448539971278	0.004170187218201262
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	721	18.025	0.00012124151309408342	0.004440204397095753
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	731	18.275	0.00012233912405187178	0.00470885127968628
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	741	18.525	0.0001233654083395016	0.004990399425552122
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	751	18.775	0.0001245019920318725	0.005292993136397197
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	761	19.025	0.00012581781580271766	0.005621330118469028
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	771	19.275	0.00012725884448969204	0.005975107658203209
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	781	19.525	0.0001287001287001287	0.006350211277486263
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	791	19.775	0.0001295672454003628	0.006718287967069068
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	801	20.025	0.00013126804935678657	0.007152338523769344
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	811	20.275	0.00013189132155104195	0.007551713647736848
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	821	20.525	0.00013333333333333334	0.008021906139856228
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	831	20.775	0.00013368983957219252	0.008452082853507289
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	841	21.025	0.00013502565487442613	0.008969541342971796
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	851	21.275	0.0001365001365001365	0.009527040577760885
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	861	21.525	0.0001372872048325096	0.010067761126573737
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	871	21.775	0.00013908205841446454	0.010715323014498594
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	881	22.025	0.00014037057832678272	0.011361657628585443
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	891	22.275	0.0001416029453412631	0.01204078281027109
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	901	22.525	0.00014240956992309884	0.012721471807517249
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	911	22.775	0.00014371945961483184	0.013486289776451475
